### slots: base dsp0 t7 t8
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
mix  |     base |       t8 |       t2 |       t3 ||      t8%      t2%      t3%
A    |   28.209 |   22.482 |   26.311 |   24.855 ||  -20.30   -6.73  -11.89
B    |   61.876 |   59.589 |   59.929 |   59.002 ||   -3.70   -3.15   -4.64
C    |   37.603 |   37.425 |   36.309 |   35.723 ||   -0.47   -3.44   -5.00
D    |   23.892 |   12.875 |   12.879 |   12.879 ||  -46.11  -46.09  -46.09
E    |   25.835 |   14.389 |   19.959 |   16.736 ||  -44.31  -22.74  -35.22
mix  |     base |       t8 |       t2 |       t3 ||      t8%      t2%      t3%
A    |   28.182 |   22.493 |   26.321 |   24.849 ||  -20.19   -6.60  -11.83
B    |   61.844 |   59.573 |   59.892 |   59.000 ||   -3.67   -3.16   -4.60
C    |   37.640 |   37.473 |   36.371 |   35.709 ||   -0.44   -3.37   -5.13
D    |   23.874 |   12.875 |   12.883 |   12.880 ||  -46.07  -46.03  -46.05
E    |   25.788 |   14.374 |   19.915 |   16.751 ||  -44.26  -22.78  -35.05
