### AA-t8 : t8 t8 t8 t8
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
B    |   58.550 |   59.591 |   58.832 |   59.575 ||   +1.78   +0.48   +1.75
C    |   35.599 |   37.030 |   35.650 |   37.156 ||   +4.02   +0.14   +4.37
D    |   12.872 |   12.875 |   12.876 |   12.881 ||   +0.02   +0.03   +0.07
E    |   14.426 |   15.063 |   14.428 |   15.111 ||   +4.42   +0.01   +4.75
### t7t8 : t7 t8 t7 t8
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   22.061 |   22.582 |   22.013 |   22.653 ||   +2.36   -0.22   +2.68
B    |   58.651 |   59.529 |   58.885 |   59.735 ||   +1.50   +0.40   +1.85
C    |   36.208 |   36.928 |   36.210 |   37.354 ||   +1.99   +0.00   +3.16
D    |   12.890 |   12.861 |   12.874 |   12.877 ||   -0.23   -0.12   -0.10
E    |   15.071 |   15.082 |   15.134 |   15.045 ||   +0.08   +0.42   -0.17
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   22.064 |   22.581 |   22.015 |   22.616 ||   +2.34   -0.22   +2.50
B    |   58.685 |   59.523 |   58.808 |   59.714 ||   +1.43   +0.21   +1.75
C    |   36.164 |   36.945 |   36.186 |   37.350 ||   +2.16   +0.06   +3.28
D    |   12.885 |   12.868 |   12.865 |   12.879 ||   -0.14   -0.16   -0.05
E    |   15.069 |   15.071 |   15.129 |   15.029 ||   +0.01   +0.40   -0.27
