GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
RES 5 512 ca24.s3 84.5809
RES 5 512 ca32.s4 84.6341
RES 5 512 ca40.s5 84.5752
RES 5 512 ca48.s6 84.5181
RES 5 512 ca56.s7 84.6380
RES 5 1024 ca0.s0 162.3115
RES 5 1024 ca8.s1 162.3829
RES 5 1024 ca16.s2 162.4790
RES 5 1024 ca24.s3 162.4001
RES 5 1024 ca32.s4 162.6199
RES 5 1024 ca40.s5 162.0145
RES 5 1024 ca48.s6 162.1412
RES 5 1024 ca56.s7 162.3184
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 6 2.7928 2.7928
RES 6 64 ca0.s0 25.1520
RES 6 64 ca8.s1 25.1405
RES 6 64 ca16.s2 25.1753
RES 6 64 ca24.s3 25.1606
RES 6 64 ca32.s4 25.1650
RES 6 64 ca40.s5 25.1478
RES 6 64 ca48.s6 25.1417
RES 6 64 ca56.s7 25.2181
RES 6 256 ca0.s0 45.5929
RES 6 256 ca8.s1 45.4711
RES 6 256 ca16.s2 45.5839
RES 6 256 ca24.s3 45.6580
RES 6 256 ca32.s4 45.5596
RES 6 256 ca40.s5 45.6878
RES 6 256 ca48.s6 45.6593
RES 6 256 ca56.s7 45.6467
RES 6 512 ca0.s0 84.6371
RES 6 512 ca8.s1 84.5512
RES 6 512 ca16.s2 84.5729
RES 6 512 ca24.s3 84.4712
RES 6 512 ca32.s4 84.6563
RES 6 512 ca40.s5 84.5134
RES 6 512 ca48.s6 84.4673
RES 6 512 ca56.s7 84.6921
RES 6 1024 ca0.s0 162.3257
RES 6 1024 ca8.s1 162.3684
RES 6 1024 ca16.s2 162.1726
RES 6 1024 ca24.s3 162.2464
RES 6 1024 ca32.s4 162.6133
RES 6 1024 ca40.s5 162.2402
RES 6 1024 ca48.s6 162.4265
RES 6 1024 ca56.s7 162.4630
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 7 2.7928 2.7929
RES 7 64 ca0.s0 25.1557
RES 7 64 ca8.s1 25.1373
RES 7 64 ca16.s2 25.1595
RES 7 64 ca24.s3 25.1628
RES 7 64 ca32.s4 25.1489
RES 7 64 ca40.s5 25.1366
RES 7 64 ca48.s6 25.1539
RES 7 64 ca56.s7 25.2117
RES 7 256 ca0.s0 45.6403
RES 7 256 ca8.s1 45.4942
RES 7 256 ca16.s2 45.5399
RES 7 256 ca24.s3 45.6997
RES 7 256 ca32.s4 45.7287
RES 7 256 ca40.s5 45.6713
RES 7 256 ca48.s6 45.5917
RES 7 256 ca56.s7 45.6291
RES 7 512 ca0.s0 84.7228
RES 7 512 ca8.s1 84.6595
RES 7 512 ca16.s2 84.6222
RES 7 512 ca24.s3 84.6765
RES 7 512 ca32.s4 84.8362
