GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
RES 5 1024 dn.s3 161.9998
RES 5 1024 cn.s4 162.2148
RES 5 1024 dn.s5 162.2755
RES 5 1024 cn.s6 162.3574
RES 5 1024 dn.s7 162.3672
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 6 2.7925 2.7928
RES 6 64 cn.s0 25.1789
RES 6 64 dn.s1 18.3774
RES 6 64 cn.s2 25.1628
RES 6 64 dn.s3 18.3834
RES 6 64 cn.s4 25.1743
RES 6 64 dn.s5 18.3880
RES 6 64 cn.s6 25.1658
RES 6 64 dn.s7 18.3973
RES 6 256 cn.s0 45.6816
RES 6 256 dn.s1 45.5918
RES 6 256 cn.s2 45.6509
RES 6 256 dn.s3 45.4438
RES 6 256 cn.s4 45.6835
RES 6 256 dn.s5 45.5186
RES 6 256 cn.s6 45.6340
RES 6 256 dn.s7 45.5371
RES 6 512 cn.s0 84.6396
RES 6 512 dn.s1 84.6934
RES 6 512 cn.s2 84.5725
RES 6 512 dn.s3 84.6756
RES 6 512 cn.s4 84.6549
RES 6 512 dn.s5 84.5225
RES 6 512 cn.s6 84.5477
RES 6 512 dn.s7 84.6780
RES 6 1024 cn.s0 162.4549
RES 6 1024 dn.s1 162.4451
RES 6 1024 cn.s2 162.3824
RES 6 1024 dn.s3 162.3919
RES 6 1024 cn.s4 162.4154
RES 6 1024 dn.s5 162.2723
RES 6 1024 cn.s6 162.2588
RES 6 1024 dn.s7 162.4650
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 7 2.7928 2.7929
RES 7 64 cn.s0 25.1741
RES 7 64 dn.s1 18.3966
RES 7 64 cn.s2 25.1647
RES 7 64 dn.s3 18.3800
RES 7 64 cn.s4 25.1825
RES 7 64 dn.s5 18.3831
RES 7 64 cn.s6 25.1779
RES 7 64 dn.s7 18.3865
RES 7 256 cn.s0 45.7556
RES 7 256 dn.s1 45.5104
RES 7 256 cn.s2 45.6710
RES 7 256 dn.s3 45.4563
RES 7 256 cn.s4 45.7028
RES 7 256 dn.s5 45.5604
RES 7 256 cn.s6 45.6510
RES 7 256 dn.s7 45.5485
RES 7 512 cn.s0 84.6998
RES 7 512 dn.s1 84.7251
RES 7 512 cn.s2 84.5542
RES 7 512 dn.s3 84.6356
RES 7 512 cn.s4 84.7357
RES 7 512 dn.s5 84.5802
RES 7 512 cn.s6 84.6631
RES 7 512 dn.s7 84.7334
RES 7 1024 cn.s0 162.4003
RES 7 1024 dn.s1 162.7070
RES 7 1024 cn.s2 162.2546
RES 7 1024 dn.s3 162.4065
RES 7 1024 cn.s4 162.5322
RES 7 1024 dn.s5 162.0206
RES 7 1024 cn.s6 162.1519
RES 7 1024 dn.s7 162.4399
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 8 2.7927 2.7927
RES 8 64 cn.s0 25.1800
RES 8 64 dn.s1 18.3864
RES 8 64 cn.s2 25.1641
RES 8 64 dn.s3 18.3844
RES 8 64 cn.s4 25.1823
RES 8 64 dn.s5 18.3763
RES 8 64 cn.s6 25.1627
RES 8 64 dn.s7 18.4048
RES 8 256 cn.s0 45.7537
