=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   22.562 |   22.594 |   22.564 |   22.633 |   20.546 |   20.524 |   20.504 |   20.067 |   20.334 |   19.077 |   19.111 |   19.936 ||   +0.14   +0.01   +0.31   -8.94   -9.03   -9.12  -11.06   -9.87  -15.45  -15.30  -11.64
B    |   51.781 |   51.779 |   51.877 |   51.837 |   50.246 |   50.173 |   50.238 |   49.942 |   50.135 |   49.145 |   49.256 |   49.867 ||   -0.00   +0.19   +0.11   -2.96   -3.11   -2.98   -3.55   -3.18   -5.09   -4.88   -3.70
C    |   31.725 |   31.848 |   31.647 |   31.692 |   30.297 |   30.226 |   30.145 |   29.959 |   29.858 |   29.437 |   29.408 |   29.966 ||   +0.39   -0.24   -0.10   -4.50   -4.72   -4.98   -5.57   -5.88   -7.21   -7.30   -5.55
D    |   19.976 |   19.973 |   20.014 |   20.011 |   14.952 |   14.950 |   15.234 |   11.672 |   14.943 |   10.917 |   10.926 |   10.963 ||   -0.02   +0.19   +0.17  -25.15  -25.16  -23.74  -41.57  -25.20  -45.35  -45.31  -45.12
E    |   21.016 |   21.026 |   21.029 |   21.051 |   14.956 |   14.951 |   15.229 |   13.695 |   14.947 |   12.038 |   12.039 |   12.724 ||   +0.05   +0.07   +0.17  -28.84  -28.86  -27.53  -34.84  -28.88  -42.72  -42.71  -39.45
F    |   21.981 |   21.988 |   22.014 |   22.029 |   19.930 |   19.926 |   19.995 |   19.636 |   18.535 |   17.849 |   18.795 |   20.800 ||   +0.03   +0.15   +0.22   -9.33   -9.35   -9.03  -10.67  -15.68  -18.80  -14.49   -5.37
R1   |   22.055 |   22.066 |   22.124 |   22.088 |   22.127 |   22.124 |   22.135 |   22.099 |   22.261 |   22.257 |   22.124 |   23.804 ||   +0.05   +0.31   +0.15   +0.33   +0.31   +0.36   +0.20   +0.94   +0.92   +0.31   +7.93
R2   |   21.841 |   21.832 |   21.912 |   21.858 |   21.908 |   21.916 |   21.909 |   21.854 |   21.656 |   21.648 |   21.909 |   24.028 ||   -0.04   +0.32   +0.08   +0.31   +0.34   +0.31   +0.06   -0.85   -0.88   +0.31  +10.01
R3   |   21.747 |   21.741 |   21.799 |   21.766 |   21.796 |   21.788 |   21.800 |   21.761 |   21.212 |   21.218 |   21.793 |   24.078 ||   -0.03   +0.24   +0.09   +0.23   +0.19   +0.25   +0.07   -2.46   -2.43   +0.21  +10.72
R4   |   21.682 |   21.675 |   21.730 |   21.707 |   21.732 |   21.728 |   21.730 |   21.696 |   20.998 |   20.997 |   21.724 |   24.120 ||   -0.03   +0.22   +0.11   +0.23   +0.21   +0.22   +0.07   -3.15   -3.16   +0.19  +11.25
R6   |   21.603 |   21.605 |   21.637 |   21.630 |   21.634 |   21.636 |   21.641 |   21.626 |   20.520 |   20.516 |   21.637 |   24.190 ||   +0.01   +0.16   +0.12   +0.14   +0.16   +0.18   +0.11   -5.01   -5.03   +0.16  +11.98
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
