### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.564 |   22.593 |   22.548 |   22.501 ||   +0.13   -0.07   -0.28
B    |   51.714 |   51.702 |   51.737 |   51.728 ||   -0.02   +0.05   +0.03
C    |   31.484 |   31.541 |   31.482 |   31.527 ||   +0.18   -0.01   +0.14
D    |   19.957 |   19.968 |   19.960 |   19.964 ||   +0.05   +0.01   +0.04
E    |   20.998 |   21.021 |   20.983 |   21.060 ||   +0.11   -0.07   +0.29
F    |   21.970 |   21.979 |   21.956 |   21.980 ||   +0.04   -0.06   +0.05
R1   |   22.031 |   22.026 |   22.036 |   22.032 ||   -0.02   +0.02   +0.00
R2   |   21.830 |   21.819 |   21.831 |   21.828 ||   -0.05   +0.00   -0.01
R3   |   21.731 |   21.722 |   21.734 |   21.729 ||   -0.04   +0.01   -0.01
R4   |   21.669 |   21.672 |   21.671 |   21.676 ||   +0.01   +0.01   +0.03
R6   |   21.605 |   21.598 |   21.604 |   21.601 ||   -0.03   -0.01   -0.02
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.561 |   22.553 |   22.541 |   22.524 ||   -0.03   -0.09   -0.16
B    |   51.692 |   51.746 |   51.757 |   51.719 ||   +0.10   +0.13   +0.05
C    |   31.458 |   31.586 |   31.416 |   31.509 ||   +0.41   -0.13   +0.16
D    |   19.957 |   19.969 |   19.962 |   19.953 ||   +0.06   +0.03   -0.02
E    |   21.006 |   21.009 |   20.989 |   21.058 ||   +0.01   -0.08   +0.24
F    |   21.976 |   21.974 |   21.968 |   21.987 ||   -0.01   -0.03   +0.05
R1   |   22.032 |   22.025 |   22.033 |   22.033 ||   -0.03   +0.00   +0.01
R2   |   21.822 |   21.823 |   21.828 |   21.827 ||   +0.00   +0.03   +0.02
R3   |   21.737 |   21.730 |   21.733 |   21.732 ||   -0.03   -0.02   -0.02
R4   |   21.671 |   21.675 |   21.671 |   21.680 ||   +0.02   +0.00   +0.04
R6   |   21.599 |   21.601 |   21.596 |   21.596 ||   +0.01   -0.02   -0.02
### AA-g4 : g4 g4 g4 g4
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   20.340 |   20.363 |   20.484 |   20.489 ||   +0.12   +0.71   +0.73
B    |   50.066 |   50.048 |   50.124 |   50.143 ||   -0.04   +0.12   +0.16
C    |   29.993 |   29.979 |   30.113 |   30.115 ||   -0.05   +0.40   +0.41
D    |   14.946 |   14.953 |   14.947 |   14.945 ||   +0.04   +0.00   -0.01
E    |   14.951 |   14.948 |   14.954 |   14.951 ||   -0.02   +0.02   +0.00
F    |   19.920 |   19.916 |   19.926 |   19.924 ||   -0.02   +0.03   +0.02
R1   |   22.113 |   22.118 |   22.125 |   22.101 ||   +0.02   +0.05   -0.06
R2   |   21.900 |   21.901 |   21.909 |   21.894 ||   +0.01   +0.04   -0.03
