### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.214 |   33.110 |   33.030 |   33.201 ||   -0.31   -0.55   -0.04
B    |   70.429 |   70.587 |   70.433 |   70.688 ||   +0.22   +0.01   +0.37
C    |   46.787 |   46.684 |   46.895 |   46.805 ||   -0.22   +0.23   +0.04
D    |   28.211 |   28.228 |   28.291 |   28.248 ||   +0.06   +0.28   +0.13
E    |   30.402 |   30.449 |   30.415 |   30.434 ||   +0.15   +0.04   +0.11
F    |   32.481 |   32.470 |   32.431 |   32.450 ||   -0.03   -0.16   -0.09
R1   |   32.719 |   32.728 |   32.718 |   32.872 ||   +0.03   -0.00   +0.47
R2   |   32.880 |   32.392 |   32.839 |   33.052 ||   -1.48   -0.12   +0.52
R3   |   33.006 |   32.604 |   33.024 |   33.160 ||   -1.22   +0.05   +0.47
R4   |   32.845 |   31.196 |   31.229 |   33.272 ||   -5.02   -4.92   +1.30
R6   |   30.820 |   30.757 |   30.770 |   30.785 ||   -0.20   -0.16   -0.11
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.225 |   33.153 |   33.067 |   33.160 ||   -0.22   -0.47   -0.19
B    |   70.424 |   70.575 |   70.365 |   70.672 ||   +0.21   -0.08   +0.35
C    |   46.845 |   46.726 |   46.830 |   46.827 ||   -0.26   -0.03   -0.04
D    |   28.237 |   28.238 |   28.237 |   28.233 ||   +0.00   -0.00   -0.02
E    |   30.434 |   30.426 |   30.432 |   30.415 ||   -0.03   -0.01   -0.06
F    |   32.493 |   32.426 |   32.448 |   32.439 ||   -0.21   -0.14   -0.17
R1   |   32.682 |   32.642 |   32.686 |   32.764 ||   -0.12   +0.01   +0.25
R2   |   32.813 |   32.403 |   32.812 |   32.984 ||   -1.25   -0.00   +0.52
R3   |   32.979 |   32.284 |   32.980 |   32.853 ||   -2.11   +0.00   -0.38
R4   |   31.127 |   31.061 |   31.102 |   32.131 ||   -0.21   -0.08   +3.23
R6   |   30.771 |   30.705 |   30.810 |   30.720 ||   -0.21   +0.13   -0.17
### AA-g4 : g4 g4 g4 g4
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   29.943 |   29.888 |   29.876 |   29.919 ||   -0.18   -0.22   -0.08
B    |   67.811 |   67.829 |   67.838 |   67.805 ||   +0.03   +0.04   -0.01
C    |   45.072 |   45.095 |   44.964 |   45.049 ||   +0.05   -0.24   -0.05
D    |   20.910 |   20.922 |   20.944 |   20.871 ||   +0.06   +0.16   -0.19
E    |   20.996 |   21.000 |   20.988 |   20.998 ||   +0.02   -0.04   +0.01
F    |   28.843 |   28.725 |   28.813 |   28.799 ||   -0.41   -0.10   -0.15
R1   |   32.808 |   32.759 |   32.785 |   32.767 ||   -0.15   -0.07   -0.13
R2   |   33.007 |   32.821 |   32.715 |   32.680 ||   -0.57   -0.89   -0.99
R3   |   33.085 |   32.769 |   32.764 |   32.667 ||   -0.96   -0.97   -1.26
R4   |   31.233 |   31.244 |   31.250 |   31.284 ||   +0.03   +0.06   +0.16
R6   |   30.871 |   30.838 |   30.825 |   30.858 ||   -0.11   -0.15   -0.04
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   29.863 |   29.905 |   29.828 |   29.939 ||   +0.14   -0.11   +0.25
B    |   67.774 |   67.891 |   67.734 |   67.913 ||   +0.17   -0.06   +0.21
C    |   44.890 |   44.928 |   44.891 |   44.992 ||   +0.09   +0.00   +0.23
D    |   21.006 |   20.999 |   20.957 |   20.974 ||   -0.04   -0.24   -0.15
E    |   21.002 |   21.003 |   20.998 |   20.996 ||   +0.01   -0.02   -0.03
F    |   28.713 |   28.676 |   28.633 |   28.692 ||   -0.13   -0.28   -0.07
R1   |   32.607 |   32.732 |   32.685 |   32.572 ||   +0.38   +0.24   -0.11
R2   |   32.822 |   32.673 |   32.567 |   32.799 ||   -0.45   -0.78   -0.07
R3   |   32.548 |   32.476 |   32.384 |   32.575 ||   -0.22   -0.51   +0.08
R4   |   32.916 |   32.511 |   32.547 |   32.836 ||   -1.23   -1.12   -0.24
R6   |   30.855 |   30.878 |   30.862 |   30.853 ||   +0.08   +0.02   -0.01
### AA-t4 : t4 t4 t4 t4
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   28.622 |   28.865 |   28.754 |   28.857 ||   +0.85   +0.46   +0.82
B    |   67.113 |   67.287 |   67.078 |   67.031 ||   +0.26   -0.05   -0.12
C    |   44.290 |   44.313 |   44.305 |   44.273 ||   +0.05   +0.03   -0.04
D    |   14.494 |   14.549 |   14.493 |   14.543 ||   +0.38   -0.01   +0.34
E    |   18.177 |   18.259 |   18.332 |   18.147 ||   +0.45   +0.85   -0.17
F    |   27.723 |   27.763 |   27.674 |   27.763 ||   +0.14   -0.18   +0.14
R1   |   32.802 |   33.073 |   32.651 |   33.146 ||   +0.83   -0.46   +1.05
R2   |   32.915 |   33.143 |   32.872 |   33.439 ||   +0.69   -0.13   +1.59
R3   |   32.884 |   33.073 |   32.592 |   33.493 ||   +0.57   -0.89   +1.85
R4   |   31.235 |   31.028 |   31.225 |   31.008 ||   -0.66   -0.03   -0.73
R6   |   30.866 |   30.651 |   30.799 |   30.657 ||   -0.70   -0.22   -0.68
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   28.641 |   28.834 |   28.706 |   28.787 ||   +0.68   +0.23   +0.51
B    |   67.088 |   67.139 |   66.998 |   67.075 ||   +0.08   -0.13   -0.02
C    |   44.280 |   44.302 |   44.288 |   44.202 ||   +0.05   +0.02   -0.18
