### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.443 |   28.297 |   29.482 |   28.320 ||   -0.51   +3.65   -0.43
B    |   61.899 |   61.843 |   61.964 |   61.816 ||   -0.09   +0.11   -0.13
C    |   37.857 |   38.017 |   37.824 |   38.040 ||   +0.42   -0.09   +0.48
D    |   23.929 |   23.968 |   23.921 |   23.909 ||   +0.16   -0.03   -0.08
E    |   25.853 |   25.791 |   25.843 |   25.745 ||   -0.24   -0.04   -0.42
F    |   27.148 |   27.175 |   27.137 |   27.116 ||   +0.10   -0.04   -0.12
R1   |   27.200 |   27.220 |   27.183 |   27.277 ||   +0.07   -0.06   +0.28
R2   |   26.815 |   26.818 |   26.834 |   26.791 ||   +0.01   +0.07   -0.09
R3   |   26.561 |   26.521 |   26.557 |   26.530 ||   -0.15   -0.01   -0.11
R4   |   26.407 |   26.359 |   26.378 |   26.360 ||   -0.18   -0.11   -0.18
R6   |   26.135 |   26.117 |   26.127 |   26.119 ||   -0.07   -0.03   -0.06
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.482 |   28.312 |   28.332 |   28.264 ||   -0.60   -0.53   -0.76
B    |   61.902 |   61.856 |   61.975 |   61.777 ||   -0.07   +0.12   -0.20
C    |   37.918 |   38.001 |   37.827 |   37.977 ||   +0.22   -0.24   +0.15
D    |   23.920 |   23.944 |   23.914 |   23.895 ||   +0.10   -0.03   -0.11
E    |   25.848 |   25.812 |   25.828 |   25.764 ||   -0.14   -0.07   -0.32
F    |   27.131 |   27.168 |   27.131 |   27.144 ||   +0.14   -0.00   +0.05
R1   |   27.195 |   27.227 |   27.202 |   27.278 ||   +0.12   +0.03   +0.31
R2   |   26.834 |   26.757 |   26.777 |   26.796 ||   -0.29   -0.21   -0.14
R3   |   26.557 |   26.504 |   26.548 |   26.530 ||   -0.20   -0.03   -0.10
R4   |   26.400 |   26.349 |   26.365 |   26.366 ||   -0.19   -0.13   -0.13
R6   |   26.094 |   26.109 |   26.117 |   26.119 ||   +0.06   +0.09   +0.10
### AA-g4 : g4 g4 g4 g4
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   24.596 |   24.581 |   24.677 |   24.661 ||   -0.06   +0.33   +0.27
B    |   59.406 |   59.381 |   59.494 |   59.416 ||   -0.04   +0.15   +0.02
C    |   36.073 |   36.045 |   36.225 |   36.134 ||   -0.08   +0.42   +0.17
D    |   17.871 |   17.869 |   17.861 |   17.866 ||   -0.01   -0.05   -0.03
E    |   17.866 |   17.871 |   17.862 |   17.869 ||   +0.03   -0.02   +0.02
F    |   23.879 |   23.872 |   23.886 |   23.869 ||   -0.03   +0.03   -0.04
R1   |   27.227 |   27.214 |   27.187 |   27.184 ||   -0.05   -0.15   -0.16
R2   |   26.754 |   26.758 |   26.740 |   26.751 ||   +0.02   -0.05   -0.01
R3   |   26.476 |   26.512 |   26.459 |   26.483 ||   +0.14   -0.06   +0.03
R4   |   26.331 |   26.351 |   26.305 |   26.338 ||   +0.08   -0.10   +0.03
R6   |   26.095 |   26.100 |   26.089 |   26.103 ||   +0.02   -0.02   +0.03
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   24.610 |   24.583 |   24.677 |   24.673 ||   -0.11   +0.27   +0.26
B    |   59.403 |   59.377 |   59.494 |   59.377 ||   -0.04   +0.15   -0.04
C    |   36.076 |   36.036 |   36.257 |   36.163 ||   -0.11   +0.50   +0.24
D    |   17.876 |   17.874 |   17.868 |   17.872 ||   -0.01   -0.04   -0.02
E    |   17.866 |   17.878 |   17.866 |   17.866 ||   +0.06   -0.00   -0.00
F    |   23.888 |   23.889 |   23.880 |   23.872 ||   +0.00   -0.03   -0.06
R1   |   27.209 |   27.193 |   27.168 |   27.204 ||   -0.06   -0.15   -0.02
R2   |   26.764 |   26.745 |   26.739 |   26.763 ||   -0.07   -0.09   -0.00
R3   |   26.456 |   26.489 |   26.455 |   26.495 ||   +0.13   -0.00   +0.15
R4   |   26.323 |   26.346 |   26.314 |   26.359 ||   +0.09   -0.04   +0.13
R6   |   26.103 |   26.096 |   26.093 |   26.090 ||   -0.03   -0.04   -0.05
### AA-t4 : t4 t4 t4 t4
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   23.932 |   24.052 |   24.048 |   23.975 ||   +0.50   +0.49   +0.18
B    |   58.840 |   58.918 |   58.785 |   58.929 ||   +0.13   -0.09   +0.15
C    |   35.636 |   35.708 |   35.643 |   35.821 ||   +0.20   +0.02   +0.52
D    |   12.902 |   12.905 |   12.900 |   12.878 ||   +0.02   -0.01   -0.19
E    |   14.813 |   14.814 |   14.799 |   14.806 ||   +0.01   -0.09   -0.04
F    |   22.303 |   22.499 |   22.343 |   22.276 ||   +0.88   +0.18   -0.12
R1   |   27.205 |   27.255 |   27.164 |   27.222 ||   +0.18   -0.15   +0.06
R2   |   26.754 |   26.855 |   26.742 |   26.828 ||   +0.38   -0.05   +0.28
R3   |   26.469 |   26.449 |   26.457 |   26.525 ||   -0.08   -0.05   +0.21
R4   |   26.315 |   26.311 |   26.301 |   26.347 ||   -0.01   -0.05   +0.12
R6   |   26.084 |   26.132 |   26.085 |   26.116 ||   +0.18   +0.01   +0.12
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   23.907 |   24.065 |   24.023 |   23.982 ||   +0.66   +0.48   +0.31
B    |   58.839 |   58.908 |   58.771 |   58.864 ||   +0.12   -0.12   +0.04
C    |   35.617 |   35.670 |   35.652 |   35.894 ||   +0.15   +0.10   +0.78
D    |   12.902 |   12.903 |   12.901 |   12.877 ||   +0.01   -0.00   -0.19
E    |   14.826 |   14.802 |   14.802 |   14.792 ||   -0.16   -0.16   -0.23
F    |   22.315 |   22.499 |   22.333 |   22.269 ||   +0.82   +0.08   -0.20
R1   |   27.201 |   27.245 |   27.150 |   27.244 ||   +0.16   -0.18   +0.16
R2   |   26.745 |   26.817 |   26.707 |   26.867 ||   +0.27   -0.15   +0.46
