=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   33.001 |   33.216 |   33.372 |   33.098 |   29.899 |   29.956 |   30.125 |   30.254 |   29.866 |   29.158 |   28.736 |   31.091 ||   +0.65   +1.12   +0.30   -9.40   -9.22   -8.71   -8.32   -9.50  -11.64  -12.92   -5.79
B    |   70.716 |   70.802 |   70.620 |   70.245 |   67.935 |   67.938 |   67.793 |   68.225 |   67.972 |   67.881 |   67.072 |   68.868 ||   +0.12   -0.14   -0.67   -3.93   -3.93   -4.13   -3.52   -3.88   -4.01   -5.15   -2.61
C    |   46.885 |   46.799 |   47.188 |   46.967 |   45.016 |   45.162 |   45.202 |   44.997 |   44.920 |   44.374 |   44.494 |   45.156 ||   -0.18   +0.65   +0.17   -3.99   -3.67   -3.59   -4.03   -4.19   -5.36   -5.10   -3.69
D    |   28.229 |   28.223 |   28.418 |   28.385 |   20.978 |   20.988 |   21.278 |   17.560 |   21.044 |   14.558 |   14.510 |   15.179 ||   -0.02   +0.67   +0.55  -25.69  -25.65  -24.62  -37.79  -25.45  -48.43  -48.60  -46.23
E    |   30.406 |   30.475 |   30.393 |   30.251 |   21.007 |   21.011 |   21.282 |   21.086 |   21.071 |   18.653 |   18.412 |   20.913 ||   +0.23   -0.04   -0.51  -30.91  -30.90  -30.01  -30.65  -30.70  -38.65  -39.45  -31.22
F    |   32.512 |   32.468 |   32.543 |   32.756 |   28.746 |   28.888 |   28.924 |   29.126 |   26.673 |   26.433 |   27.803 |   33.062 ||   -0.14   +0.10   +0.75  -11.58  -11.15  -11.03  -10.41  -17.96  -18.70  -14.48   +1.69
R1   |   32.725 |   32.684 |   32.799 |   33.207 |   32.786 |   32.719 |   32.751 |   33.139 |   33.089 |   33.104 |   32.798 |   35.499 ||   -0.13   +0.22   +1.47   +0.18   -0.02   +0.08   +1.26   +1.11   +1.16   +0.22   +8.48
R2   |   32.619 |   32.251 |   32.911 |   33.337 |   32.745 |   32.816 |   32.578 |   33.200 |   30.479 |   31.169 |   31.957 |   36.176 ||   -1.13   +0.90   +2.20   +0.39   +0.60   -0.12   +1.78   -6.56   -4.45   -2.03  +10.91
R3   |   32.868 |   32.180 |   32.925 |   33.567 |   32.290 |   32.912 |   32.757 |   32.904 |   29.736 |   30.025 |   31.473 |   36.319 ||   -2.09   +0.17   +2.12   -1.76   +0.13   -0.34   +0.11   -9.53   -8.65   -4.24  +10.50
R4   |   33.056 |   32.372 |   31.451 |   31.052 |   31.294 |   31.311 |   31.249 |   31.028 |   29.379 |   29.549 |   31.162 |   36.352 ||   -2.07   -4.85   -6.06   -5.33   -5.28   -5.47   -6.14  -11.12  -10.61   -5.73   +9.97
R6   |   30.756 |   30.815 |   30.935 |   30.703 |   30.947 |   30.867 |   30.879 |   30.680 |   28.578 |   28.900 |   30.939 |   36.401 ||   +0.19   +0.58   -0.17   +0.62   +0.36   +0.40   -0.25   -7.08   -6.03   +0.59  +18.35
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
