=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
R6   |   26.166 |   26.110 |   26.099 |   26.052 |   26.106 |   26.117 |   26.075 |   26.110 |   23.985 |   23.974 |   26.110 |   30.895 ||   -0.21   -0.26   -0.44   -0.23   -0.19   -0.35   -0.22   -8.34   -8.38   -0.21  +18.07
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.395 |   28.602 |   29.045 |   29.766 |   24.815 |   24.680 |   24.710 |   24.926 |   24.343 |   23.229 |   23.997 |   24.612 ||   +0.73   +2.29   +4.83  -12.61  -13.08  -12.98  -12.22  -14.27  -18.19  -15.49  -13.33
B    |   61.919 |   61.888 |   62.021 |   61.979 |   59.504 |   59.463 |   59.511 |   59.842 |   59.714 |   59.139 |   58.692 |   59.368 ||   -0.05   +0.16   +0.10   -3.90   -3.97   -3.89   -3.35   -3.56   -4.49   -5.21   -4.12
C    |   38.027 |   38.185 |   37.979 |   38.143 |   36.370 |   36.308 |   36.237 |   36.303 |   36.010 |   35.804 |   35.712 |   36.309 ||   +0.42   -0.13   +0.30   -4.36   -4.52   -4.71   -4.53   -5.30   -5.85   -6.09   -4.52
D    |   23.928 |   23.993 |   23.932 |   24.002 |   17.859 |   17.874 |   17.978 |   13.577 |   17.873 |   12.895 |   12.901 |   12.922 ||   +0.27   +0.02   +0.31  -25.36  -25.30  -24.86  -43.26  -25.31  -46.11  -46.08  -45.99
E    |   25.859 |   25.720 |   25.767 |   25.771 |   17.870 |   17.867 |   17.982 |   15.554 |   17.864 |   14.769 |   14.857 |   15.452 ||   -0.54   -0.35   -0.34  -30.89  -30.91  -30.46  -39.85  -30.92  -42.89  -42.55  -40.24
F    |   27.110 |   27.099 |   27.083 |   27.103 |   23.912 |   23.887 |   23.902 |   23.235 |   21.844 |   20.838 |   22.418 |   25.423 ||   -0.04   -0.10   -0.03  -11.80  -11.89  -11.83  -14.30  -19.43  -23.14  -17.31   -6.22
R1   |   27.416 |   27.266 |   27.179 |   27.237 |   27.232 |   27.383 |   27.211 |   27.248 |   26.100 |   26.111 |   27.262 |   28.861 ||   -0.55   -0.86   -0.65   -0.67   -0.12   -0.75   -0.61   -4.80   -4.76   -0.56   +5.27
R2   |   26.930 |   26.770 |   26.749 |   26.716 |   26.785 |   26.822 |   26.757 |   26.824 |   25.327 |   25.277 |   26.796 |   29.309 ||   -0.60   -0.67   -0.79   -0.54   -0.40   -0.64   -0.39   -5.95   -6.14   -0.50   +8.83
R3   |   26.627 |   26.525 |   26.489 |   26.488 |   26.478 |   26.536 |   26.463 |   26.542 |   24.804 |   24.817 |   26.528 |   29.483 ||   -0.39   -0.52   -0.52   -0.56   -0.34   -0.62   -0.32   -6.85   -6.80   -0.37  +10.72
R4   |   26.435 |   26.359 |   26.323 |   26.324 |   26.304 |   26.391 |   26.307 |   26.368 |   24.531 |   24.531 |   26.381 |   29.589 ||   -0.29   -0.43   -0.42   -0.50   -0.17   -0.49   -0.25   -7.21   -7.20   -0.21  +11.93
R6   |   26.173 |   26.116 |   26.111 |   26.057 |   26.103 |   26.136 |   26.084 |   26.136 |   23.993 |   23.957 |   26.113 |   30.904 ||   -0.22   -0.24   -0.44   -0.27   -0.14   -0.34   -0.14   -8.33   -8.47   -0.23  +18.08
=== process order2.1
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.580 |   24.591 |   23.946 |   24.274 |   24.440 |   24.924 |   24.780 |   24.606 |   24.635 |   28.567 |   28.965 |   28.611 ||  -13.96  -16.22  -15.07  -14.49  -12.79  -13.30  -13.90  -13.80   -0.05   +1.35   +0.11
B    |   61.952 |   59.336 |   58.952 |   59.035 |   59.957 |   59.703 |   59.445 |   59.453 |   59.456 |   61.936 |   62.052 |   61.893 ||   -4.22   -4.84   -4.71   -3.22   -3.63   -4.05   -4.03   -4.03   -0.03   +0.16   -0.10
C    |   38.032 |   36.084 |   35.998 |   35.962 |   36.312 |   36.488 |   36.291 |   36.296 |   36.282 |   38.054 |   38.145 |   38.100 ||   -5.12   -5.35   -5.44   -4.52   -4.06   -4.58   -4.57   -4.60   +0.06   +0.30   +0.18
D    |   23.945 |   12.923 |   12.878 |   12.899 |   17.895 |   13.586 |   17.993 |   17.884 |   17.867 |   23.963 |   24.035 |   23.941 ||  -46.03  -46.22  -46.13  -25.27  -43.26  -24.86  -25.31  -25.38   +0.08   +0.37   -0.02
E    |   25.811 |   15.460 |   14.841 |   14.760 |   17.890 |   15.570 |   17.990 |   17.872 |   17.879 |   25.786 |   25.732 |   25.815 ||  -40.10  -42.50  -42.82  -30.69  -39.68  -30.30  -30.76  -30.73   -0.10   -0.31   +0.01
F    |   27.133 |   25.453 |   22.309 |   21.021 |   22.031 |   23.218 |   23.910 |   23.929 |   23.929 |   27.097 |   27.143 |   27.083 ||   -6.19  -17.78  -22.53  -18.80  -14.43  -11.88  -11.81  -11.81   -0.13   +0.04   -0.18
R1   |   27.423 |   28.836 |   27.308 |   26.095 |   26.247 |   27.279 |   27.225 |   27.217 |   27.200 |   27.212 |   27.273 |   27.244 ||   +5.15   -0.42   -4.84   -4.29   -0.52   -0.72   -0.75   -0.81   -0.77   -0.55   -0.65
R2   |   26.907 |   29.298 |   26.821 |   25.274 |   25.437 |   26.840 |   26.778 |   26.775 |   26.740 |   26.765 |   26.848 |   26.868 ||   +8.89   -0.32   -6.07   -5.46   -0.25   -0.48   -0.49   -0.62   -0.53   -0.22   -0.14
R3   |   26.644 |   29.482 |   26.525 |   24.837 |   24.930 |   26.544 |   26.563 |   26.544 |   26.469 |   26.490 |   26.566 |   26.560 ||  +10.65   -0.45   -6.78   -6.43   -0.37   -0.30   -0.38   -0.66   -0.58   -0.29   -0.32
R4   |   26.394 |   29.584 |   26.377 |   24.524 |   24.681 |   26.389 |   26.327 |   26.387 |   26.328 |   26.339 |   26.385 |   26.417 ||  +12.09   -0.06   -7.09   -6.49   -0.02   -0.25   -0.02   -0.25   -0.21   -0.03   +0.09
R6   |   26.176 |   30.821 |   26.050 |   23.974 |   24.088 |   26.136 |   26.120 |   26.102 |   26.108 |   26.090 |   26.124 |   26.140 ||  +17.75   -0.48   -8.41   -7.98   -0.15   -0.21   -0.28   -0.26   -0.33   -0.20   -0.14
=== process order2.2
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.620 |   24.636 |   23.877 |   24.307 |   24.447 |   24.916 |   24.794 |   24.601 |   24.618 |   28.931 |   29.710 |   28.526 ||  -13.92  -16.57  -15.07  -14.58  -12.94  -13.37  -14.04  -13.98   +1.09   +3.81   -0.33
B    |   61.917 |   59.376 |   59.049 |   59.052 |   59.956 |   59.679 |   59.419 |   59.397 |   59.403 |   61.943 |   61.881 |   61.898 ||   -4.10   -4.63   -4.63   -3.17   -3.61   -4.03   -4.07   -4.06   +0.04   -0.06   -0.03
C    |   37.984 |   36.035 |   36.007 |   35.943 |   36.298 |   36.525 |   36.308 |   36.280 |   36.246 |   38.036 |   38.078 |   38.151 ||   -5.13   -5.20   -5.37   -4.44   -3.84   -4.41   -4.49   -4.57   +0.14   +0.25   +0.44
D    |   23.969 |   12.924 |   12.878 |   12.903 |   17.897 |   13.587 |   17.992 |   17.857 |   17.888 |   23.966 |   24.042 |   23.963 ||  -46.08  -46.27  -46.17  -25.33  -43.31  -24.94  -25.50  -25.37   -0.01   +0.31   -0.02
E    |   25.805 |   15.436 |   14.827 |   14.747 |   17.893 |   15.539 |   17.982 |   17.880 |   17.876 |   25.771 |   25.715 |   25.793 ||  -40.18  -42.54  -42.85  -30.66  -39.78  -30.32  -30.71  -30.73   -0.13   -0.35   -0.05
F    |   27.131 |   25.454 |   22.329 |   21.081 |   21.994 |   23.250 |   23.939 |   23.926 |   23.955 |   27.108 |   27.116 |   27.115 ||   -6.18  -17.70  -22.30  -18.93  -14.30  -11.76  -11.81  -11.71   -0.08   -0.06   -0.06
R1   |   27.427 |   28.842 |   27.266 |   26.118 |   26.229 |   27.263 |   27.277 |   27.234 |   27.259 |   27.210 |   27.280 |   27.236 ||   +5.16   -0.59   -4.78   -4.37   -0.60   -0.55   -0.71   -0.61   -0.79   -0.54   -0.70
R2   |   26.913 |   29.312 |   26.824 |   25.269 |   25.423 |   26.836 |   26.789 |   26.767 |   26.770 |   26.753 |   26.863 |   26.846 ||   +8.91   -0.33   -6.11   -5.54   -0.29   -0.46   -0.54   -0.53   -0.59   -0.18   -0.25
R3   |   26.637 |   29.475 |   26.519 |   24.833 |   24.940 |   26.528 |   26.536 |   26.488 |   26.506 |   26.500 |   26.553 |   26.578 ||  +10.65   -0.44   -6.77   -6.37   -0.41   -0.38   -0.56   -0.49   -0.52   -0.32   -0.22
R4   |   26.466 |   29.581 |   26.379 |   24.527 |   24.641 |   26.353 |   26.301 |   26.391 |   26.337 |   26.342 |   26.361 |   26.418 ||  +11.77   -0.33   -7.33   -6.90   -0.43   -0.62   -0.28   -0.49   -0.47   -0.39   -0.18
R6   |   26.102 |   30.868 |   26.120 |   23.972 |   24.103 |   26.130 |   26.139 |   26.130 |   26.112 |   26.086 |   26.127 |   26.151 ||  +18.26   +0.07   -8.16   -7.66   +0.11   +0.14   +0.11   +0.04   -0.06   +0.10   +0.19
=== process order2.3
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.624 |   24.652 |   23.900 |   24.320 |   24.421 |   25.049 |   24.838 |   24.593 |   24.595 |   28.511 |   29.736 |   28.579 ||  -13.88  -16.50  -15.04  -14.68  -12.49  -13.23  -14.08  -14.08   -0.39   +3.88   -0.16
B    |   61.947 |   59.347 |   59.076 |   59.039 |   59.948 |   59.693 |   59.470 |   59.434 |   59.421 |   61.970 |   62.062 |   61.931 ||   -4.20   -4.63   -4.69   -3.23   -3.64   -4.00   -4.06   -4.08   +0.04   +0.19   -0.02
C    |   38.005 |   36.115 |   35.969 |   35.922 |   36.310 |   36.524 |   36.232 |   36.198 |   36.262 |   38.104 |   38.099 |   38.061 ||   -4.97   -5.36   -5.48   -4.46   -3.90   -4.66   -4.75   -4.59   +0.26   +0.25   +0.15
D    |   23.964 |   12.920 |   12.880 |   12.900 |   17.886 |   13.571 |   18.000 |   17.866 |   17.881 |   23.969 |   24.031 |   23.953 ||  -46.09  -46.26  -46.17  -25.37  -43.37  -24.89  -25.45  -25.38   +0.02   +0.28   -0.05
E    |   25.817 |   15.472 |   14.834 |   14.734 |   17.887 |   15.549 |   17.990 |   17.872 |   17.879 |   25.782 |   25.777 |   25.832 ||  -40.07  -42.54  -42.93  -30.72  -39.77  -30.32  -30.77  -30.75   -0.14   -0.16   +0.06
F    |   27.123 |   25.462 |   22.358 |   21.037 |   21.995 |   23.251 |   23.956 |   23.932 |   23.914 |   27.088 |   27.153 |   27.129 ||   -6.12  -17.57  -22.44  -18.91  -14.27  -11.67  -11.76  -11.83   -0.13   +0.11   +0.02
R1   |   27.423 |   28.828 |   27.284 |   26.124 |   26.217 |   27.274 |   27.264 |   27.233 |   27.197 |   27.202 |   27.322 |   27.249 ||   +5.12   -0.51   -4.74   -4.40   -0.55   -0.58   -0.69   -0.82   -0.81   -0.37   -0.64
R2   |   26.928 |   29.308 |   26.807 |   25.343 |   25.424 |   26.750 |   26.843 |   26.818 |   26.757 |   26.748 |   26.857 |   26.879 ||   +8.84   -0.45   -5.89   -5.58   -0.66   -0.32   -0.41   -0.63   -0.67   -0.26   -0.18
R3   |   26.650 |   29.474 |   26.521 |   24.812 |   24.971 |   26.541 |   26.543 |   26.561 |   26.507 |   26.512 |   26.587 |   26.572 ||  +10.60   -0.49   -6.90   -6.30   -0.41   -0.40   -0.33   -0.54   -0.52   -0.24   -0.30
R4   |   26.418 |   29.590 |   26.371 |   24.529 |   24.694 |   26.395 |   26.369 |   26.356 |   26.338 |   26.335 |   26.353 |   26.417 ||  +12.01   -0.18   -7.15   -6.52   -0.09   -0.19   -0.24   -0.30   -0.31   -0.25   -0.00
R6   |   26.147 |   30.497 |   26.129 |   23.963 |   24.128 |   26.137 |   26.130 |   26.140 |   26.080 |   26.090 |   26.161 |   26.148 ||  +16.64   -0.07   -8.35   -7.72   -0.04   -0.07   -0.03   -0.26   -0.22   +0.05   +0.01
=== process order3.1
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.423 |   24.730 |   23.582 |   28.498 |   24.115 |   28.452 |   24.530 |   24.704 |   28.618 |   24.006 |   24.457 |   24.579 ||  -12.99  -17.03   +0.26  -15.16   +0.10  -13.70  -13.09   +0.69  -15.54  -13.95  -13.52
B    |   61.946 |   59.497 |   59.720 |   62.040 |   59.129 |   62.103 |   59.228 |   59.532 |   61.879 |   58.719 |   59.986 |   59.427 ||   -3.95   -3.59   +0.15   -4.55   +0.25   -4.39   -3.90   -0.11   -5.21   -3.16   -4.07
C    |   38.041 |   36.267 |   36.164 |   38.004 |   35.908 |   38.267 |   35.987 |   36.491 |   38.396 |   35.966 |   36.330 |   36.517 ||   -4.66   -4.93   -0.10   -5.61   +0.60   -5.40   -4.07   +0.93   -5.45   -4.50   -4.00
D    |   23.963 |   17.995 |   13.583 |   23.949 |   12.887 |   23.970 |   12.932 |   17.876 |   23.927 |   12.879 |   17.899 |   17.869 ||  -24.90  -43.32   -0.06  -46.22   +0.03  -46.03  -25.40   -0.15  -46.25  -25.31  -25.43
E    |   25.772 |   17.990 |   15.555 |   25.743 |   14.354 |   25.779 |   15.464 |   17.868 |   25.782 |   14.248 |   17.887 |   17.870 ||  -30.20  -39.65   -0.11  -44.31   +0.03  -40.00  -30.67   +0.04  -44.72  -30.60  -30.66
F    |   27.119 |   23.931 |   23.194 |   27.142 |   20.831 |   27.154 |   25.302 |   23.879 |   27.094 |   22.337 |   21.962 |   23.919 ||  -11.76  -14.47   +0.08  -23.19   +0.13   -6.70  -11.95   -0.09  -17.63  -19.02  -11.80
R1   |   27.431 |   27.236 |   27.210 |   27.366 |   26.210 |   27.308 |   28.841 |   27.201 |   27.220 |   27.270 |   26.233 |   27.259 ||   -0.71   -0.81   -0.24   -4.45   -0.45   +5.14   -0.84   -0.77   -0.59   -4.37   -0.63
R2   |   26.941 |   26.811 |   26.770 |   26.937 |   25.414 |   26.880 |   29.263 |   26.721 |   26.794 |   26.815 |   25.389 |   26.795 ||   -0.48   -0.64   -0.02   -5.67   -0.23   +8.62   -0.82   -0.55   -0.47   -5.76   -0.54
R3   |   26.642 |   26.516 |   26.494 |   26.611 |   24.932 |   26.463 |   29.436 |   26.487 |   26.536 |   26.573 |   24.944 |   26.545 ||   -0.47   -0.56   -0.12   -6.42   -0.67  +10.49   -0.58   -0.40   -0.26   -6.37   -0.36
R4   |   26.421 |   26.372 |   26.339 |   26.426 |   24.612 |   26.314 |   29.532 |   26.312 |   26.359 |   26.379 |   24.666 |   26.392 ||   -0.18   -0.31   +0.02   -6.85   -0.40  +11.78   -0.41   -0.24   -0.16   -6.64   -0.11
R6   |   26.119 |   26.128 |   26.120 |   26.160 |   24.052 |   26.070 |   30.453 |   26.069 |   26.122 |   26.157 |   24.091 |   26.129 ||   +0.04   +0.01   +0.16   -7.91   -0.19  +16.59   -0.19   +0.01   +0.15   -7.76   +0.04
=== process order3.2
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.519 |   24.725 |   23.525 |   28.486 |   23.978 |   28.696 |   24.533 |   24.711 |   28.688 |   24.024 |   24.516 |   24.598 ||  -13.30  -17.51   -0.11  -15.92   +0.62  -13.98  -13.35   +0.60  -15.76  -14.03  -13.75
B    |   62.007 |   59.512 |   59.787 |   62.048 |   59.159 |   62.072 |   59.274 |   59.520 |   61.900 |   58.693 |   59.956 |   59.364 ||   -4.02   -3.58   +0.07   -4.59   +0.10   -4.41   -4.01   -0.17   -5.34   -3.31   -4.26
C    |   37.981 |   36.119 |   36.248 |   38.038 |   35.948 |   38.324 |   36.025 |   36.385 |   38.409 |   35.979 |   36.340 |   36.421 ||   -4.90   -4.56   +0.15   -5.35   +0.90   -5.15   -4.20   +1.13   -5.27   -4.32   -4.11
D    |   23.953 |   17.992 |   13.577 |   23.940 |   12.890 |   23.967 |   12.931 |   17.876 |   23.935 |   12.886 |   17.896 |   17.870 ||  -24.89  -43.32   -0.06  -46.19   +0.06  -46.02  -25.37   -0.08  -46.20  -25.29  -25.40
E    |   25.816 |   17.989 |   15.522 |   25.773 |   14.391 |   25.766 |   15.447 |   17.873 |   25.796 |   14.272 |   17.885 |   17.873 ||  -30.32  -39.87   -0.17  -44.26   -0.20  -40.17  -30.77   -0.08  -44.72  -30.72  -30.77
F    |   27.154 |   23.929 |   23.192 |   27.141 |   20.819 |   27.141 |   25.344 |   23.892 |   27.083 |   22.347 |   21.953 |   23.911 ||  -11.88  -14.59   -0.05  -23.33   -0.05   -6.67  -12.01   -0.26  -17.70  -19.16  -11.94
R1   |   27.431 |   27.240 |   27.198 |   27.367 |   26.228 |   27.301 |   28.826 |   27.207 |   27.227 |   27.275 |   26.245 |   27.273 ||   -0.70   -0.85   -0.23   -4.38   -0.47   +5.09   -0.82   -0.74   -0.57   -4.32   -0.58
R2   |   26.941 |   26.810 |   26.755 |   26.900 |   25.437 |   26.860 |   29.275 |   26.739 |   26.762 |   26.814 |   25.467 |   26.807 ||   -0.49   -0.69   -0.15   -5.58   -0.30   +8.66   -0.75   -0.66   -0.47   -5.47   -0.50
R3   |   26.647 |   26.532 |   26.489 |   26.608 |   24.925 |   26.544 |   29.438 |   26.488 |   26.497 |   26.518 |   24.950 |   26.543 ||   -0.43   -0.59   -0.15   -6.46   -0.39  +10.47   -0.60   -0.56   -0.48   -6.37   -0.39
R4   |   26.465 |   26.371 |   26.341 |   26.428 |   24.637 |   26.315 |   29.524 |   26.298 |   26.352 |   26.377 |   24.665 |   26.351 ||   -0.36   -0.47   -0.14   -6.91   -0.57  +11.56   -0.63   -0.43   -0.33   -6.80   -0.43
R6   |   26.120 |   26.138 |   26.124 |   26.149 |   24.050 |   26.092 |   29.688 |   26.082 |   26.133 |   26.132 |   24.084 |   26.090 ||   +0.07   +0.01   +0.11   -7.93   -0.11  +13.66   -0.15   +0.05   +0.04   -7.80   -0.12
=== process order3.3
mix  |     base |      g4h |       a4 |   baseAA |     t4p8 |     dsp0 |    m4s4h |       g4 |   dsp0AA |       t4 |     g4p8 |     g4AA ||     g4h%      a4%  baseAA%    t4p8%    dsp0%   m4s4h%      g4%  dsp0AA%      t4%    g4p8%    g4AA%
A    |   28.536 |   24.710 |   23.569 |   29.757 |   24.130 |   29.789 |   24.490 |   24.712 |   29.684 |   23.982 |   24.491 |   24.613 ||  -13.41  -17.41   +4.28  -15.44   +4.39  -14.18  -13.40   +4.02  -15.96  -14.18  -13.75
B    |   61.973 |   59.551 |   59.812 |   62.002 |   59.123 |   62.094 |   59.270 |   59.487 |   61.869 |   58.738 |   59.981 |   59.372 ||   -3.91   -3.49   +0.05   -4.60   +0.20   -4.36   -4.01   -0.17   -5.22   -3.21   -4.20
C    |   38.042 |   36.275 |   36.171 |   38.086 |   35.925 |   38.357 |   36.026 |   36.431 |   38.396 |   35.992 |   36.324 |   36.453 ||   -4.65   -4.92   +0.11   -5.57   +0.83   -5.30   -4.24   +0.93   -5.39   -4.52   -4.18
D    |   23.961 |   17.990 |   13.592 |   23.934 |   12.889 |   23.969 |   12.932 |   17.874 |   23.938 |   12.901 |   17.887 |   17.873 ||  -24.92  -43.27   -0.11  -46.21   +0.03  -46.03  -25.40   -0.10  -46.16  -25.35  -25.41
E    |   25.809 |   17.986 |   15.576 |   25.774 |   14.513 |   25.803 |   15.429 |   17.870 |   25.776 |   14.256 |   17.892 |   17.870 ||  -30.31  -39.65   -0.14  -43.77   -0.02  -40.22  -30.76   -0.13  -44.76  -30.68  -30.76
F    |   27.100 |   23.938 |   23.173 |   27.167 |   20.836 |   27.173 |   25.335 |   23.897 |   27.106 |   22.339 |   21.940 |   23.906 ||  -11.67  -14.49   +0.25  -23.11   +0.27   -6.51  -11.82   +0.02  -17.57  -19.04  -11.79
