### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R4   |   26.311 |   26.301 |   26.294 |   26.349 ||   -0.04   -0.07   +0.14
R6   |   26.078 |   26.073 |   26.089 |   26.120 ||   -0.02   +0.04   +0.16
### p-g4-t4 : g4 t4 g4 t4
mix  |     g4_0 |     t4_1 |     g4_2 |     t4_3 ||    t4_1%    g4_2%    t4_3%
A    |   24.586 |   23.827 |   24.660 |   24.078 ||   -3.08   +0.30   -2.06
B    |   59.432 |   58.741 |   59.477 |   58.655 ||   -1.16   +0.08   -1.31
C    |   36.005 |   35.562 |   36.123 |   35.806 ||   -1.23   +0.33   -0.55
D    |   17.868 |   12.905 |   17.874 |   12.903 ||  -27.78   +0.03  -27.79
E    |   17.876 |   14.340 |   17.869 |   14.265 ||  -19.78   -0.04  -20.20
F    |   23.881 |   22.236 |   23.871 |   22.513 ||   -6.89   -0.04   -5.73
R1   |   27.188 |   27.204 |   27.293 |   27.298 ||   +0.06   +0.39   +0.41
R2   |   26.769 |   26.799 |   26.852 |   26.836 ||   +0.11   +0.31   +0.25
R3   |   26.475 |   26.518 |   26.516 |   26.544 ||   +0.16   +0.16   +0.26
R4   |   26.319 |   26.354 |   26.302 |   26.312 ||   +0.13   -0.07   -0.03
R6   |   26.093 |   26.120 |   26.145 |   26.152 ||   +0.11   +0.20   +0.23
mix  |     g4_0 |     t4_1 |     g4_2 |     t4_3 ||    t4_1%    g4_2%    t4_3%
A    |   24.639 |   23.858 |   24.680 |   24.047 ||   -3.17   +0.17   -2.40
B    |   59.366 |   58.741 |   59.468 |   58.723 ||   -1.05   +0.17   -1.08
C    |   36.068 |   35.510 |   36.108 |   35.806 ||   -1.55   +0.11   -0.73
D    |   17.874 |   12.896 |   17.864 |   12.904 ||  -27.85   -0.06  -27.81
E    |   17.866 |   14.635 |   17.869 |   14.483 ||  -18.08   +0.02  -18.93
F    |   23.885 |   22.265 |   23.887 |   22.527 ||   -6.78   +0.01   -5.68
R1   |   27.203 |   27.204 |   27.305 |   27.287 ||   +0.00   +0.38   +0.31
R2   |   26.780 |   26.802 |   26.896 |   26.853 ||   +0.08   +0.43   +0.27
R3   |   26.484 |   26.521 |   26.479 |   26.558 ||   +0.14   -0.02   +0.28
R4   |   26.322 |   26.368 |   26.396 |   26.380 ||   +0.18   +0.28   +0.22
R6   |   26.093 |   26.108 |   26.135 |   26.115 ||   +0.06   +0.16   +0.08
### p-t4-g4 : t4 g4 t4 g4
mix  |     t4_0 |     g4_1 |     t4_2 |     g4_3 ||    g4_1%    t4_2%    g4_3%
A    |   23.942 |   24.573 |   23.955 |   24.609 ||   +2.63   +0.05   +2.79
B    |   58.892 |   59.415 |   58.860 |   59.420 ||   +0.89   -0.06   +0.90
C    |   35.637 |   36.146 |   35.670 |   36.208 ||   +1.43   +0.09   +1.60
D    |   12.896 |   17.864 |   12.903 |   17.865 ||  +38.52   +0.05  +38.52
E    |   14.277 |   17.878 |   14.266 |   17.870 ||  +25.22   -0.08  +25.16
F    |   22.283 |   23.903 |   22.441 |   23.890 ||   +7.27   +0.71   +7.21
R1   |   27.200 |   27.269 |   27.323 |   27.420 ||   +0.25   +0.45   +0.81
R2   |   26.743 |   26.851 |   26.894 |   26.789 ||   +0.41   +0.57   +0.17
