GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 1 2.7927 2.7924
RES 1 16 A_awslc 25.6748
RES 1 16 B_5500b7e6 24.8480
RES 1 16 C_91b1ce25 23.3686
RES 1 16 D_fused 12.5346
RES 1 16 aaA 25.7431
RES 1 16 aaB 24.8539
RES 1 16 aaC 23.3358
RES 1 16 aaD 12.5374
RES 1 32 A_awslc 26.9500
RES 1 32 B_5500b7e6 25.4210
RES 1 32 C_91b1ce25 23.4445
RES 1 32 D_fused 13.2151
RES 1 32 aaA 26.9303
RES 1 32 aaB 25.4350
RES 1 32 aaC 23.4414
RES 1 32 aaD 13.2162
RES 1 64 A_awslc 28.4297
RES 1 64 B_5500b7e6 26.8162
RES 1 64 C_91b1ce25 25.1645
RES 1 64 D_fused 18.3855
RES 1 64 aaA 27.8370
RES 1 64 aaB 26.8512
RES 1 64 aaC 25.1629
RES 1 64 aaD 18.3874
RES 1 128 A_awslc 33.0076
RES 1 128 B_5500b7e6 32.4795
RES 1 128 C_91b1ce25 25.5033
RES 1 128 D_fused 25.5508
RES 1 128 aaA 32.9576
RES 1 128 aaB 32.4901
RES 1 128 aaC 25.4788
RES 1 128 aaD 25.6839
RES 1 256 A_awslc 55.5033
RES 1 256 B_5500b7e6 54.4028
RES 1 256 C_91b1ce25 45.7024
RES 1 256 D_fused 45.4909
RES 1 256 aaA 55.2608
RES 1 256 aaB 54.5664
RES 1 256 aaC 45.6036
RES 1 256 aaD 45.5533
RES 1 512 A_awslc 94.7053
RES 1 512 B_5500b7e6 94.5357
RES 1 512 C_91b1ce25 84.5868
RES 1 512 D_fused 84.7581
RES 1 512 aaA 94.7778
RES 1 512 aaB 94.7365
RES 1 512 aaC 84.6602
RES 1 512 aaD 84.6711
RES 1 1024 A_awslc 172.8667
RES 1 1024 B_5500b7e6 172.1134
RES 1 1024 C_91b1ce25 162.3250
RES 1 1024 D_fused 162.4957
RES 1 1024 aaA 172.4524
RES 1 1024 aaB 172.3116
RES 1 1024 aaC 162.6887
RES 1 1024 aaD 161.2091
RES 1 4096 A_awslc 639.7947
RES 1 4096 B_5500b7e6 638.9780
RES 1 4096 C_91b1ce25 628.3367
RES 1 4096 D_fused 628.9320
RES 1 4096 aaA 639.4150
RES 1 4096 aaB 638.6257
RES 1 4096 aaC 628.9450
RES 1 4096 aaD 629.2100
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 2 2.7926 2.7924
RES 2 16 A_awslc 25.7293
RES 2 16 B_5500b7e6 24.8479
