GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
RES 5 512 da8.s7 84.6988
RES 5 1024 ca0.s0 162.2858
RES 5 1024 da0.s1 162.2849
RES 5 1024 ca8.s2 162.3431
RES 5 1024 da8.s3 162.3520
RES 5 1024 ca0.s4 162.5138
RES 5 1024 da0.s5 162.2703
RES 5 1024 ca8.s6 162.4717
RES 5 1024 da8.s7 162.6756
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 6 2.7926 2.7928
RES 6 64 ca0.s0 25.1750
RES 6 64 da0.s1 18.3684
RES 6 64 ca8.s2 25.1711
RES 6 64 da8.s3 18.3524
RES 6 64 ca0.s4 25.1761
RES 6 64 da0.s5 18.3749
RES 6 64 ca8.s6 25.1607
RES 6 64 da8.s7 18.3533
RES 6 256 ca0.s0 45.5921
RES 6 256 da0.s1 45.4581
RES 6 256 ca8.s2 45.6261
RES 6 256 da8.s3 45.4427
RES 6 256 ca0.s4 45.4278
RES 6 256 da0.s5 45.5425
RES 6 256 ca8.s6 45.4714
RES 6 256 da8.s7 45.5021
RES 6 512 ca0.s0 84.5546
RES 6 512 da0.s1 84.6517
RES 6 512 ca8.s2 84.7429
RES 6 512 da8.s3 84.5161
RES 6 512 ca0.s4 84.6565
RES 6 512 da0.s5 84.6349
RES 6 512 ca8.s6 84.6891
RES 6 512 da8.s7 84.6924
RES 6 1024 ca0.s0 162.2447
RES 6 1024 da0.s1 162.4008
RES 6 1024 ca8.s2 162.3622
RES 6 1024 da8.s3 162.1936
RES 6 1024 ca0.s4 162.1696
RES 6 1024 da0.s5 162.2502
RES 6 1024 ca8.s6 162.3349
RES 6 1024 da8.s7 162.3511
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 7 2.7925 2.7929
RES 7 64 ca0.s0 25.1481
RES 7 64 da0.s1 18.3789
RES 7 64 ca8.s2 25.1490
RES 7 64 da8.s3 18.3554
RES 7 64 ca0.s4 25.1843
RES 7 64 da0.s5 18.3797
RES 7 64 ca8.s6 25.1721
RES 7 64 da8.s7 18.3544
RES 7 256 ca0.s0 45.5979
RES 7 256 da0.s1 45.5393
RES 7 256 ca8.s2 45.6385
RES 7 256 da8.s3 45.4120
RES 7 256 ca0.s4 45.6122
RES 7 256 da0.s5 45.5119
RES 7 256 ca8.s6 45.4699
RES 7 256 da8.s7 45.4304
RES 7 512 ca0.s0 84.5409
