GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 1 3.2900 3.2898
RES 1 64 dn.s0 14.5470
RES 1 64 dn.s1 14.4781
RES 1 64 cn.s2 21.0141
RES 1 64 cn.s3 21.0129
RES 1 64 dn.s4 14.5075
RES 1 64 dn.s5 14.5061
RES 1 64 cn.s6 21.0150
RES 1 64 cn.s7 21.0123
RES 1 256 dn.s0 38.2788
RES 1 256 dn.s1 38.2759
RES 1 256 cn.s2 38.2820
RES 1 256 cn.s3 38.2809
RES 1 256 dn.s4 38.2756
RES 1 256 dn.s5 38.2640
RES 1 256 cn.s6 38.2839
RES 1 256 cn.s7 38.2838
RES 1 512 dn.s0 71.3217
RES 1 512 dn.s1 71.2715
RES 1 512 cn.s2 71.3002
RES 1 512 cn.s3 71.2977
RES 1 512 dn.s4 71.3217
RES 1 512 dn.s5 71.2697
RES 1 512 cn.s6 71.3010
RES 1 512 cn.s7 71.2998
RES 1 1024 dn.s0 138.7933
RES 1 1024 dn.s1 138.7369
RES 1 1024 cn.s2 138.7716
RES 1 1024 cn.s3 138.7217
RES 1 1024 dn.s4 138.7740
RES 1 1024 dn.s5 138.7709
RES 1 1024 cn.s6 138.7752
RES 1 1024 cn.s7 138.7195
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 2 3.2904 3.2901
RES 2 64 dn.s0 14.5463
RES 2 64 dn.s1 14.5040
RES 2 64 cn.s2 21.0147
RES 2 64 cn.s3 21.0127
RES 2 64 dn.s4 14.5102
RES 2 64 dn.s5 14.4796
RES 2 64 cn.s6 21.0146
RES 2 64 cn.s7 21.0138
RES 2 256 dn.s0 38.2793
RES 2 256 dn.s1 38.2721
RES 2 256 cn.s2 38.2818
RES 2 256 cn.s3 38.2869
RES 2 256 dn.s4 38.2841
RES 2 256 dn.s5 38.2716
RES 2 256 cn.s6 38.2829
RES 2 256 cn.s7 38.2853
RES 2 512 dn.s0 71.3269
RES 2 512 dn.s1 71.2762
RES 2 512 cn.s2 71.2935
RES 2 512 cn.s3 71.3033
RES 2 512 dn.s4 71.3157
RES 2 512 dn.s5 71.2741
RES 2 512 cn.s6 71.2572
RES 2 512 cn.s7 71.2999
RES 2 1024 dn.s0 138.7889
RES 2 1024 dn.s1 138.7504
RES 2 1024 cn.s2 138.7848
RES 2 1024 cn.s3 138.7208
RES 2 1024 dn.s4 138.7979
RES 2 1024 dn.s5 138.7658
RES 2 1024 cn.s6 138.7402
RES 2 1024 cn.s7 138.7056
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 3 3.2904 3.2905
RES 3 64 dn.s0 14.5440
RES 3 64 dn.s1 14.4780
RES 3 64 cn.s2 21.0099
RES 3 64 cn.s3 21.0111
RES 3 64 dn.s4 14.5464
RES 3 64 dn.s5 14.5034
RES 3 64 cn.s6 21.0135
RES 3 64 cn.s7 21.0131
RES 3 256 dn.s0 38.2753
RES 3 256 dn.s1 38.2703
RES 3 256 cn.s2 38.2812
