GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 1 3.2898 3.2906
RES 1 64 cn.s0 21.0114
RES 1 64 dn.s1 14.4756
RES 1 64 dn.s2 14.5427
RES 1 64 cn.s3 21.0098
RES 1 64 dn.s4 14.5065
RES 1 64 cn.s5 21.0037
RES 1 64 cn.s6 21.0110
RES 1 64 dn.s7 14.5044
RES 1 256 cn.s0 38.2784
RES 1 256 dn.s1 38.2697
RES 1 256 dn.s2 38.2769
RES 1 256 cn.s3 38.2789
RES 1 256 dn.s4 38.2779
RES 1 256 cn.s5 38.2741
RES 1 256 cn.s6 38.2756
RES 1 256 dn.s7 38.2818
RES 1 512 cn.s0 71.2962
RES 1 512 dn.s1 71.2626
RES 1 512 dn.s2 71.3180
RES 1 512 cn.s3 71.2994
RES 1 512 dn.s4 71.3154
RES 1 512 cn.s5 71.2592
RES 1 512 cn.s6 71.2478
RES 1 512 dn.s7 71.3238
RES 1 1024 cn.s0 138.7802
RES 1 1024 dn.s1 138.7393
RES 1 1024 dn.s2 138.7417
RES 1 1024 cn.s3 138.7704
RES 1 1024 dn.s4 138.7300
RES 1 1024 cn.s5 138.7609
RES 1 1024 cn.s6 138.7476
RES 1 1024 dn.s7 138.7066
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 2 3.2902 3.2902
RES 2 64 cn.s0 21.0072
RES 2 64 dn.s1 14.5026
RES 2 64 dn.s2 14.5450
RES 2 64 cn.s3 21.0068
RES 2 64 dn.s4 14.5465
RES 2 64 cn.s5 21.0125
RES 2 64 cn.s6 21.0098
RES 2 64 dn.s7 14.5011
RES 2 256 cn.s0 38.2705
RES 2 256 dn.s1 38.2734
RES 2 256 dn.s2 38.2696
RES 2 256 cn.s3 38.2731
RES 2 256 dn.s4 38.2695
RES 2 256 cn.s5 38.2807
RES 2 256 cn.s6 38.2729
RES 2 256 dn.s7 38.2707
RES 2 512 cn.s0 71.2508
RES 2 512 dn.s1 71.2660
RES 2 512 dn.s2 71.2757
RES 2 512 cn.s3 71.2538
RES 2 512 dn.s4 71.2680
RES 2 512 cn.s5 71.2998
RES 2 512 cn.s6 71.2522
RES 2 512 dn.s7 71.2703
RES 2 1024 cn.s0 138.7525
RES 2 1024 dn.s1 138.7670
RES 2 1024 dn.s2 138.7603
RES 2 1024 cn.s3 138.7386
RES 2 1024 dn.s4 138.7596
RES 2 1024 cn.s5 138.7765
RES 2 1024 cn.s6 138.7291
RES 2 1024 dn.s7 138.7344
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 3 3.2901 3.2904
RES 3 64 cn.s0 21.0133
RES 3 64 dn.s1 14.4788
RES 3 64 dn.s2 14.5034
RES 3 64 cn.s3 21.0137
RES 3 64 dn.s4 14.5034
RES 3 64 cn.s5 21.0117
RES 3 64 cn.s6 21.0128
RES 3 64 dn.s7 14.4797
RES 3 256 cn.s0 38.2809
RES 3 256 dn.s1 38.2715
RES 3 256 dn.s2 38.2772
RES 3 256 cn.s3 38.2830
RES 3 256 dn.s4 38.2776
RES 3 256 cn.s5 38.2829
RES 3 256 cn.s6 38.2811
RES 3 256 dn.s7 38.2705
RES 3 512 cn.s0 71.2298
RES 3 512 dn.s1 71.2712
RES 3 512 dn.s2 71.3241
RES 3 512 cn.s3 71.3007
RES 3 512 dn.s4 71.3217
RES 3 512 cn.s5 71.3048
RES 3 512 cn.s6 71.2915
RES 3 512 dn.s7 71.2731
RES 3 1024 cn.s0 138.7717
RES 3 1024 dn.s1 138.7458
RES 3 1024 dn.s2 138.7894
RES 3 1024 cn.s3 138.7161
RES 3 1024 dn.s4 138.7929
RES 3 1024 cn.s5 138.7149
RES 3 1024 cn.s6 138.7498
RES 3 1024 dn.s7 138.7165
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 4 3.2905 3.2908
RES 4 64 cn.s0 21.0066
RES 4 64 dn.s1 14.4792
RES 4 64 dn.s2 14.5065
RES 4 64 cn.s3 21.0119
RES 4 64 dn.s4 14.5459
RES 4 64 cn.s5 21.0089
RES 4 64 cn.s6 21.0102
RES 4 64 dn.s7 14.4787
RES 4 256 cn.s0 38.2646
RES 4 256 dn.s1 38.2715
RES 4 256 dn.s2 38.2658
RES 4 256 cn.s3 38.2747
RES 4 256 dn.s4 38.2766
RES 4 256 cn.s5 38.2706
RES 4 256 cn.s6 38.2695
RES 4 256 dn.s7 38.2732
RES 4 512 cn.s0 71.2498
RES 4 512 dn.s1 71.2568
RES 4 512 dn.s2 71.2632
RES 4 512 cn.s3 71.2365
RES 4 512 dn.s4 71.3098
RES 4 512 cn.s5 71.3071
RES 4 512 cn.s6 71.2967
RES 4 512 dn.s7 71.2690
RES 4 1024 cn.s0 138.7444
RES 4 1024 dn.s1 138.7134
RES 4 1024 dn.s2 138.7812
RES 4 1024 cn.s3 138.7268
RES 4 1024 dn.s4 138.7966
RES 4 1024 cn.s5 138.7660
RES 4 1024 cn.s6 138.7793
RES 4 1024 dn.s7 138.7625
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 5 3.2899 3.2902
RES 5 64 cn.s0 21.0133
RES 5 64 dn.s1 14.5047
RES 5 64 dn.s2 14.5457
RES 5 64 cn.s3 21.0064
RES 5 64 dn.s4 14.5462
RES 5 64 cn.s5 21.0097
RES 5 64 cn.s6 21.0143
RES 5 64 dn.s7 14.5064
RES 5 256 cn.s0 38.2657
RES 5 256 dn.s1 38.2674
RES 5 256 dn.s2 38.2765
RES 5 256 cn.s3 38.2652
RES 5 256 dn.s4 38.2766
RES 5 256 cn.s5 38.2765
RES 5 256 cn.s6 38.2710
RES 5 256 dn.s7 38.2726
RES 5 512 cn.s0 70.9600
RES 5 512 dn.s1 71.2681
RES 5 512 dn.s2 71.3119
RES 5 512 cn.s3 71.2553
RES 5 512 dn.s4 71.3197
RES 5 512 cn.s5 71.2991
RES 5 512 cn.s6 71.1233
RES 5 512 dn.s7 71.2578
RES 5 1024 cn.s0 138.7742
RES 5 1024 dn.s1 138.7711
RES 5 1024 dn.s2 138.7899
