=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   28.423 |   28.353 |   28.426 |   28.944 |   28.658 |   24.049 |   22.947 |   22.108 |   22.569 |   24.217 |   23.080 |   22.994 ||   -0.24   +0.01   +1.83   +0.83  -15.39  -19.26  -22.22  -20.59  -14.80  -18.80  -19.10
B    |   61.920 |   61.880 |   61.991 |   62.030 |   62.000 |   58.823 |   58.536 |   58.620 |   59.437 |   59.103 |   59.205 |   59.429 ||   -0.06   +0.11   +0.18   +0.13   -5.00   -5.47   -5.33   -4.01   -4.55   -4.39   -4.02
C    |   37.960 |   38.133 |   37.977 |   38.297 |   38.353 |   35.826 |   35.888 |   36.121 |   37.448 |   35.804 |   35.814 |   36.735 ||   +0.46   +0.04   +0.89   +1.03   -5.62   -5.46   -4.85   -1.35   -5.68   -5.65   -3.23
D    |   23.959 |   24.005 |   23.930 |   24.024 |   23.976 |   12.887 |   12.883 |   12.873 |   12.892 |   12.889 |   12.901 |   12.898 ||   +0.19   -0.12   +0.27   +0.07  -46.21  -46.23  -46.27  -46.19  -46.20  -46.15  -46.17
E    |   25.796 |   25.747 |   25.757 |   25.731 |   25.795 |   14.736 |   14.884 |   14.918 |   14.877 |   14.730 |   14.749 |   14.901 ||   -0.19   -0.15   -0.25   -0.00  -42.88  -42.30  -42.17  -42.33  -42.90  -42.82  -42.23
F    |   27.119 |   27.136 |   27.091 |   27.133 |   27.132 |   22.356 |   22.135 |   22.250 |   21.123 |   20.814 |   21.058 |   21.170 ||   +0.06   -0.10   +0.05   +0.05  -17.56  -18.38  -17.95  -22.11  -23.25  -22.35  -21.94
R1   |   27.432 |   27.263 |   27.158 |   27.242 |   27.248 |   27.300 |   23.009 |   22.945 |   21.544 |   26.103 |   26.172 |   26.346 ||   -0.61   -1.00   -0.69   -0.67   -0.48  -16.12  -16.36  -21.47   -4.84   -4.59   -3.96
R2   |   26.938 |   26.793 |   26.810 |   26.853 |   26.751 |   26.821 |   23.773 |   23.746 |   22.075 |   25.285 |   25.329 |   25.439 ||   -0.54   -0.47   -0.32   -0.69   -0.44  -11.75  -11.85  -18.05   -6.14   -5.97   -5.56
R3   |   26.612 |   26.510 |   26.532 |   26.476 |   26.482 |   26.552 |   24.218 |   24.197 |   22.306 |   24.827 |   24.844 |   24.929 ||   -0.38   -0.30   -0.51   -0.49   -0.22   -9.00   -9.07  -16.18   -6.70   -6.64   -6.32
R4   |   26.448 |   26.380 |   26.389 |   26.372 |   26.323 |   26.374 |   24.479 |   24.466 |   22.446 |   24.521 |   24.546 |   24.608 ||   -0.26   -0.23   -0.29   -0.47   -0.28   -7.45   -7.50  -15.13   -7.29   -7.19   -6.96
R6   |   26.153 |   26.118 |   26.136 |   26.110 |   26.091 |   26.132 |   24.897 |   24.902 |   22.683 |   23.963 |   23.969 |   24.005 ||   -0.14   -0.07   -0.17   -0.24   -0.08   -4.81   -4.78  -13.27   -8.38   -8.35   -8.21
=== process order1.3
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   28.514 |   28.339 |   28.388 |   28.811 |   28.698 |   24.026 |   22.950 |   22.108 |   22.534 |   24.172 |   24.115 |   22.996 ||   -0.61   -0.44   +1.04   +0.65  -15.74  -19.51  -22.46  -20.97  -15.23  -15.42  -19.35
B    |   62.031 |   61.871 |   62.011 |   62.025 |   61.952 |   58.886 |   58.453 |   58.643 |   59.451 |   59.115 |   59.268 |   59.395 ||   -0.26   -0.03   -0.01   -0.13   -5.07   -5.77   -5.46   -4.16   -4.70   -4.45   -4.25
C    |   38.010 |   38.208 |   38.048 |   38.391 |   38.308 |   35.821 |   35.782 |   36.164 |   37.450 |   35.854 |   35.905 |   36.673 ||   +0.52   +0.10   +1.00   +0.78   -5.76   -5.86   -4.86   -1.47   -5.67   -5.54   -3.52
D    |   23.944 |   23.989 |   23.944 |   24.006 |   23.967 |   12.892 |   12.881 |   12.875 |   12.892 |   12.873 |   12.899 |   12.901 ||   +0.19   -0.00   +0.26   +0.09  -46.16  -46.20  -46.23  -46.16  -46.24  -46.13  -46.12
E    |   25.827 |   25.757 |   25.740 |   25.758 |   25.811 |   14.815 |   14.830 |   14.926 |   14.860 |   14.727 |   14.749 |   14.908 ||   -0.27   -0.34   -0.27   -0.06  -42.64  -42.58  -42.21  -42.46  -42.98  -42.89  -42.28
F    |   27.135 |   27.095 |   27.104 |   27.120 |   27.115 |   22.356 |   22.182 |   22.269 |   21.106 |   20.843 |   21.077 |   21.147 ||   -0.15   -0.12   -0.05   -0.08  -17.61  -18.25  -17.93  -22.22  -23.19  -22.33  -22.07
R1   |   27.431 |   27.270 |   27.171 |   27.266 |   27.247 |   27.288 |   23.002 |   22.939 |   21.567 |   26.112 |   26.135 |   26.370 ||   -0.59   -0.95   -0.60   -0.67   -0.52  -16.15  -16.38  -21.38   -4.81   -4.73   -3.87
R2   |   26.957 |   26.804 |   26.818 |   26.815 |   26.728 |   26.814 |   23.774 |   23.751 |   22.072 |   25.287 |   25.333 |   25.480 ||   -0.57   -0.52   -0.53   -0.85   -0.53  -11.81  -11.89  -18.12   -6.20   -6.02   -5.48
R3   |   26.613 |   26.516 |   26.538 |   26.482 |   26.474 |   26.547 |   24.217 |   24.197 |   22.306 |   24.814 |   24.839 |   24.939 ||   -0.36   -0.28   -0.49   -0.52   -0.25   -9.01   -9.08  -16.19   -6.76   -6.67   -6.29
R4   |   26.438 |   26.359 |   26.392 |   26.370 |   26.325 |   26.385 |   24.473 |   24.469 |   22.448 |   24.536 |   24.542 |   24.616 ||   -0.30   -0.18   -0.26   -0.43   -0.20   -7.43   -7.45  -15.09   -7.20   -7.17   -6.89
R6   |   26.160 |   26.122 |   26.126 |   26.111 |   26.100 |   26.130 |   24.896 |   24.902 |   22.680 |   23.957 |   23.972 |   24.000 ||   -0.15   -0.13   -0.19   -0.23   -0.11   -4.83   -4.81  -13.30   -8.42   -8.36   -8.25
=== process order2.1
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   28.504 |   22.542 |   24.188 |   24.221 |   22.603 |   21.989 |   22.923 |   23.886 |   29.777 |   28.495 |   28.396 |   28.460 ||  -20.92  -15.14  -15.03  -20.70  -22.86  -19.58  -16.20   +4.46   -0.03   -0.38   -0.16
B    |   61.998 |   59.211 |   58.981 |   59.205 |   59.614 |   58.779 |   58.686 |   58.780 |   62.006 |   62.017 |   61.807 |   61.966 ||   -4.50   -4.87   -4.51   -3.84   -5.19   -5.34   -5.19   +0.01   +0.03   -0.31   -0.05
C    |   37.937 |   36.451 |   35.715 |   35.790 |   37.581 |   36.434 |   35.593 |   35.703 |   38.132 |   38.077 |   38.064 |   38.318 ||   -3.92   -5.86   -5.66   -0.94   -3.96   -6.18   -5.89   +0.52   +0.37   +0.33   +1.00
D    |   23.929 |   12.876 |   12.890 |   12.901 |   12.888 |   12.898 |   12.891 |   12.900 |   24.051 |   23.967 |   23.963 |   23.922 ||  -46.19  -46.13  -46.08  -46.14  -46.10  -46.13  -46.09   +0.51   +0.16   +0.14   -0.03
E    |   25.721 |   14.390 |   14.778 |   14.766 |   14.856 |   14.897 |   14.069 |   14.809 |   25.881 |   25.849 |   25.751 |   25.789 ||  -44.05  -42.54  -42.59  -42.24  -42.08  -45.30  -42.42   +0.62   +0.50   +0.12   +0.26
F    |   27.107 |   21.071 |   20.850 |   20.834 |   21.085 |   22.427 |   22.117 |   22.281 |   27.117 |   27.121 |   27.085 |   27.131 ||  -22.27  -23.08  -23.14  -22.22  -17.27  -18.41  -17.81   +0.04   +0.05   -0.08   +0.09
R1   |   27.449 |   26.432 |   26.117 |   26.124 |   21.560 |   23.014 |   23.009 |   27.148 |   27.438 |   27.290 |   27.309 |   27.265 ||   -3.70   -4.85   -4.82  -21.45  -16.16  -16.17   -1.09   -0.04   -0.58   -0.51   -0.67
R2   |   26.943 |   25.471 |   25.277 |   25.303 |   22.063 |   23.774 |   23.768 |   26.734 |   26.931 |   26.846 |   26.826 |   26.853 ||   -5.46   -6.18   -6.09  -18.11  -11.76  -11.78   -0.78   -0.04   -0.36   -0.43   -0.33
R3   |   26.638 |   24.971 |   24.784 |   24.807 |   22.291 |   24.214 |   24.215 |   26.461 |   26.602 |   26.554 |   26.551 |   26.608 ||   -6.26   -6.96   -6.87  -16.32   -9.10   -9.10   -0.66   -0.13   -0.31   -0.32   -0.11
R4   |   26.436 |   24.664 |   24.511 |   24.522 |   22.423 |   24.481 |   24.473 |   26.331 |   26.426 |   26.384 |   26.390 |   26.440 ||   -6.70   -7.28   -7.24  -15.18   -7.39   -7.43   -0.40   -0.04   -0.20   -0.18   +0.01
R6   |   26.114 |   24.033 |   23.965 |   23.966 |   22.656 |   24.890 |   24.891 |   26.106 |   26.164 |   26.128 |   26.130 |   26.036 ||   -7.97   -8.23   -8.22  -13.24   -4.68   -4.68   -0.03   +0.19   +0.05   +0.06   -0.30
=== process order2.2
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   28.562 |   22.562 |   23.546 |   24.239 |   22.634 |   21.986 |   22.893 |   23.893 |   28.593 |   29.140 |   29.639 |   28.536 ||  -21.01  -17.56  -15.14  -20.75  -23.02  -19.85  -16.35   +0.11   +2.03   +3.77   -0.09
B    |   61.924 |   59.151 |   59.007 |   59.195 |   59.596 |   58.787 |   58.642 |   58.800 |   62.049 |   62.039 |   61.827 |   61.977 ||   -4.48   -4.71   -4.41   -3.76   -5.07   -5.30   -5.05   +0.20   +0.18   -0.16   +0.09
C    |   37.956 |   36.435 |   35.733 |   35.790 |   37.599 |   36.452 |   35.633 |   35.638 |   38.186 |   38.078 |   38.106 |   38.367 ||   -4.01   -5.86   -5.71   -0.94   -3.96   -6.12   -6.11   +0.61   +0.32   +0.40   +1.08
D    |   23.936 |   12.877 |   12.901 |   12.898 |   12.887 |   12.902 |   12.887 |   12.900 |   24.055 |   23.984 |   23.973 |   23.951 ||  -46.20  -46.10  -46.11  -46.16  -46.10  -46.16  -46.10   +0.50   +0.20   +0.16   +0.06
E    |   25.785 |   14.759 |   14.744 |   14.760 |   14.835 |   14.879 |   14.856 |   14.799 |   25.892 |   25.840 |   25.746 |   25.806 ||  -42.76  -42.82  -42.76  -42.46  -42.30  -42.39  -42.60   +0.42   +0.21   -0.15   +0.08
F    |   27.138 |   21.109 |   20.892 |   20.866 |   21.033 |   22.444 |   22.094 |   22.260 |   27.110 |   27.143 |   27.096 |   27.158 ||  -22.22  -23.02  -23.11  -22.50  -17.30  -18.59  -17.97   -0.10   +0.02   -0.16   +0.07
R1   |   27.425 |   26.426 |   26.108 |   26.140 |   21.525 |   23.000 |   22.996 |   27.231 |   27.261 |   27.184 |   27.258 |   27.250 ||   -3.64   -4.80   -4.68  -21.51  -16.13  -16.15   -0.71   -0.60   -0.88   -0.61   -0.64
R2   |   26.916 |   25.494 |   25.278 |   25.316 |   22.044 |   23.788 |   23.774 |   26.778 |   26.824 |   26.768 |   26.801 |   26.821 ||   -5.28   -6.08   -5.95  -18.10  -11.62  -11.67   -0.51   -0.34   -0.55   -0.43   -0.35
R3   |   26.645 |   24.963 |   24.797 |   24.808 |   22.296 |   24.227 |   24.214 |   26.514 |   26.554 |   26.486 |   26.511 |   26.564 ||   -6.31   -6.94   -6.89  -16.32   -9.08   -9.13   -0.49   -0.34   -0.60   -0.50   -0.30
R4   |   26.449 |   24.635 |   24.518 |   24.521 |   22.430 |   24.474 |   24.475 |   26.363 |   26.378 |   26.332 |   26.355 |   26.397 ||   -6.86   -7.30   -7.29  -15.20   -7.47   -7.46   -0.32   -0.27   -0.44   -0.35   -0.19
R6   |   26.096 |   24.044 |   23.968 |   23.964 |   22.659 |   24.893 |   24.897 |   26.125 |   26.156 |   26.097 |   26.119 |   26.088 ||   -7.87   -8.15   -8.17  -13.17   -4.61   -4.59   +0.11   +0.23   +0.00   +0.09   -0.03
=== process order2.3
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   28.420 |   22.583 |   23.959 |   24.257 |   22.617 |   22.011 |   22.604 |   23.864 |   28.780 |   29.750 |   29.560 |   28.820 ||  -20.54  -15.69  -14.65  -20.42  -22.55  -20.46  -16.03   +1.27   +4.68   +4.01   +1.41
B    |   61.931 |   59.161 |   58.995 |   59.226 |   59.617 |   58.764 |   58.588 |   58.748 |   62.010 |   62.007 |   61.843 |   61.998 ||   -4.47   -4.74   -4.37   -3.74   -5.11   -5.40   -5.14   +0.13   +0.12   -0.14   +0.11
C    |   37.914 |   36.454 |   35.788 |   35.771 |   37.604 |   36.475 |   35.620 |   35.685 |   38.151 |   37.928 |   38.068 |   38.378 ||   -3.85   -5.61   -5.65   -0.82   -3.80   -6.05   -5.88   +0.63   +0.04   +0.41   +1.22
D    |   23.944 |   12.877 |   12.901 |   12.903 |   12.886 |   12.899 |   12.886 |   12.894 |   24.048 |   23.968 |   23.956 |   23.919 ||  -46.22  -46.12  -46.11  -46.18  -46.13  -46.18  -46.15   +0.43   +0.10   +0.05   -0.11
E    |   25.760 |   14.739 |   14.759 |   14.755 |   14.862 |   14.884 |   14.878 |   14.841 |   25.845 |   25.851 |   25.729 |   25.771 ||  -42.78  -42.71  -42.72  -42.31  -42.22  -42.24  -42.39   +0.33   +0.35   -0.12   +0.04
F    |   27.102 |   21.016 |   20.901 |   20.843 |   21.059 |   22.438 |   22.121 |   22.285 |   27.118 |   27.150 |   27.122 |   27.101 ||  -22.46  -22.88  -23.09  -22.30  -17.21  -18.38  -17.77   +0.06   +0.18   +0.07   -0.00
R1   |   27.426 |   26.438 |   26.108 |   26.150 |   21.547 |   23.032 |   22.981 |   27.218 |   27.292 |   27.172 |   27.239 |   27.268 ||   -3.60   -4.81   -4.65  -21.43  -16.02  -16.21   -0.76   -0.49   -0.93   -0.68   -0.57
R2   |   26.935 |   25.474 |   25.282 |   25.298 |   22.047 |   23.783 |   23.773 |   26.797 |   26.852 |   26.775 |   26.808 |   26.814 ||   -5.43   -6.14   -6.08  -18.15  -11.70  -11.74   -0.51   -0.31   -0.60   -0.47   -0.45
R3   |   26.585 |   24.943 |   24.797 |   24.815 |   22.292 |   24.229 |   24.215 |   26.512 |   26.527 |   26.480 |   26.517 |   26.520 ||   -6.18   -6.73   -6.66  -16.15   -8.86   -8.92   -0.27   -0.22   -0.40   -0.26   -0.25
R4   |   26.440 |   24.640 |   24.516 |   24.497 |   22.434 |   24.475 |   24.472 |   26.345 |   26.391 |   26.333 |   26.357 |   26.395 ||   -6.81   -7.27   -7.35  -15.15   -7.43   -7.44   -0.36   -0.18   -0.40   -0.31   -0.17
R6   |   26.109 |   24.037 |   23.965 |   23.956 |   22.670 |   24.893 |   24.895 |   26.102 |   26.131 |   26.097 |   26.121 |   26.137 ||   -7.94   -8.21   -8.25  -13.18   -4.66   -4.65   -0.03   +0.08   -0.05   +0.05   +0.11
=== process order3.1
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.517 |   22.955 |   23.100 |   28.602 |   22.475 |   28.787 |   22.811 |   24.035 |   29.694 |   28.726 |   21.957 |   24.083 ||  -19.50  -19.00   +0.30  -21.19   +0.95  -20.01  -15.72   +4.13   +0.73  -23.00  -15.55
B    |   61.975 |   58.573 |   59.268 |   61.859 |   59.555 |   62.011 |   59.283 |   58.711 |   61.993 |   61.831 |   58.881 |   58.997 ||   -5.49   -4.37   -0.19   -3.90   +0.06   -4.34   -5.27   +0.03   -0.23   -4.99   -4.81
C    |   38.073 |   35.554 |   35.651 |   37.980 |   37.468 |   38.203 |   36.638 |   35.819 |   38.207 |   38.134 |   36.519 |   35.749 ||   -6.62   -6.36   -0.24   -1.59   +0.34   -3.77   -5.92   +0.35   +0.16   -4.08   -6.10
D    |   23.963 |   12.891 |   12.888 |   23.922 |   12.880 |   23.993 |   12.876 |   12.895 |   23.916 |   23.938 |   12.893 |   12.886 ||  -46.21  -46.22   -0.17  -46.25   +0.13  -46.27  -46.19   -0.20   -0.10  -46.20  -46.23
E    |   25.848 |   14.019 |   14.729 |   25.824 |   14.342 |   25.800 |   14.531 |   14.838 |   25.889 |   25.727 |   14.887 |   14.762 ||  -45.76  -43.02   -0.09  -44.51   -0.18  -43.78  -42.60   +0.16   -0.47  -42.40  -42.89
F    |   27.115 |   22.259 |   21.050 |   27.094 |   20.978 |   27.103 |   21.227 |   22.430 |   27.107 |   27.123 |   22.520 |   20.790 ||  -17.91  -22.37   -0.08  -22.63   -0.05  -21.72  -17.28   -0.03   +0.03  -16.95  -23.33
R1   |   27.425 |   22.967 |   26.104 |   27.260 |   21.545 |   27.275 |   26.362 |   27.202 |   27.169 |   27.244 |   23.007 |   26.122 ||  -16.26   -4.82   -0.60  -21.44   -0.55   -3.88   -0.81   -0.93   -0.66  -16.11   -4.75
R2   |   26.936 |   23.715 |   25.297 |   26.838 |   22.049 |   26.907 |   25.443 |   26.778 |   26.717 |   26.764 |   23.776 |   25.355 ||  -11.96   -6.09   -0.36  -18.14   -0.11   -5.54   -0.59   -0.81   -0.64  -11.73   -5.87
R3   |   26.630 |   24.134 |   24.810 |   26.568 |   22.303 |   26.572 |   24.922 |   26.542 |   26.453 |   26.493 |   24.224 |   24.887 ||   -9.38   -6.84   -0.23  -16.25   -0.22   -6.42   -0.33   -0.67   -0.52   -9.04   -6.55
R4   |   26.441 |   24.404 |   24.514 |   26.410 |   22.456 |   26.426 |   24.613 |   26.368 |   26.304 |   26.337 |   24.490 |   24.601 ||   -7.70   -7.29   -0.12  -15.07   -0.05   -6.91   -0.27   -0.52   -0.39   -7.38   -6.96
R6   |   26.114 |   24.771 |   23.971 |   26.152 |   22.701 |   26.154 |   24.016 |   26.124 |   26.100 |   26.104 |   24.900 |   24.052 ||   -5.14   -8.21   +0.15  -13.07   +0.15   -8.03   +0.04   -0.05   -0.04   -4.65   -7.89
=== process order3.2
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.568 |   22.725 |   23.128 |   28.620 |   22.436 |   29.760 |   22.791 |   24.030 |   29.766 |   28.951 |   21.941 |   24.131 ||  -20.45  -19.04   +0.18  -21.46   +4.18  -20.22  -15.88   +4.19   +1.34  -23.20  -15.53
B    |   61.948 |   58.615 |   59.168 |   61.838 |   59.584 |   62.060 |   59.253 |   58.655 |   61.977 |   61.846 |   58.830 |   58.979 ||   -5.38   -4.49   -0.18   -3.82   +0.18   -4.35   -5.31   +0.05   -0.16   -5.03   -4.79
C    |   38.103 |   35.566 |   35.681 |   37.922 |   37.533 |   38.192 |   36.688 |   35.879 |   38.293 |   38.090 |   36.500 |   35.727 ||   -6.66   -6.36   -0.48   -1.49   +0.23   -3.71   -5.84   +0.50   -0.03   -4.21   -6.23
D    |   23.953 |   12.893 |   12.903 |   23.954 |   12.879 |   23.997 |   12.875 |   12.903 |   23.941 |   23.953 |   12.897 |   12.887 ||  -46.17  -46.13   +0.01  -46.23   +0.19  -46.25  -46.13   -0.05   +0.00  -46.16  -46.20
E    |   25.870 |   14.028 |   14.761 |   26.199 |   14.358 |   25.806 |   14.421 |   14.844 |   25.858 |   25.735 |   14.912 |   14.796 ||  -45.78  -42.94   +1.27  -44.50   -0.25  -44.26  -42.62   -0.05   -0.52  -42.36  -42.81
F    |   27.107 |   22.306 |   21.027 |   27.107 |   20.977 |   27.127 |   21.275 |   22.406 |   27.095 |   27.108 |   22.487 |   20.800 ||  -17.71  -22.43   +0.00  -22.61   +0.07  -21.51  -17.34   -0.04   +0.00  -17.04  -23.27
R1   |   27.425 |   23.000 |   26.095 |   27.246 |   21.545 |   27.311 |   26.377 |   27.243 |   27.142 |   27.240 |   23.022 |   26.155 ||  -16.13   -4.85   -0.65  -21.44   -0.42   -3.82   -0.66   -1.03   -0.68  -16.06   -4.63
R2   |   26.902 |   23.709 |   25.291 |   26.855 |   22.063 |   26.876 |   25.459 |   26.812 |   26.729 |   26.784 |   23.779 |   25.387 ||  -11.87   -5.99   -0.18  -17.99   -0.10   -5.36   -0.34   -0.64   -0.44  -11.61   -5.63
R3   |   26.603 |   24.150 |   24.805 |   26.534 |   22.312 |   26.601 |   24.936 |   26.485 |   26.455 |   26.492 |   24.224 |   24.867 ||   -9.22   -6.76   -0.26  -16.13   -0.01   -6.27   -0.44   -0.56   -0.42   -8.94   -6.52
R4   |   26.439 |   24.373 |   24.524 |   26.402 |   22.451 |   26.390 |   24.622 |   26.355 |   26.320 |   26.342 |   24.485 |   24.596 ||   -7.81   -7.24   -0.14  -15.09   -0.18   -6.87   -0.32   -0.45   -0.37   -7.39   -6.97
R6   |   26.172 |   24.763 |   23.968 |   26.137 |   22.695 |   26.144 |   24.008 |   26.103 |   26.095 |   26.112 |   24.892 |   24.040 ||   -5.38   -8.42   -0.13  -13.28   -0.11   -8.27   -0.26   -0.29   -0.23   -4.89   -8.15
=== process order3.3
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.495 |   22.947 |   22.982 |   28.645 |   22.455 |   29.804 |   22.848 |   24.029 |   29.795 |   28.361 |   21.971 |   24.115 ||  -19.47  -19.35   +0.53  -21.20   +4.60  -19.82  -15.67   +4.56   -0.47  -22.89  -15.37
B    |   61.949 |   58.575 |   59.208 |   61.861 |   59.556 |   61.966 |   59.187 |   58.712 |   61.990 |   61.835 |   58.733 |   58.988 ||   -5.45   -4.42   -0.14   -3.86   +0.03   -4.46   -5.23   +0.07   -0.18   -5.19   -4.78
C    |   38.011 |   35.697 |   35.710 |   37.983 |   37.491 |   38.289 |   36.594 |   35.817 |   38.300 |   38.163 |   36.526 |   35.760 ||   -6.09   -6.05   -0.08   -1.37   +0.73   -3.73   -5.77   +0.76   +0.40   -3.91   -5.92
D    |   23.982 |   12.893 |   12.901 |   23.939 |   12.878 |   24.001 |   12.878 |   12.906 |   23.919 |   23.954 |   12.890 |   12.883 ||  -46.24  -46.21   -0.18  -46.30   +0.08  -46.30  -46.19   -0.26   -0.12  -46.25  -46.28
E    |   25.833 |   14.023 |   14.774 |   25.846 |   14.352 |   25.798 |   14.464 |   14.824 |   25.862 |   25.731 |   14.861 |   14.791 ||  -45.72  -42.81   +0.05  -44.44   -0.14  -44.01  -42.62   +0.11   -0.40  -42.47  -42.74
F    |   27.102 |   22.266 |   21.045 |   27.116 |   20.971 |   27.120 |   21.239 |   22.453 |   27.094 |   27.097 |   22.506 |   20.769 ||  -17.84  -22.35   +0.05  -22.62   +0.06  -21.63  -17.15   -0.03   -0.02  -16.96  -23.37
