=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   28.514 |   28.304 |   28.402 |   28.558 |   28.634 |   24.045 |   22.969 |   22.104 |   22.528 |   24.220 |   23.974 |   22.967 ||   -0.74   -0.39   +0.15   +0.42  -15.67  -19.44  -22.48  -20.99  -15.06  -15.92  -19.45
B    |   61.915 |   61.895 |   61.971 |   61.969 |   61.989 |   58.873 |   58.489 |   58.591 |   59.454 |   59.147 |   59.253 |   59.437 ||   -0.03   +0.09   +0.09   +0.12   -4.91   -5.53   -5.37   -3.98   -4.47   -4.30   -4.00
C    |   38.040 |   38.053 |   38.072 |   38.259 |   38.400 |   35.811 |   35.730 |   36.158 |   37.515 |   35.764 |   35.896 |   36.699 ||   +0.03   +0.08   +0.58   +0.95   -5.86   -6.07   -4.95   -1.38   -5.98   -5.64   -3.53
D    |   23.979 |   23.990 |   23.926 |   23.994 |   23.991 |   12.887 |   12.884 |   12.873 |   12.889 |   12.896 |   12.899 |   12.898 ||   +0.04   -0.22   +0.06   +0.05  -46.26  -46.27  -46.32  -46.25  -46.22  -46.21  -46.21
E    |   25.859 |   25.752 |   25.755 |   25.773 |   25.804 |   14.674 |   14.869 |   14.917 |   14.878 |   14.771 |   14.776 |   14.875 ||   -0.41   -0.40   -0.33   -0.21  -43.25  -42.50  -42.32  -42.46  -42.88  -42.86  -42.48
F    |   27.103 |   27.116 |   27.095 |   27.102 |   27.118 |   22.328 |   22.132 |   22.268 |   21.092 |   20.876 |   21.076 |   21.239 ||   +0.05   -0.03   -0.00   +0.06  -17.62  -18.34  -17.84  -22.18  -22.97  -22.24  -21.64
R1   |   27.431 |   27.260 |   27.177 |   27.196 |   27.245 |   27.291 |   22.993 |   22.965 |   21.540 |   26.122 |   26.140 |   26.419 ||   -0.62   -0.93   -0.86   -0.68   -0.51  -16.18  -16.28  -21.48   -4.77   -4.71   -3.69
R2   |   26.933 |   26.792 |   26.806 |   26.815 |   26.725 |   26.808 |   23.777 |   23.739 |   22.035 |   25.302 |   25.327 |   25.473 ||   -0.52   -0.47   -0.44   -0.77   -0.46  -11.72  -11.86  -18.18   -6.06   -5.96   -5.42
R3   |   26.623 |   26.508 |   26.536 |   26.518 |   26.484 |   26.533 |   24.213 |   24.203 |   22.268 |   24.813 |   24.820 |   24.964 ||   -0.43   -0.33   -0.40   -0.53   -0.34   -9.05   -9.09  -16.36   -6.80   -6.77   -6.23
R4   |   26.441 |   26.376 |   26.395 |   26.381 |   26.341 |   26.384 |   24.482 |   24.480 |   22.431 |   24.526 |   24.527 |   24.633 ||   -0.24   -0.17   -0.23   -0.38   -0.22   -7.41   -7.42  -15.17   -7.24   -7.24   -6.84
R6   |   26.158 |   26.114 |   26.135 |   26.135 |   26.096 |   26.146 |   24.899 |   24.897 |   22.666 |   23.964 |   23.948 |   24.029 ||   -0.17   -0.09   -0.09   -0.24   -0.05   -4.82   -4.82  -13.35   -8.39   -8.45   -8.14
=== process order1.2
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
