=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
R6   |   26.162 |   26.114 |   26.127 |   26.113 |   26.099 |   26.137 |   24.889 |   24.895 |   22.675 |   23.968 |   23.970 |   24.013 ||   -0.19   -0.13   -0.19   -0.24   -0.10   -4.87   -4.85  -13.33   -8.39   -8.38   -8.22
=== process order1.3
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   28.586 |   28.691 |   28.393 |   28.776 |   28.413 |   24.023 |   22.964 |   22.147 |   22.537 |   24.213 |   23.176 |   23.141 ||   +0.37   -0.68   +0.66   -0.61  -15.96  -19.67  -22.52  -21.16  -15.30  -18.93  -19.05
B    |   61.937 |   61.885 |   61.987 |   62.034 |   61.945 |   58.855 |   58.402 |   58.601 |   59.469 |   59.160 |   59.292 |   59.453 ||   -0.08   +0.08   +0.16   +0.01   -4.98   -5.71   -5.39   -3.99   -4.48   -4.27   -4.01
C    |   37.973 |   38.148 |   38.032 |   38.254 |   38.339 |   35.680 |   35.786 |   36.143 |   37.448 |   35.775 |   35.848 |   36.633 ||   +0.46   +0.16   +0.74   +0.96   -6.04   -5.76   -4.82   -1.38   -5.79   -5.60   -3.53
D    |   23.946 |   24.017 |   23.939 |   23.992 |   23.985 |   12.873 |   12.877 |   12.874 |   12.891 |   12.895 |   12.894 |   12.900 ||   +0.30   -0.03   +0.19   +0.17  -46.24  -46.23  -46.24  -46.16  -46.15  -46.15  -46.13
E    |   25.834 |   25.767 |   25.747 |   25.761 |   25.809 |   14.650 |   14.860 |   14.911 |   14.868 |   14.741 |   14.758 |   14.903 ||   -0.26   -0.34   -0.28   -0.10  -43.29  -42.48  -42.28  -42.45  -42.94  -42.87  -42.31
F    |   27.109 |   27.122 |   27.125 |   27.141 |   27.128 |   22.296 |   22.138 |   22.265 |   21.115 |   20.832 |   21.078 |   21.189 ||   +0.05   +0.06   +0.12   +0.07  -17.75  -18.34  -17.87  -22.11  -23.15  -22.25  -21.84
R1   |   27.429 |   27.256 |   27.188 |   27.231 |   27.239 |   27.282 |   22.998 |   22.943 |   21.562 |   26.121 |   26.154 |   26.372 ||   -0.63   -0.88   -0.72   -0.69   -0.54  -16.15  -16.36  -21.39   -4.77   -4.65   -3.85
R2   |   26.946 |   26.818 |   26.803 |   26.723 |   26.753 |   26.783 |   23.801 |   23.749 |   22.085 |   25.292 |   25.320 |   25.458 ||   -0.48   -0.53   -0.83   -0.72   -0.61  -11.67  -11.87  -18.04   -6.14   -6.04   -5.52
