### AA-t4p8b : t4p8b t4p8b t4p8b t4p8b
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   29.099 |   28.696 |   28.931 |   28.886 ||   -1.39   -0.58   -0.73
B    |   67.951 |   67.533 |   68.133 |   67.539 ||   -0.61   +0.27   -0.61
C    |   45.003 |   44.732 |   45.121 |   44.780 ||   -0.60   +0.26   -0.50
D    |   14.515 |   14.527 |   14.535 |   14.476 ||   +0.08   +0.14   -0.27
E    |   18.157 |   18.575 |   18.363 |   18.368 ||   +2.30   +1.13   +1.16
F    |   27.907 |   27.929 |   27.858 |   27.867 ||   +0.08   -0.18   -0.14
R1   |   32.965 |   32.931 |   33.240 |   32.981 ||   -0.10   +0.83   +0.05
R2   |   30.829 |   30.679 |   31.294 |   30.675 ||   -0.49   +1.51   -0.50
R3   |   30.031 |   29.888 |   30.316 |   29.939 ||   -0.48   +0.95   -0.31
R4   |   29.558 |   29.472 |   29.989 |   29.477 ||   -0.29   +1.46   -0.28
R6   |   28.820 |   28.730 |   29.012 |   28.657 ||   -0.31   +0.67   -0.57
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   29.068 |   28.698 |   28.974 |   28.936 ||   -1.27   -0.32   -0.46
B    |   67.861 |   67.454 |   68.050 |   67.377 ||   -0.60   +0.28   -0.71
C    |   45.007 |   44.723 |   45.136 |   44.743 ||   -0.63   +0.29   -0.59
D    |   14.540 |   14.531 |   14.529 |   14.526 ||   -0.06   -0.07   -0.09
E    |   18.155 |   18.491 |   18.363 |   18.337 ||   +1.86   +1.15   +1.01
F    |   27.901 |   27.973 |   27.952 |   27.886 ||   +0.26   +0.18   -0.05
R1   |   33.004 |   33.007 |   33.297 |   32.926 ||   +0.01   +0.89   -0.24
R2   |   30.773 |   30.639 |   31.244 |   30.736 ||   -0.44   +1.53   -0.12
R3   |   30.067 |   29.852 |   30.339 |   29.953 ||   -0.71   +0.91   -0.38
R4   |   29.577 |   29.511 |   30.008 |   29.493 ||   -0.22   +1.46   -0.28
R6   |   28.829 |   28.700 |   28.919 |   28.723 ||   -0.45   +0.31   -0.37
### p-t4p8-t4p8b : t4p8 t4p8b t4p8 t4p8b
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   28.935 |   28.919 |   29.006 |   28.982 ||   -0.06   +0.25   +0.16
B    |   67.460 |   67.628 |   67.626 |   67.502 ||   +0.25   +0.25   +0.06
C    |   44.280 |   45.161 |   44.391 |   44.851 ||   +1.99   +0.25   +1.29
D    |   14.564 |   14.534 |   14.525 |   14.537 ||   -0.20   -0.27   -0.18
E    |   18.436 |   18.229 |   18.305 |   18.527 ||   -1.12   -0.71   +0.49
F    |   27.577 |   28.025 |   27.600 |   27.890 ||   +1.62   +0.08   +1.13
R1   |   33.012 |   33.003 |   33.086 |   33.061 ||   -0.03   +0.22   +0.15
R2   |   30.518 |   30.846 |   30.698 |   30.619 ||   +1.07   +0.59   +0.33
R3   |   29.787 |   30.020 |   29.965 |   29.918 ||   +0.78   +0.60   +0.44
R4   |   29.346 |   29.620 |   29.576 |   29.519 ||   +0.94   +0.78   +0.59
R6   |   28.571 |   28.858 |   28.859 |   28.735 ||   +1.01   +1.01   +0.57
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   28.887 |   28.958 |   28.876 |   28.864 ||   +0.24   -0.04   -0.08
B    |   67.544 |   67.816 |   67.614 |   67.525 ||   +0.40   +0.10   -0.03
C    |   44.285 |   45.110 |   44.335 |   44.878 ||   +1.86   +0.11   +1.34
D    |   14.552 |   14.538 |   14.516 |   14.525 ||   -0.09   -0.25   -0.18
E    |   18.482 |   18.177 |   18.309 |   18.528 ||   -1.65   -0.94   +0.25
F    |   27.488 |   27.952 |   27.605 |   27.857 ||   +1.69   +0.42   +1.34
R1   |   32.938 |   33.025 |   33.097 |   33.000 ||   +0.26   +0.48   +0.19
R2   |   30.539 |   30.763 |   30.716 |   30.642 ||   +0.74   +0.58   +0.34
R3   |   29.786 |   30.058 |   30.022 |   29.892 ||   +0.91   +0.79   +0.36
R4   |   29.339 |   29.636 |   29.607 |   29.470 ||   +1.01   +0.91   +0.45
R6   |   28.565 |   28.877 |   28.885 |   28.725 ||   +1.09   +1.12   +0.56
### p-t4p8b-t4p8 : t4p8b t4p8 t4p8b t4p8
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
A    |   29.027 |   28.649 |   28.850 |   29.221 ||   -1.30   -0.61   +0.67
B    |   68.009 |   67.046 |   67.510 |   67.801 ||   -1.42   -0.73   -0.31
C    |   44.857 |   44.254 |   44.640 |   44.181 ||   -1.34   -0.48   -1.51
D    |   14.523 |   14.521 |   14.552 |   14.550 ||   -0.02   +0.20   +0.19
E    |   18.119 |   18.294 |   18.589 |   18.657 ||   +0.96   +2.59   +2.97
F    |   27.907 |   27.594 |   27.936 |   27.444 ||   -1.12   +0.10   -1.66
R1   |   32.924 |   33.116 |   32.994 |   32.975 ||   +0.58   +0.21   +0.15
R2   |   30.793 |   30.563 |   30.950 |   30.607 ||   -0.75   +0.51   -0.60
R3   |   29.994 |   29.902 |   30.099 |   30.221 ||   -0.30   +0.35   +0.76
R4   |   29.593 |   29.487 |   29.744 |   29.450 ||   -0.36   +0.51   -0.49
R6   |   28.828 |   28.754 |   28.836 |   28.647 ||   -0.26   +0.03   -0.63
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
A    |   28.981 |   28.750 |   28.877 |   29.250 ||   -0.79   -0.36   +0.93
B    |   67.936 |   67.276 |   67.542 |   67.907 ||   -0.97   -0.58   -0.04
C    |   44.990 |   44.361 |   44.704 |   44.289 ||   -1.40   -0.63   -1.56
D    |   14.532 |   14.517 |   14.548 |   14.516 ||   -0.11   +0.11   -0.11
E    |   18.155 |   18.311 |   18.525 |   18.636 ||   +0.86   +2.04   +2.65
F    |   27.845 |   27.650 |   27.879 |   27.473 ||   -0.70   +0.12   -1.33
R1   |   32.979 |   33.169 |   33.060 |   32.931 ||   +0.58   +0.25   -0.14
R2   |   30.776 |   30.584 |   30.910 |   31.035 ||   -0.62   +0.44   +0.84
R3   |   30.090 |   29.897 |   30.241 |   30.121 ||   -0.64   +0.50   +0.10
R4   |   29.506 |   29.517 |   29.626 |   29.415 ||   +0.04   +0.41   -0.31
