=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   22.571 |   22.564 |   22.537 |   22.665 |   22.643 |   19.181 |   18.459 |   17.408 |   17.960 |   19.062 |   19.227 |   19.196 ||   -0.03   -0.15   +0.42   +0.32  -15.02  -18.22  -22.87  -20.43  -15.55  -14.82  -14.95
B    |   51.778 |   51.818 |   51.834 |   51.865 |   51.785 |   49.246 |   48.837 |   48.075 |   48.302 |   49.118 |   49.214 |   49.492 ||   +0.08   +0.11   +0.17   +0.01   -4.89   -5.68   -7.15   -6.71   -5.14   -4.95   -4.42
C    |   31.807 |   31.692 |   31.804 |   31.784 |   32.124 |   29.573 |   29.402 |   29.251 |   29.738 |   29.427 |   29.287 |   30.407 ||   -0.36   -0.01   -0.07   +1.00   -7.02   -7.56   -8.04   -6.51   -7.48   -7.92   -4.40
D    |   19.960 |   19.967 |   19.969 |   20.003 |   20.061 |   10.919 |   10.928 |   10.931 |   10.921 |   10.924 |   10.921 |   10.927 ||   +0.04   +0.04   +0.22   +0.51  -45.30  -45.25  -45.23  -45.29  -45.27  -45.28  -45.25
E    |   21.030 |   21.055 |   21.016 |   21.078 |   21.022 |   12.034 |   11.888 |   12.076 |   12.087 |   12.083 |   12.043 |   12.051 ||   +0.12   -0.07   +0.23   -0.04  -42.78  -43.47  -42.58  -42.53  -42.55  -42.73  -42.70
F    |   21.964 |   21.984 |   21.976 |   22.016 |   22.020 |   18.747 |   18.696 |   18.770 |   18.229 |   17.875 |   17.989 |   18.226 ||   +0.09   +0.05   +0.24   +0.25  -14.65  -14.88  -14.54  -17.01  -18.62  -18.10  -17.02
R1   |   22.058 |   22.053 |   22.050 |   22.068 |   22.119 |   22.090 |   19.114 |   19.132 |   18.423 |   22.234 |   22.268 |   22.390 ||   -0.02   -0.04   +0.05   +0.28   +0.15  -13.35  -13.27  -16.48   +0.80   +0.95   +1.50
R2   |   21.838 |   21.839 |   21.828 |   21.854 |   21.909 |   21.874 |   19.956 |   19.971 |   18.913 |   21.644 |   21.676 |   21.790 ||   +0.01   -0.04   +0.08   +0.33   +0.16   -8.62   -8.55  -13.40   -0.89   -0.74   -0.22
R3   |   21.739 |   21.738 |   21.732 |   21.765 |   21.795 |   21.765 |   20.300 |   20.307 |   19.091 |   21.205 |   21.236 |   21.344 ||   -0.01   -0.03   +0.12   +0.26   +0.12   -6.62   -6.59  -12.18   -2.46   -2.31   -1.82
R4   |   21.683 |   21.677 |   21.673 |   21.706 |   21.728 |   21.711 |   20.518 |   20.527 |   19.218 |   20.966 |   20.980 |   21.084 ||   -0.02   -0.05   +0.11   +0.21   +0.13   -5.37   -5.33  -11.37   -3.30   -3.24   -2.76
R6   |   21.607 |   21.606 |   21.604 |   21.625 |   21.634 |   21.621 |   20.872 |   20.875 |   19.410 |   20.514 |   20.525 |   20.584 ||   -0.00   -0.01   +0.08   +0.13   +0.06   -3.40   -3.39  -10.16   -5.06   -5.01   -4.73
=== process order1.2
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   22.547 |   22.560 |   22.549 |   22.607 |   22.608 |   19.145 |   18.468 |   17.380 |   17.949 |   19.064 |   19.240 |   19.169 ||   +0.06   +0.01   +0.27   +0.27  -15.09  -18.09  -22.92  -20.39  -15.45  -14.67  -14.98
B    |   51.774 |   51.762 |   51.838 |   51.841 |   51.836 |   49.272 |   48.749 |   48.073 |   48.306 |   49.129 |   49.230 |   49.427 ||   -0.02   +0.12   +0.13   +0.12   -4.83   -5.84   -7.15   -6.70   -5.11   -4.91   -4.53
C    |   31.787 |   31.749 |   31.784 |   31.780 |   32.093 |   29.566 |   29.382 |   29.216 |   29.687 |   29.437 |   29.288 |   30.379 ||   -0.12   -0.01   -0.02   +0.96   -6.99   -7.57   -8.09   -6.61   -7.39   -7.86   -4.43
D    |   19.973 |   19.968 |   19.963 |   20.005 |   20.064 |   10.920 |   10.928 |   10.931 |   10.922 |   10.924 |   10.919 |   10.930 ||   -0.03   -0.05   +0.16   +0.45  -45.33  -45.28  -45.27  -45.32  -45.31  -45.33  -45.28
E    |   21.014 |   21.048 |   21.034 |   21.056 |   21.032 |   12.045 |   11.899 |   12.063 |   12.066 |   12.053 |   12.058 |   12.033 ||   +0.16   +0.09   +0.20   +0.08  -42.68  -43.38  -42.60  -42.58  -42.64  -42.62  -42.74
F    |   21.982 |   21.973 |   21.973 |   22.026 |   22.040 |   18.758 |   18.700 |   18.775 |   18.273 |   17.854 |   17.970 |   18.172 ||   -0.04   -0.04   +0.20   +0.26  -14.67  -14.93  -14.59  -16.87  -18.78  -18.25  -17.33
R1   |   22.066 |   22.057 |   22.041 |   22.077 |   22.111 |   22.095 |   19.107 |   19.152 |   18.452 |   22.224 |   22.260 |   22.382 ||   -0.04   -0.11   +0.05   +0.21   +0.13  -13.41  -13.20  -16.38   +0.71   +0.88   +1.43
R2   |   21.847 |   21.832 |   21.831 |   21.867 |   21.909 |   21.873 |   19.949 |   19.965 |   18.910 |   21.642 |   21.675 |   21.790 ||   -0.07   -0.07   +0.09   +0.29   +0.12   -8.69   -8.61  -13.44   -0.94   -0.79   -0.26
R3   |   21.742 |   21.739 |   21.736 |   21.759 |   21.791 |   21.764 |   20.299 |   20.309 |   19.092 |   21.216 |   21.216 |   21.346 ||   -0.01   -0.03   +0.08   +0.22   +0.10   -6.64   -6.59  -12.19   -2.42   -2.42   -1.82
R4   |   21.688 |   21.677 |   21.681 |   21.708 |   21.724 |   21.705 |   20.507 |   20.529 |   19.225 |   20.969 |   20.997 |   21.093 ||   -0.05   -0.03   +0.09   +0.17   +0.08   -5.44   -5.34  -11.35   -3.31   -3.18   -2.74
R6   |   21.600 |   21.602 |   21.602 |   21.622 |   21.636 |   21.625 |   20.876 |   20.885 |   19.416 |   20.515 |   20.518 |   20.587 ||   +0.01   +0.01   +0.10   +0.16   +0.11   -3.36   -3.31  -10.12   -5.03   -5.01   -4.69
=== process order1.3
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
