=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   22.599 |   22.592 |   22.561 |   22.632 |   22.606 |   19.172 |   18.504 |   17.329 |   17.930 |   19.068 |   19.177 |   19.164 ||   -0.03   -0.17   +0.15   +0.03  -15.16  -18.12  -23.32  -20.66  -15.62  -15.14  -15.20
B    |   51.791 |   51.785 |   51.804 |   51.845 |   51.800 |   49.259 |   48.832 |   48.044 |   48.308 |   49.101 |   49.209 |   49.452 ||   -0.01   +0.02   +0.10   +0.02   -4.89   -5.71   -7.24   -6.73   -5.19   -4.99   -4.52
C    |   31.754 |   31.743 |   31.779 |   31.789 |   32.052 |   29.571 |   29.411 |   29.238 |   29.723 |   29.406 |   29.344 |   30.448 ||   -0.04   +0.08   +0.11   +0.94   -6.88   -7.38   -7.92   -6.39   -7.39   -7.59   -4.11
D    |   19.973 |   19.964 |   19.968 |   20.002 |   20.061 |   10.918 |   10.927 |   10.932 |   10.926 |   10.922 |   10.919 |   10.928 ||   -0.05   -0.02   +0.15   +0.44  -45.33  -45.29  -45.27  -45.30  -45.31  -45.33  -45.28
E    |   21.024 |   21.052 |   21.027 |   21.066 |   21.011 |   12.030 |   11.891 |   12.072 |   12.073 |   12.076 |   12.053 |   12.059 ||   +0.13   +0.01   +0.20   -0.07  -42.78  -43.44  -42.58  -42.57  -42.56  -42.67  -42.64
F    |   21.968 |   21.998 |   21.964 |   22.023 |   22.019 |   18.754 |   18.682 |   18.774 |   18.241 |   17.841 |   17.980 |   18.188 ||   +0.14   -0.02   +0.25   +0.23  -14.63  -14.96  -14.54  -16.97  -18.79  -18.15  -17.21
R1   |   22.052 |   22.062 |   22.052 |   22.077 |   22.126 |   22.092 |   19.146 |   19.177 |   18.458 |   22.246 |   22.255 |   22.406 ||   +0.04   -0.00   +0.11   +0.33   +0.18  -13.18  -13.04  -16.30   +0.88   +0.92   +1.60
R2   |   21.833 |   21.828 |   21.829 |   21.871 |   21.898 |   21.868 |   19.957 |   19.958 |   18.917 |   21.638 |   21.638 |   21.817 ||   -0.02   -0.02   +0.17   +0.30   +0.16   -8.60   -8.59  -13.36   -0.89   -0.89   -0.08
R3   |   21.738 |   21.738 |   21.731 |   21.765 |   21.801 |   21.768 |   20.304 |   20.303 |   19.091 |   21.193 |   21.202 |   21.384 ||   -0.00   -0.03   +0.12   +0.29   +0.14   -6.60   -6.60  -12.18   -2.51   -2.47   -1.63
R4   |   21.676 |   21.678 |   21.682 |   21.706 |   21.733 |   21.698 |   20.519 |   20.528 |   19.229 |   20.971 |   20.973 |   21.127 ||   +0.01   +0.03   +0.14   +0.26   +0.10   -5.34   -5.30  -11.29   -3.25   -3.24   -2.53
R6   |   21.607 |   21.605 |   21.603 |   21.627 |   21.630 |   21.620 |   20.873 |   20.880 |   19.409 |   20.513 |   20.515 |   20.594 ||   -0.01   -0.02   +0.09   +0.11   +0.06   -3.40   -3.37  -10.17   -5.06   -5.06   -4.69
=== process order2.1
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   22.604 |   19.047 |   19.188 |   19.107 |   18.002 |   17.382 |   18.379 |   19.070 |   22.551 |   22.575 |   22.622 |   22.648 ||  -15.74  -15.11  -15.47  -20.36  -23.10  -18.69  -15.63   -0.23   -0.13   +0.08   +0.19
B    |   51.753 |   49.211 |   49.135 |   49.130 |   48.383 |   48.164 |   48.785 |   49.215 |   51.820 |   51.838 |   51.809 |   51.893 ||   -4.91   -5.06   -5.07   -6.51   -6.93   -5.73   -4.90   +0.13   +0.16   +0.11   +0.27
C    |   31.716 |   30.574 |   29.457 |   29.461 |   29.847 |   29.198 |   29.271 |   29.531 |   31.739 |   31.716 |   31.746 |   32.172 ||   -3.60   -7.12   -7.11   -5.89   -7.94   -7.71   -6.89   +0.07   -0.00   +0.10   +1.44
D    |   19.968 |   10.927 |   10.918 |   10.919 |   10.925 |   10.927 |   10.926 |   10.929 |   19.980 |   20.059 |   19.976 |   19.965 ||  -45.28  -45.32  -45.32  -45.29  -45.28  -45.28  -45.26   +0.06   +0.45   +0.04   -0.01
E    |   21.019 |   12.078 |   12.059 |   12.064 |   12.059 |   12.088 |   11.809 |   12.035 |   21.077 |   21.097 |   21.034 |   21.016 ||  -42.54  -42.63  -42.61  -42.63  -42.49  -43.82  -42.74   +0.28   +0.37   +0.07   -0.01
F    |   21.977 |   18.081 |   17.831 |   17.863 |   18.238 |   18.839 |   18.640 |   18.748 |   21.996 |   22.046 |   21.995 |   21.990 ||  -17.73  -18.86  -18.72  -17.01  -14.28  -15.18  -14.69   +0.09   +0.32   +0.08   +0.06
R1   |   22.064 |   22.391 |   22.234 |   22.237 |   18.444 |   19.174 |   19.144 |   22.108 |   22.083 |   22.127 |   22.052 |   22.069 ||   +1.48   +0.77   +0.78  -16.40  -13.10  -13.23   +0.20   +0.09   +0.29   -0.05   +0.02
R2   |   21.844 |   21.791 |   21.650 |   21.641 |   18.921 |   19.961 |   19.941 |   21.902 |   21.875 |   21.909 |   21.828 |   21.839 ||   -0.25   -0.89   -0.93  -13.38   -8.62   -8.72   +0.26   +0.14   +0.30   -0.07   -0.03
R3   |   21.746 |   21.349 |   21.209 |   21.226 |   19.093 |   20.307 |   20.302 |   21.801 |   21.771 |   21.793 |   21.732 |   21.724 ||   -1.82   -2.47   -2.39  -12.20   -6.62   -6.64   +0.25   +0.11   +0.22   -0.07   -0.10
R4   |   21.680 |   21.091 |   20.966 |   20.983 |   19.237 |   20.514 |   20.509 |   21.729 |   21.709 |   21.725 |   21.674 |   21.677 ||   -2.72   -3.29   -3.21  -11.27   -5.38   -5.40   +0.22   +0.13   +0.20   -0.03   -0.02
R6   |   21.607 |   20.585 |   20.522 |   20.519 |   19.413 |   20.871 |   20.870 |   21.637 |   21.618 |   21.636 |   21.605 |   21.599 ||   -4.73   -5.02   -5.03  -10.15   -3.40   -3.41   +0.14   +0.05   +0.14   -0.01   -0.04
=== process order2.2
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   22.584 |   19.045 |   19.186 |   19.176 |   17.978 |   17.335 |   18.409 |   19.050 |   22.521 |   22.589 |   22.630 |   22.634 ||  -15.67  -15.04  -15.09  -20.39  -23.24  -18.49  -15.65   -0.28   +0.02   +0.21   +0.22
B    |   51.765 |   49.237 |   49.146 |   49.137 |   48.441 |   48.165 |   48.788 |   49.222 |   51.812 |   51.840 |   51.860 |   51.875 ||   -4.88   -5.06   -5.08   -6.42   -6.95   -5.75   -4.91   +0.09   +0.15   +0.18   +0.21
C    |   31.730 |   30.612 |   29.496 |   29.500 |   29.834 |   29.242 |   29.322 |   29.547 |   31.773 |   31.737 |   31.703 |   32.166 ||   -3.52   -7.04   -7.03   -5.98   -7.84   -7.59   -6.88   +0.13   +0.02   -0.09   +1.37
D    |   19.965 |   10.928 |   10.920 |   10.919 |   10.924 |   10.925 |   10.924 |   10.924 |   19.980 |   20.059 |   19.973 |   19.962 ||  -45.26  -45.31  -45.31  -45.28  -45.28  -45.28  -45.28   +0.08   +0.47   +0.04   -0.01
E    |   21.015 |   12.091 |   12.058 |   12.049 |   12.072 |   12.099 |   11.819 |   12.027 |   21.089 |   21.101 |   21.019 |   21.033 ||  -42.47  -42.62  -42.66  -42.56  -42.43  -43.76  -42.77   +0.35   +0.41   +0.02   +0.08
F    |   21.964 |   18.084 |   17.860 |   17.857 |   18.202 |   18.845 |   18.663 |   18.722 |   22.008 |   22.052 |   22.009 |   22.003 ||  -17.67  -18.69  -18.70  -17.13  -14.20  -15.03  -14.76   +0.20   +0.40   +0.20   +0.18
R1   |   22.064 |   22.392 |   22.236 |   22.247 |   18.439 |   19.167 |   19.111 |   22.130 |   22.100 |   22.123 |   22.048 |   22.063 ||   +1.49   +0.78   +0.83  -16.43  -13.13  -13.38   +0.30   +0.16   +0.27   -0.07   -0.00
R2   |   21.842 |   21.797 |   21.640 |   21.625 |   18.929 |   19.969 |   19.956 |   21.900 |   21.875 |   21.922 |   21.819 |   21.833 ||   -0.20   -0.93   -0.99  -13.34   -8.57   -8.63   +0.26   +0.15   +0.36   -0.11   -0.04
R3   |   21.743 |   21.342 |   21.195 |   21.211 |   19.092 |   20.301 |   20.310 |   21.806 |   21.779 |   21.798 |   21.726 |   21.731 ||   -1.84   -2.52   -2.45  -12.19   -6.63   -6.59   +0.29   +0.16   +0.25   -0.08   -0.06
R4   |   21.676 |   21.100 |   20.984 |   20.977 |   19.226 |   20.521 |   20.521 |   21.730 |   21.716 |   21.726 |   21.681 |   21.676 ||   -2.66   -3.19   -3.22  -11.30   -5.33   -5.33   +0.25   +0.18   +0.23   +0.02   +0.00
R6   |   21.609 |   20.581 |   20.525 |   20.518 |   19.416 |   20.880 |   20.883 |   21.639 |   21.631 |   21.635 |   21.602 |   21.598 ||   -4.76   -5.02   -5.05  -10.15   -3.37   -3.36   +0.14   +0.10   +0.12   -0.03   -0.05
=== process order2.3
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   22.594 |   19.063 |   19.180 |   19.114 |   17.951 |   17.393 |   18.370 |   19.010 |   22.547 |   22.548 |   22.625 |   22.677 ||  -15.63  -15.11  -15.40  -20.55  -23.02  -18.69  -15.86   -0.21   -0.20   +0.14   +0.37
B    |   51.779 |   49.284 |   49.126 |   49.123 |   48.287 |   48.094 |   48.778 |   49.185 |   51.825 |   51.807 |   51.829 |   51.863 ||   -4.82   -5.12   -5.13   -6.74   -7.12   -5.80   -5.01   +0.09   +0.05   +0.10   +0.16
C    |   31.682 |   30.622 |   29.430 |   29.447 |   29.835 |   29.240 |   29.306 |   29.531 |   31.773 |   31.680 |   31.819 |   32.101 ||   -3.35   -7.11   -7.06   -5.83   -7.71   -7.50   -6.79   +0.29   -0.01   +0.43   +1.32
D    |   19.965 |   10.926 |   10.918 |   10.918 |   10.926 |   10.928 |   10.925 |   10.927 |   19.979 |   20.053 |   19.967 |   19.963 ||  -45.27  -45.31  -45.31  -45.28  -45.27  -45.28  -45.27   +0.07   +0.44   +0.01   -0.01
E    |   21.018 |   12.082 |   12.041 |   12.049 |   12.072 |   12.084 |   11.817 |   12.027 |   21.091 |   21.096 |   21.015 |   21.014 ||  -42.52  -42.71  -42.67  -42.56  -42.50  -43.78  -42.78   +0.35   +0.37   -0.01   -0.02
F    |   21.966 |   18.081 |   17.850 |   17.861 |   18.207 |   18.859 |   18.640 |   18.682 |   22.019 |   22.052 |   21.981 |   21.978 ||  -17.69  -18.74  -18.69  -17.11  -14.14  -15.14  -14.95   +0.24   +0.39   +0.07   +0.05
R1   |   22.061 |   22.386 |   22.243 |   22.227 |   18.446 |   19.160 |   19.125 |   22.095 |   22.099 |   22.129 |   22.053 |   22.065 ||   +1.47   +0.83   +0.75  -16.39  -13.15  -13.31   +0.15   +0.17   +0.31   -0.04   +0.02
R2   |   21.842 |   21.801 |   21.647 |   21.645 |   18.919 |   19.967 |   19.932 |   21.901 |   21.867 |   21.915 |   21.820 |   21.841 ||   -0.19   -0.89   -0.90  -13.38   -8.58   -8.74   +0.27   +0.11   +0.33   -0.10   -0.01
R3   |   21.743 |   21.336 |   21.205 |   21.205 |   19.070 |   20.302 |   20.299 |   21.801 |   21.768 |   21.799 |   21.726 |   21.728 ||   -1.87   -2.48   -2.47  -12.30   -6.63   -6.64   +0.27   +0.12   +0.26   -0.08   -0.07
R4   |   21.686 |   21.094 |   20.977 |   20.977 |   19.232 |   20.522 |   20.521 |   21.726 |   21.707 |   21.731 |   21.678 |   21.677 ||   -2.73   -3.27   -3.27  -11.32   -5.37   -5.37   +0.18   +0.10   +0.21   -0.04   -0.04
R6   |   21.602 |   20.577 |   20.521 |   20.519 |   19.417 |   20.881 |   20.868 |   21.637 |   21.618 |   21.634 |   21.603 |   21.599 ||   -4.75   -5.00   -5.02  -10.11   -3.34   -3.40   +0.16   +0.07   +0.15   +0.01   -0.01
=== process order3.1
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   22.547 |   18.376 |   19.281 |   22.544 |   17.830 |   22.574 |   19.129 |   19.082 |   22.591 |   22.605 |   17.423 |   19.064 ||  -18.50  -14.48   -0.02  -20.92   +0.12  -15.16  -15.37   +0.20   +0.26  -22.72  -15.45
B    |   51.817 |   48.821 |   49.178 |   51.725 |   48.261 |   51.857 |   49.214 |   49.196 |   51.948 |   51.822 |   48.160 |   49.216 ||   -5.78   -5.09   -0.18   -6.86   +0.08   -5.03   -5.06   +0.25   +0.01   -7.06   -5.02
C    |   31.680 |   29.186 |   29.354 |   31.711 |   30.203 |   31.751 |   30.338 |   29.517 |   32.076 |   31.735 |   29.335 |   29.393 ||   -7.87   -7.34   +0.10   -4.66   +0.22   -4.24   -6.83   +1.25   +0.17   -7.40   -7.22
D    |   19.976 |   10.926 |   10.918 |   19.958 |   10.923 |   20.002 |   10.930 |   10.920 |   20.029 |   19.963 |   10.930 |   10.924 ||  -45.30  -45.34   -0.09  -45.32   +0.13  -45.28  -45.33   +0.26   -0.06  -45.28  -45.32
E    |   21.007 |   11.824 |   12.049 |   21.034 |   12.025 |   21.076 |   12.067 |   12.045 |   21.035 |   21.022 |   12.093 |   12.014 ||  -43.72  -42.64   +0.13  -42.76   +0.33  -42.56  -42.66   +0.13   +0.07  -42.44  -42.81
F    |   21.973 |   18.695 |   17.967 |   21.990 |   18.148 |   21.998 |   18.220 |   18.728 |   22.025 |   21.961 |   18.862 |   17.837 ||  -14.92  -18.23   +0.08  -17.41   +0.12  -17.08  -14.77   +0.24   -0.06  -14.16  -18.82
R1   |   22.060 |   19.112 |   22.265 |   22.045 |   18.424 |   22.085 |   22.385 |   22.083 |   22.133 |   22.039 |   19.284 |   22.255 ||  -13.36   +0.93   -0.07  -16.48   +0.11   +1.48   +0.11   +0.33   -0.09  -12.58   +0.89
R2   |   21.835 |   19.957 |   21.652 |   21.836 |   18.907 |   21.864 |   21.787 |   21.863 |   21.909 |   21.834 |   20.022 |   21.644 ||   -8.60   -0.84   +0.01  -13.41   +0.13   -0.22   +0.13   +0.34   -0.01   -8.31   -0.88
R3   |   21.736 |   20.313 |   21.231 |   21.738 |   19.095 |   21.764 |   21.352 |   21.766 |   21.799 |   21.734 |   20.355 |   21.222 ||   -6.54   -2.32   +0.01  -12.15   +0.13   -1.77   +0.14   +0.29   -0.01   -6.35   -2.36
R4   |   21.684 |   20.524 |   20.984 |   21.679 |   19.208 |   21.706 |   21.100 |   21.702 |   21.735 |   21.682 |   20.560 |   20.980 ||   -5.35   -3.23   -0.02  -11.42   +0.10   -2.70   +0.08   +0.23   -0.01   -5.18   -3.25
R6   |   21.604 |   20.884 |   20.513 |   21.605 |   19.395 |   21.630 |   20.576 |   21.616 |   21.637 |   21.600 |   20.896 |   20.515 ||   -3.33   -5.05   +0.00  -10.22   +0.12   -4.76   +0.05   +0.15   -0.02   -3.28   -5.04
=== process order3.2
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   22.593 |   18.416 |   19.250 |   22.544 |   17.800 |   22.633 |   19.124 |   19.130 |   22.577 |   22.585 |   17.429 |   19.023 ||  -18.49  -14.80   -0.22  -21.22   +0.18  -15.35  -15.33   -0.07   -0.04  -22.86  -15.80
B    |   51.817 |   48.788 |   49.148 |   51.796 |   48.252 |   51.835 |   49.207 |   49.157 |   51.922 |   51.821 |   48.129 |   49.180 ||   -5.85   -5.15   -0.04   -6.88   +0.03   -5.04   -5.13   +0.20   +0.01   -7.12   -5.09
C    |   31.719 |   29.159 |   29.347 |   31.725 |   30.099 |   31.762 |   30.360 |   29.530 |   32.027 |   31.755 |   29.320 |   29.417 ||   -8.07   -7.48   +0.02   -5.11   +0.13   -4.29   -6.90   +0.97   +0.11   -7.56   -7.26
D    |   19.973 |   10.928 |   10.919 |   19.962 |   10.926 |   20.004 |   10.928 |   10.918 |   20.024 |   19.969 |   10.928 |   10.926 ||  -45.29  -45.33   -0.05  -45.29   +0.15  -45.29  -45.33   +0.25   -0.02  -45.29  -45.30
E    |   21.016 |   11.823 |   12.073 |   21.027 |   12.038 |   21.055 |   12.076 |   12.011 |   21.044 |   21.025 |   12.084 |   12.018 ||  -43.74  -42.55   +0.05  -42.72   +0.19  -42.54  -42.85   +0.14   +0.04  -42.50  -42.81
F    |   21.973 |   18.695 |   17.991 |   21.978 |   18.167 |   22.022 |   18.226 |   18.730 |   22.010 |   21.961 |   18.874 |   17.822 ||  -14.92  -18.12   +0.02  -17.32   +0.22  -17.05  -14.76   +0.17   -0.05  -14.10  -18.89
R1   |   22.056 |   19.123 |   22.246 |   22.044 |   18.422 |   22.091 |   22.398 |   22.080 |   22.122 |   22.044 |   19.264 |   22.231 ||  -13.30   +0.86   -0.05  -16.47   +0.16   +1.55   +0.11   +0.30   -0.05  -12.66   +0.79
R2   |   21.835 |   19.953 |   21.636 |   21.832 |   18.915 |   21.861 |   21.797 |   21.857 |   21.912 |   21.830 |   20.021 |   21.643 ||   -8.62   -0.91   -0.02  -13.37   +0.12   -0.17   +0.10   +0.35   -0.02   -8.31   -0.88
R3   |   21.747 |   20.312 |   21.225 |   21.738 |   19.101 |   21.768 |   21.350 |   21.761 |   21.799 |   21.738 |   20.355 |   21.208 ||   -6.60   -2.40   -0.04  -12.17   +0.09   -1.83   +0.06   +0.24   -0.04   -6.40   -2.48
R4   |   21.684 |   20.524 |   20.982 |   21.682 |   19.208 |   21.708 |   21.094 |   21.707 |   21.737 |   21.682 |   20.553 |   20.980 ||   -5.35   -3.23   -0.01  -11.42   +0.11   -2.72   +0.11   +0.25   -0.01   -5.22   -3.24
R6   |   21.601 |   20.883 |   20.510 |   21.606 |   19.391 |   21.626 |   20.580 |   21.621 |   21.633 |   21.597 |   20.891 |   20.521 ||   -3.32   -5.05   +0.03  -10.23   +0.12   -4.72   +0.09   +0.15   -0.02   -3.29   -5.00
=== process order3.3
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   22.549 |   18.389 |   19.288 |   22.552 |   17.815 |   22.630 |   19.070 |   19.146 |   22.550 |   22.583 |   17.398 |   19.102 ||  -18.45  -14.46   +0.01  -20.99   +0.36  -15.43  -15.09   +0.00   +0.15  -22.84  -15.28
B    |   51.789 |   48.788 |   49.162 |   51.785 |   48.240 |   51.821 |   49.229 |   49.190 |   51.920 |   51.796 |   48.186 |   49.172 ||   -5.79   -5.07   -0.01   -6.85   +0.06   -4.94   -5.02   +0.25   +0.01   -6.96   -5.05
C    |   31.729 |   29.225 |   29.344 |   31.711 |   30.166 |   31.819 |   30.374 |   29.495 |   32.004 |   31.754 |   29.283 |   29.380 ||   -7.89   -7.52   -0.06   -4.93   +0.29   -4.27   -7.04   +0.87   +0.08   -7.71   -7.40
D    |   19.974 |   10.927 |   10.921 |   19.963 |   10.925 |   20.001 |   10.931 |   10.920 |   20.018 |   19.968 |   10.927 |   10.926 ||  -45.29  -45.32   -0.06  -45.30   +0.14  -45.28  -45.33   +0.22   -0.03  -45.29  -45.30
E    |   20.999 |   11.828 |   12.070 |   21.028 |   12.021 |   21.064 |   12.069 |   12.032 |   21.034 |   21.015 |   12.101 |   12.035 ||  -43.67  -42.52   +0.14  -42.75   +0.31  -42.53  -42.70   +0.17   +0.07  -42.37  -42.69
F    |   21.950 |   18.706 |   18.000 |   21.989 |   18.163 |   22.010 |   18.206 |   18.736 |   22.016 |   21.953 |   18.858 |   17.844 ||  -14.78  -17.99   +0.18  -17.25   +0.27  -17.05  -14.64   +0.30   +0.01  -14.09  -18.71
