### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.259 |   33.153 |   33.022 |   33.188 ||   -0.32   -0.71   -0.22
B    |   70.426 |   70.610 |   70.405 |   70.752 ||   +0.26   -0.03   +0.46
C    |   46.717 |   46.619 |   46.612 |   46.810 ||   -0.21   -0.22   +0.20
D    |   28.184 |   28.119 |   28.161 |   28.116 ||   -0.23   -0.08   -0.24
E    |   30.439 |   30.420 |   30.421 |   30.398 ||   -0.06   -0.06   -0.13
F    |   32.399 |   32.334 |   32.367 |   32.334 ||   -0.20   -0.10   -0.20
R1   |   32.551 |   32.602 |   32.576 |   32.674 ||   +0.16   +0.08   +0.38
R2   |   32.578 |   32.369 |   32.374 |   32.745 ||   -0.64   -0.63   +0.51
R3   |   32.661 |   32.209 |   32.635 |   32.124 ||   -1.39   -0.08   -1.65
R4   |   32.679 |   31.889 |   32.713 |   32.891 ||   -2.42   +0.10   +0.65
R6   |   30.744 |   30.729 |   30.832 |   30.736 ||   -0.05   +0.29   -0.03
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.199 |   33.123 |   33.085 |   33.139 ||   -0.23   -0.34   -0.18
B    |   70.178 |   70.602 |   70.424 |   70.660 ||   +0.60   +0.35   +0.69
C    |   46.839 |   46.700 |   46.798 |   46.772 ||   -0.30   -0.09   -0.14
D    |   28.249 |   28.233 |   28.245 |   28.196 ||   -0.06   -0.01   -0.19
E    |   30.428 |   30.366 |   30.366 |   30.368 ||   -0.20   -0.21   -0.20
F    |   32.448 |   32.417 |   32.401 |   32.363 ||   -0.09   -0.14   -0.26
R1   |   32.682 |   32.591 |   32.686 |   32.847 ||   -0.28   +0.01   +0.50
R2   |   32.752 |   32.626 |   32.744 |   32.935 ||   -0.39   -0.02   +0.56
R3   |   32.891 |   32.450 |   32.863 |   33.096 ||   -1.34   -0.09   +0.62
R4   |   31.135 |   32.260 |   32.991 |   33.198 ||   +3.61   +5.96   +6.62
R6   |   30.791 |   30.873 |   30.767 |   30.730 ||   +0.27   -0.08   -0.20
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   28.968 |   28.847 |   29.195 |   29.386 ||   -0.42   +0.78   +1.44
B    |   67.608 |   67.482 |   67.844 |   67.758 ||   -0.19   +0.35   +0.22
C    |   44.249 |   44.240 |   44.308 |   44.300 ||   -0.02   +0.13   +0.12
D    |   14.538 |   14.545 |   14.500 |   14.555 ||   +0.05   -0.26   +0.11
E    |   18.471 |   18.446 |   18.464 |   18.457 ||   -0.13   -0.04   -0.07
F    |   27.493 |   27.415 |   27.511 |   27.568 ||   -0.28   +0.07   +0.27
R1   |   33.044 |   33.072 |   33.089 |   32.990 ||   +0.08   +0.14   -0.17
R2   |   30.541 |   30.585 |   30.951 |   30.776 ||   +0.14   +1.34   +0.77
R3   |   29.781 |   29.838 |   30.184 |   30.054 ||   +0.19   +1.35   +0.92
R4   |   29.309 |   29.342 |   29.755 |   29.569 ||   +0.11   +1.52   +0.88
R6   |   28.554 |   28.597 |   28.849 |   28.836 ||   +0.15   +1.03   +0.99
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
