### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.382 |   28.351 |   28.290 |   28.352 ||   -0.11   -0.32   -0.11
B    |   61.930 |   61.827 |   61.976 |   61.819 ||   -0.17   +0.07   -0.18
C    |   37.745 |   38.019 |   37.847 |   38.012 ||   +0.73   +0.27   +0.71
D    |   23.919 |   23.937 |   23.888 |   23.916 ||   +0.07   -0.13   -0.02
E    |   25.833 |   25.796 |   25.782 |   25.756 ||   -0.15   -0.20   -0.30
F    |   27.110 |   27.151 |   27.122 |   27.115 ||   +0.15   +0.04   +0.02
R1   |   27.193 |   27.252 |   27.212 |   27.295 ||   +0.22   +0.07   +0.37
R2   |   26.807 |   26.827 |   26.826 |   26.777 ||   +0.07   +0.07   -0.11
R3   |   26.553 |   26.501 |   26.534 |   26.521 ||   -0.20   -0.07   -0.12
R4   |   26.389 |   26.358 |   26.376 |   26.357 ||   -0.12   -0.05   -0.12
R6   |   26.094 |   26.118 |   26.115 |   26.117 ||   +0.09   +0.08   +0.09
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.390 |   28.352 |   28.377 |   28.287 ||   -0.13   -0.05   -0.36
B    |   61.899 |   61.861 |   61.981 |   61.853 ||   -0.06   +0.13   -0.07
C    |   37.959 |   37.994 |   37.806 |   37.981 ||   +0.09   -0.40   +0.06
D    |   23.913 |   23.947 |   23.912 |   23.911 ||   +0.14   -0.00   -0.01
E    |   25.843 |   25.787 |   25.820 |   25.786 ||   -0.22   -0.09   -0.22
F    |   27.148 |   27.156 |   27.130 |   27.115 ||   +0.03   -0.07   -0.12
R1   |   27.183 |   27.222 |   27.202 |   27.282 ||   +0.14   +0.07   +0.36
R2   |   26.798 |   26.788 |   26.808 |   26.785 ||   -0.04   +0.04   -0.05
R3   |   26.542 |   26.489 |   26.547 |   26.525 ||   -0.20   +0.02   -0.06
R4   |   26.380 |   26.349 |   26.376 |   26.365 ||   -0.12   -0.01   -0.05
R6   |   26.098 |   26.105 |   26.115 |   26.121 ||   +0.03   +0.07   +0.09
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   22.982 |   24.299 |   24.267 |   23.033 ||   +5.73   +5.59   +0.22
B    |   59.203 |   59.222 |   59.189 |   59.194 ||   +0.03   -0.02   -0.01
C    |   35.785 |   35.869 |   35.732 |   35.683 ||   +0.23   -0.15   -0.28
D    |   12.906 |   12.903 |   12.901 |   12.905 ||   -0.03   -0.04   -0.01
E    |   14.758 |   14.732 |   14.747 |   14.752 ||   -0.18   -0.07   -0.03
F    |   20.880 |   21.013 |   20.974 |   20.808 ||   +0.64   +0.45   -0.34
R1   |   26.143 |   26.082 |   26.122 |   26.144 ||   -0.23   -0.08   +0.00
R2   |   25.321 |   25.321 |   25.282 |   25.343 ||   +0.00   -0.15   +0.09
R3   |   24.845 |   24.810 |   24.826 |   24.840 ||   -0.14   -0.07   -0.02
R4   |   24.545 |   24.512 |   24.518 |   24.537 ||   -0.13   -0.11   -0.03
R6   |   23.969 |   23.958 |   23.958 |   23.980 ||   -0.04   -0.05   +0.04
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   22.921 |   24.282 |   24.247 |   23.767 ||   +5.94   +5.78   +3.69
B    |   59.210 |   59.206 |   59.239 |   59.227 ||   -0.01   +0.05   +0.03
C    |   35.799 |   35.820 |   35.713 |   35.697 ||   +0.06   -0.24   -0.28
D    |   12.901 |   12.903 |   12.903 |   12.905 ||   +0.02   +0.02   +0.03
E    |   14.741 |   14.752 |   14.712 |   14.740 ||   +0.08   -0.20   -0.00
F    |   20.875 |   21.078 |   21.040 |   20.827 ||   +0.97   +0.79   -0.23
R1   |   26.130 |   26.109 |   26.108 |   26.131 ||   -0.08   -0.08   +0.01
R2   |   25.330 |   25.314 |   25.297 |   25.334 ||   -0.06   -0.13   +0.02
R3   |   24.837 |   24.805 |   24.807 |   24.835 ||   -0.13   -0.12   -0.01
R4   |   24.557 |   24.527 |   24.503 |   24.544 ||   -0.12   -0.22   -0.05
R6   |   23.978 |   23.959 |   23.957 |   23.973 ||   -0.08   -0.09   -0.02
### AA-t5 : t5 t5 t5 t5
