### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R3   |   20.297 |   20.285 |   20.306 |   20.283 ||   -0.06   +0.04   -0.07
R4   |   20.504 |   20.490 |   20.490 |   20.497 ||   -0.07   -0.07   -0.04
R6   |   20.864 |   20.864 |   20.870 |   20.859 ||   -0.00   +0.03   -0.03
### AA-t8 : t8 t8 t8 t8
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   17.985 |   18.040 |   18.042 |   18.005 ||   +0.30   +0.31   +0.11
B    |   48.277 |   48.268 |   48.295 |   48.231 ||   -0.02   +0.04   -0.10
C    |   29.379 |   29.329 |   29.122 |   29.094 ||   -0.17   -0.88   -0.97
D    |   10.928 |   10.930 |   10.912 |   10.923 ||   +0.01   -0.15   -0.05
E    |   12.103 |   12.102 |   12.095 |   12.091 ||   -0.01   -0.07   -0.10
F    |   18.255 |   18.217 |   18.221 |   18.232 ||   -0.21   -0.19   -0.13
R1   |   18.491 |   18.436 |   18.439 |   18.462 ||   -0.30   -0.28   -0.16
R2   |   18.914 |   18.921 |   18.915 |   18.949 ||   +0.04   +0.01   +0.19
R3   |   19.085 |   19.085 |   19.094 |   19.106 ||   +0.00   +0.05   +0.11
R4   |   19.212 |   19.224 |   19.217 |   19.235 ||   +0.06   +0.03   +0.12
R6   |   19.410 |   19.416 |   19.406 |   19.414 ||   +0.03   -0.02   +0.02
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   18.016 |   17.986 |   18.044 |   17.999 ||   -0.17   +0.16   -0.09
B    |   48.288 |   48.284 |   48.283 |   48.245 ||   -0.01   -0.01   -0.09
C    |   29.297 |   29.274 |   29.109 |   29.166 ||   -0.08   -0.64   -0.45
D    |   10.925 |   10.930 |   10.922 |   10.927 ||   +0.04   -0.03   +0.01
E    |   12.081 |   12.069 |   12.087 |   12.099 ||   -0.10   +0.05   +0.15
F    |   18.223 |   18.216 |   18.269 |   18.211 ||   -0.04   +0.25   -0.07
R1   |   18.478 |   18.439 |   18.437 |   18.458 ||   -0.21   -0.22   -0.11
R2   |   18.925 |   18.925 |   18.913 |   18.942 ||   +0.00   -0.06   +0.09
R3   |   19.095 |   19.083 |   19.091 |   19.103 ||   -0.06   -0.02   +0.04
R4   |   19.222 |   19.222 |   19.218 |   19.230 ||   +0.00   -0.02   +0.04
R6   |   19.410 |   19.408 |   19.400 |   19.417 ||   -0.01   -0.05   +0.03
### AA-t4 : t4 t4 t4 t4
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   19.144 |   19.183 |   19.066 |   19.134 ||   +0.20   -0.41   -0.06
B    |   49.209 |   49.172 |   49.173 |   49.194 ||   -0.07   -0.07   -0.03
C    |   29.271 |   29.246 |   29.240 |   29.452 ||   -0.09   -0.11   +0.62
D    |   10.925 |   10.918 |   10.925 |   10.917 ||   -0.06   +0.00   -0.07
E    |   12.029 |   12.075 |   12.008 |   12.026 ||   +0.38   -0.18   -0.02
F    |   18.724 |   18.842 |   18.726 |   18.740 ||   +0.63   +0.01   +0.09
R1   |   22.126 |   22.086 |   22.117 |   22.074 ||   -0.18   -0.04   -0.24
R2   |   21.905 |   21.864 |   21.890 |   21.855 ||   -0.19   -0.07   -0.23
R3   |   21.790 |   21.764 |   21.780 |   21.759 ||   -0.12   -0.04   -0.14
R4   |   21.718 |   21.698 |   21.720 |   21.695 ||   -0.09   +0.01   -0.10
R6   |   21.626 |   21.623 |   21.628 |   21.615 ||   -0.01   +0.01   -0.05
