### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R3   |   24.211 |   24.167 |   24.210 |   24.206 ||   -0.18   -0.01   -0.02
R4   |   24.482 |   24.372 |   24.476 |   24.471 ||   -0.45   -0.02   -0.05
R6   |   24.881 |   24.778 |   24.885 |   24.894 ||   -0.41   +0.01   +0.05
### AA-t8 : t8 t8 t8 t8
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   22.579 |   22.691 |   22.598 |   22.642 ||   +0.50   +0.08   +0.28
B    |   59.488 |   59.514 |   59.431 |   59.484 ||   +0.04   -0.10   -0.01
C    |   37.289 |   37.439 |   37.169 |   37.317 ||   +0.40   -0.32   +0.08
D    |   12.888 |   12.889 |   12.882 |   12.884 ||   +0.01   -0.05   -0.03
E    |   14.850 |   14.849 |   14.850 |   14.834 ||   -0.00   +0.00   -0.11
F    |   21.211 |   21.074 |   21.281 |   21.067 ||   -0.65   +0.33   -0.68
R1   |   21.567 |   21.545 |   21.537 |   21.574 ||   -0.10   -0.14   +0.04
R2   |   22.065 |   22.066 |   22.046 |   22.066 ||   +0.00   -0.09   +0.00
R3   |   22.307 |   22.261 |   22.289 |   22.297 ||   -0.21   -0.08   -0.04
R4   |   22.445 |   22.428 |   22.432 |   22.433 ||   -0.08   -0.06   -0.05
R6   |   22.664 |   22.653 |   22.654 |   22.651 ||   -0.05   -0.04   -0.06
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   22.610 |   22.668 |   22.589 |   22.642 ||   +0.26   -0.09   +0.14
B    |   59.444 |   59.519 |   59.455 |   59.491 ||   +0.13   +0.02   +0.08
C    |   37.342 |   37.435 |   37.128 |   37.268 ||   +0.25   -0.57   -0.20
D    |   12.891 |   12.892 |   12.888 |   12.886 ||   +0.01   -0.03   -0.04
E    |   14.836 |   14.851 |   14.833 |   14.830 ||   +0.10   -0.02   -0.04
F    |   21.196 |   21.078 |   21.237 |   21.083 ||   -0.56   +0.19   -0.54
R1   |   21.585 |   21.549 |   21.544 |   21.557 ||   -0.17   -0.19   -0.13
R2   |   22.075 |   22.069 |   22.047 |   22.067 ||   -0.03   -0.13   -0.04
R3   |   22.296 |   22.267 |   22.293 |   22.294 ||   -0.13   -0.01   -0.01
R4   |   22.442 |   22.422 |   22.432 |   22.422 ||   -0.09   -0.05   -0.09
R6   |   22.673 |   22.654 |   22.655 |   22.655 ||   -0.08   -0.08   -0.08
### AA-t4 : t4 t4 t4 t4
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   23.928 |   24.025 |   24.018 |   23.974 ||   +0.40   +0.38   +0.19
B    |   58.859 |   58.906 |   58.786 |   58.875 ||   +0.08   -0.12   +0.03
C    |   35.573 |   35.701 |   35.698 |   35.848 ||   +0.36   +0.35   +0.77
D    |   12.902 |   12.904 |   12.903 |   12.875 ||   +0.02   +0.00   -0.21
E    |   14.807 |   14.804 |   14.804 |   14.797 ||   -0.02   -0.02   -0.07
F    |   22.288 |   22.484 |   22.345 |   22.289 ||   +0.88   +0.26   +0.01
R1   |   27.209 |   27.250 |   27.151 |   27.232 ||   +0.15   -0.21   +0.08
R2   |   26.782 |   26.863 |   26.736 |   26.854 ||   +0.30   -0.17   +0.27
R3   |   26.480 |   26.543 |   26.460 |   26.532 ||   +0.24   -0.07   +0.20
R4   |   26.320 |   26.383 |   26.280 |   26.366 ||   +0.24   -0.16   +0.17
R6   |   26.087 |   26.092 |   26.093 |   26.125 ||   +0.02   +0.02   +0.15
mix  |     t4_0 |     t4_1 |     t4_2 |     t4_3 ||    t4_1%    t4_2%    t4_3%
A    |   23.661 |   24.066 |   24.037 |   23.980 ||   +1.71   +1.59   +1.35
B    |   58.848 |   58.886 |   58.756 |   58.886 ||   +0.06   -0.16   +0.07
C    |   35.568 |   35.680 |   35.691 |   35.895 ||   +0.32   +0.35   +0.92
D    |   12.899 |   12.907 |   12.902 |   12.879 ||   +0.07   +0.03   -0.15
E    |   14.818 |   14.778 |   14.815 |   14.814 ||   -0.27   -0.02   -0.02
F    |   22.317 |   22.506 |   22.312 |   22.262 ||   +0.85   -0.02   -0.25
R1   |   27.208 |   27.234 |   27.160 |   27.235 ||   +0.10   -0.18   +0.10
R2   |   26.777 |   26.801 |   26.692 |   26.833 ||   +0.09   -0.32   +0.21
R3   |   26.490 |   26.547 |   26.461 |   26.531 ||   +0.21   -0.11   +0.15
R4   |   26.313 |   26.355 |   26.307 |   26.369 ||   +0.16   -0.02   +0.21
R6   |   26.093 |   26.124 |   26.094 |   26.133 ||   +0.12   +0.00   +0.15
### p-t4-t4p8 : t4 t4p8 t4 t4p8
mix  |     t4_0 |   t4p8_1 |     t4_2 |   t4p8_3 ||  t4p8_1%    t4_2%  t4p8_3%
A    |   23.902 |   22.706 |   23.887 |   23.083 ||   -5.00   -0.06   -3.42
B    |   58.861 |   59.164 |   58.759 |   59.292 ||   +0.52   -0.17   +0.73
C    |   35.637 |   35.646 |   35.514 |   35.572 ||   +0.03   -0.35   -0.18
D    |   12.907 |   12.888 |   12.905 |   12.899 ||   -0.15   -0.02   -0.06
E    |   14.816 |   14.789 |   14.833 |   14.730 ||   -0.18   +0.11   -0.58
F    |   22.299 |   20.971 |   22.293 |   21.014 ||   -5.95   -0.02   -5.76
R1   |   27.185 |   26.137 |   27.315 |   26.211 ||   -3.86   +0.48   -3.58
R2   |   26.741 |   25.365 |   26.748 |   25.423 ||   -5.15   +0.03   -4.93
R3   |   26.464 |   24.898 |   26.533 |   24.906 ||   -5.92   +0.26   -5.89
R4   |   26.324 |   24.607 |   26.409 |   24.608 ||   -6.52   +0.32   -6.52
R6   |   26.094 |   24.038 |   26.127 |   24.019 ||   -7.88   +0.12   -7.95
mix  |     t4_0 |   t4p8_1 |     t4_2 |   t4p8_3 ||  t4p8_1%    t4_2%  t4p8_3%
A    |   23.679 |   22.766 |   23.902 |   23.290 ||   -3.86   +0.94   -1.64
B    |   58.820 |   59.151 |   58.727 |   59.228 ||   +0.56   -0.16   +0.69
C    |   35.608 |   35.631 |   35.458 |   35.601 ||   +0.06   -0.42   -0.02
D    |   12.899 |   12.885 |   12.905 |   12.897 ||   -0.10   +0.05   -0.02
E    |   14.819 |   14.774 |   14.829 |   14.737 ||   -0.31   +0.07   -0.55
F    |   22.305 |   20.977 |   22.246 |   20.975 ||   -5.96   -0.27   -5.96
R1   |   27.174 |   26.122 |   27.278 |   26.234 ||   -3.87   +0.38   -3.46
R2   |   26.738 |   25.353 |   26.893 |   25.437 ||   -5.18   +0.58   -4.87
R3   |   26.467 |   24.888 |   26.577 |   24.912 ||   -5.96   +0.42   -5.87
R4   |   26.314 |   24.606 |   26.318 |   24.607 ||   -6.49   +0.01   -6.49
R6   |   26.097 |   24.042 |   26.125 |   24.014 ||   -7.88   +0.11   -7.98
### p-t4p8-t4 : t4p8 t4 t4p8 t4
mix  |   t4p8_0 |     t4_1 |   t4p8_2 |     t4_3 ||    t4_1%  t4p8_2%    t4_3%
A    |   23.004 |   23.562 |   23.017 |   24.041 ||   +2.43   +0.06   +4.51
B    |   59.208 |   58.649 |   59.002 |   58.804 ||   -0.94   -0.35   -0.68
C    |   35.759 |   35.653 |   35.618 |   35.878 ||   -0.30   -0.39   +0.33
D    |   12.904 |   12.902 |   12.885 |   12.904 ||   -0.02   -0.15   -0.00
E    |   14.757 |   14.798 |   14.763 |   14.805 ||   +0.28   +0.04   +0.32
F    |   20.812 |   22.379 |   20.778 |   22.438 ||   +7.53   -0.16   +7.81
R1   |   26.126 |   27.157 |   26.142 |   27.286 ||   +3.95   +0.06   +4.44
R2   |   25.330 |   26.715 |   25.418 |   26.837 ||   +5.47   +0.35   +5.95
R3   |   24.838 |   26.463 |   24.906 |   26.531 ||   +6.54   +0.27   +6.82
R4   |   24.538 |   26.308 |   24.616 |   26.332 ||   +7.21   +0.32   +7.31
R6   |   23.969 |   26.080 |   24.041 |   26.098 ||   +8.81   +0.30   +8.88
mix  |   t4p8_0 |     t4_1 |   t4p8_2 |     t4_3 ||    t4_1%  t4p8_2%    t4_3%
A    |   23.009 |   23.927 |   22.858 |   24.004 ||   +3.99   -0.66   +4.33
B    |   59.216 |   58.619 |   58.970 |   58.827 ||   -1.01   -0.41   -0.66
C    |   35.755 |   35.641 |   35.663 |   35.893 ||   -0.32   -0.26   +0.39
D    |   12.902 |   12.902 |   12.886 |   12.905 ||   -0.00   -0.12   +0.02
E    |   14.696 |   14.800 |   14.775 |   14.799 ||   +0.71   +0.54   +0.70
F    |   20.846 |   22.391 |   20.792 |   22.432 ||   +7.41   -0.26   +7.61
R1   |   26.155 |   27.155 |   26.172 |   27.253 ||   +3.82   +0.07   +4.20
R2   |   25.315 |   26.729 |   25.417 |   26.853 ||   +5.58   +0.40   +6.07
R3   |   24.870 |   26.501 |   24.861 |   26.518 ||   +6.56   -0.04   +6.63
R4   |   24.542 |   26.301 |   24.602 |   26.331 ||   +7.17   +0.25   +7.29
R6   |   23.974 |   26.007 |   24.051 |   26.107 ||   +8.48   +0.32   +8.90
### p-t5-t4p8 : t5 t4p8 t5 t4p8
mix  |     t5_0 |   t4p8_1 |     t5_2 |   t4p8_3 ||  t4p8_1%    t5_2%  t4p8_3%
A    |   21.781 |   22.774 |   22.777 |   23.792 ||   +4.56   +4.58   +9.23
B    |   58.598 |   59.049 |   58.521 |   59.231 ||   +0.77   -0.13   +1.08
C    |   35.802 |   35.740 |   35.561 |   35.724 ||   -0.17   -0.67   -0.22
D    |   12.875 |   12.886 |   12.892 |   12.895 ||   +0.08   +0.13   +0.15
E    |   14.829 |   14.805 |   14.047 |   14.739 ||   -0.16   -5.27   -0.60
F    |   22.182 |   20.741 |   22.176 |   20.947 ||   -6.50   -0.03   -5.57
R1   |   23.009 |   26.171 |   22.995 |   26.095 ||  +13.74   -0.06  +13.41
R2   |   23.769 |   25.381 |   23.762 |   25.284 ||   +6.78   -0.03   +6.37
