=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
R6   |   30.818 |   30.769 |   30.812 |   30.703 |   30.885 |   30.674 |   29.588 |   29.482 |   27.229 |   28.630 |   28.647 |   29.055 ||   -0.16   -0.02   -0.37   +0.22   -0.47   -3.99   -4.33  -11.65   -7.10   -7.04   -5.72
=== process order1.3
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   32.940 |   33.180 |   33.201 |   33.067 |   33.013 |   29.039 |   27.936 |   26.824 |   27.127 |   28.983 |   29.089 |   28.972 ||   +0.73   +0.79   +0.39   +0.22  -11.84  -15.19  -18.57  -17.65  -12.01  -11.69  -12.05
B    |   70.449 |   70.770 |   70.861 |   70.177 |   70.412 |   67.211 |   66.576 |   67.209 |   67.762 |   67.619 |   67.625 |   68.240 ||   +0.46   +0.59   -0.39   -0.05   -4.60   -5.50   -4.60   -3.81   -4.02   -4.01   -3.14
C    |   46.985 |   46.976 |   46.943 |   46.944 |   46.780 |   44.321 |   44.042 |   44.189 |   44.990 |   44.311 |   44.341 |   45.298 ||   -0.02   -0.09   -0.09   -0.44   -5.67   -6.26   -5.95   -4.25   -5.69   -5.63   -3.59
D    |   28.223 |   28.189 |   28.196 |   28.345 |   28.332 |   14.552 |   14.537 |   14.558 |   14.524 |   14.528 |   14.546 |   14.555 ||   -0.12   -0.10   +0.43   +0.39  -48.44  -48.49  -48.42  -48.54  -48.52  -48.46  -48.43
E    |   30.374 |   30.485 |   30.362 |   30.265 |   30.353 |   18.202 |   17.744 |   18.663 |   18.638 |   18.647 |   18.627 |   18.464 ||   +0.36   -0.04   -0.36   -0.07  -40.08  -41.58  -38.55  -38.64  -38.61  -38.67  -39.21
F    |   32.497 |   32.398 |   32.455 |   32.750 |   32.538 |   27.866 |   27.783 |   27.845 |   27.770 |   27.596 |   27.566 |   28.076 ||   -0.31   -0.13   +0.78   +0.13  -14.25  -14.51  -14.31  -14.55  -15.08  -15.17  -13.61
R1   |   32.691 |   32.727 |   32.695 |   33.107 |   32.698 |   33.165 |   28.086 |   28.328 |   28.015 |   33.067 |   33.081 |   33.128 ||   +0.11   +0.01   +1.27   +0.02   +1.45  -14.09  -13.34  -14.30   +1.15   +1.19   +1.34
R2   |   32.148 |   32.486 |   32.691 |   33.360 |   32.894 |   33.253 |   29.495 |   29.949 |   26.893 |   30.547 |   30.637 |   31.317 ||   +1.05   +1.69   +3.77   +2.32   +3.44   -8.25   -6.84  -16.35   -4.98   -4.70   -2.59
R3   |   31.328 |   31.305 |   31.321 |   31.296 |   31.521 |   31.337 |   29.102 |   29.435 |   27.039 |   29.837 |   29.828 |   30.223 ||   -0.07   -0.02   -0.10   +0.62   +0.03   -7.10   -6.04  -13.69   -4.76   -4.79   -3.53
R4   |   31.122 |   31.085 |   31.070 |   31.050 |   31.268 |   31.028 |   29.222 |   29.160 |   27.109 |   29.360 |   29.323 |   30.024 ||   -0.12   -0.17   -0.23   +0.47   -0.30   -6.10   -6.30  -12.89   -5.66   -5.78   -3.53
R6   |   30.814 |   30.752 |   30.804 |   30.712 |   30.930 |   30.680 |   29.554 |   29.465 |   27.232 |   28.611 |   28.650 |   29.075 ||   -0.20   -0.03   -0.33   +0.38   -0.43   -4.09   -4.38  -11.62   -7.15   -7.02   -5.64
=== process order2.1
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   33.039 |   28.702 |   28.834 |   29.357 |   27.101 |   26.722 |   27.760 |   28.652 |   32.987 |   33.059 |   33.207 |   33.058 ||  -13.13  -12.73  -11.15  -17.97  -19.12  -15.98  -13.28   -0.16   +0.06   +0.51   +0.06
B    |   70.522 |   67.575 |   67.705 |   67.919 |   67.378 |   66.823 |   66.631 |   67.140 |   70.251 |   70.478 |   70.778 |   70.285 ||   -4.18   -3.99   -3.69   -4.46   -5.25   -5.52   -4.80   -0.38   -0.06   +0.36   -0.34
C    |   46.748 |   44.661 |   44.112 |   44.418 |   44.918 |   44.312 |   43.834 |   44.372 |   46.894 |   46.796 |   46.766 |   46.794 ||   -4.47   -5.64   -4.98   -3.91   -5.21   -6.23   -5.08   +0.31   +0.10   +0.04   +0.10
D    |   28.084 |   14.538 |   14.537 |   14.545 |   14.523 |   14.521 |   14.606 |   14.506 |   28.239 |   28.411 |   28.088 |   28.201 ||  -48.23  -48.24  -48.21  -48.29  -48.29  -47.99  -48.35   +0.55   +1.16   +0.01   +0.42
E    |   30.350 |   18.390 |   18.465 |   18.532 |   18.629 |   18.779 |   17.715 |   18.384 |   30.224 |   30.456 |   30.465 |   30.359 ||  -39.41  -39.16  -38.94  -38.62  -38.13  -41.63  -39.43   -0.42   +0.35   +0.38   +0.03
