### AA-t4p8b : t4p8b t4p8b t4p8b t4p8b
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   22.739 |   22.819 |   22.741 |   22.748 ||   +0.35   +0.01   +0.04
B    |   59.658 |   59.006 |   59.234 |   59.398 ||   -1.09   -0.71   -0.44
C    |   36.640 |   36.257 |   36.596 |   36.278 ||   -1.05   -0.12   -0.99
D    |   12.876 |   12.877 |   12.899 |   12.877 ||   +0.01   +0.18   +0.01
E    |   14.880 |   14.889 |   14.864 |   14.865 ||   +0.06   -0.11   -0.10
F    |   21.246 |   21.138 |   21.019 |   21.320 ||   -0.51   -1.07   +0.35
R1   |   26.352 |   26.391 |   26.367 |   26.447 ||   +0.15   +0.06   +0.36
R2   |   25.441 |   25.480 |   25.441 |   25.477 ||   +0.15   +0.00   +0.14
R3   |   24.914 |   24.953 |   24.926 |   24.937 ||   +0.16   +0.05   +0.09
R4   |   24.607 |   24.623 |   24.634 |   24.614 ||   +0.06   +0.11   +0.03
R6   |   23.995 |   24.031 |   24.008 |   24.035 ||   +0.15   +0.05   +0.16
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   22.726 |   22.859 |   22.718 |   22.773 ||   +0.58   -0.04   +0.21
B    |   59.598 |   59.015 |   59.255 |   59.364 ||   -0.98   -0.58   -0.39
C    |   36.650 |   36.297 |   36.635 |   36.331 ||   -0.96   -0.04   -0.87
D    |   12.879 |   12.879 |   12.905 |   12.881 ||   -0.00   +0.20   +0.02
E    |   14.872 |   14.859 |   14.869 |   14.880 ||   -0.09   -0.02   +0.05
F    |   21.236 |   21.098 |   21.018 |   21.285 ||   -0.65   -1.03   +0.23
R1   |   26.368 |   26.386 |   26.374 |   26.436 ||   +0.07   +0.02   +0.26
R2   |   25.459 |   25.474 |   25.454 |   25.483 ||   +0.06   -0.02   +0.09
R3   |   24.927 |   24.945 |   24.935 |   24.944 ||   +0.07   +0.03   +0.07
R4   |   24.585 |   24.632 |   24.621 |   24.623 ||   +0.19   +0.15   +0.16
R6   |   24.001 |   24.021 |   24.010 |   24.038 ||   +0.08   +0.04   +0.15
### p-t4p8-t4p8b : t4p8 t4p8b t4p8 t4p8b
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   23.711 |   22.869 |   22.886 |   22.724 ||   -3.55   -3.48   -4.16
B    |   59.225 |   59.339 |   58.970 |   59.291 ||   +0.19   -0.43   +0.11
C    |   35.799 |   36.522 |   35.601 |   36.320 ||   +2.02   -0.55   +1.45
D    |   12.894 |   12.881 |   12.885 |   12.879 ||   -0.10   -0.07   -0.12
E    |   14.747 |   14.903 |   14.754 |   14.876 ||   +1.06   +0.05   +0.88
F    |   20.840 |   21.002 |   21.041 |   21.252 ||   +0.78   +0.97   +1.98
R1   |   26.138 |   26.381 |   26.127 |   26.416 ||   +0.93   -0.04   +1.06
R2   |   25.328 |   25.473 |   25.356 |   25.475 ||   +0.57   +0.11   +0.58
R3   |   24.841 |   24.960 |   24.878 |   24.943 ||   +0.48   +0.15   +0.41
R4   |   24.547 |   24.625 |   24.572 |   24.625 ||   +0.32   +0.10   +0.32
R6   |   23.976 |   24.018 |   24.033 |   24.018 ||   +0.18   +0.24   +0.18
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   22.984 |   22.907 |   22.840 |   22.749 ||   -0.33   -0.63   -1.02
B    |   59.244 |   59.361 |   58.931 |   59.299 ||   +0.20   -0.53   +0.09
C    |   35.794 |   36.525 |   35.604 |   36.340 ||   +2.04   -0.53   +1.52
D    |   12.905 |   12.889 |   12.887 |   12.866 ||   -0.13   -0.14   -0.30
E    |   14.759 |   14.872 |   14.756 |   14.874 ||   +0.77   -0.02   +0.78
F    |   20.895 |   21.009 |   21.034 |   21.276 ||   +0.54   +0.67   +1.82
R1   |   26.141 |   26.393 |   26.128 |   26.433 ||   +0.96   -0.05   +1.12
R2   |   25.315 |   25.473 |   25.344 |   25.499 ||   +0.62   +0.11   +0.72
R3   |   24.850 |   24.970 |   24.874 |   24.955 ||   +0.48   +0.10   +0.42
R4   |   24.555 |   24.618 |   24.579 |   24.620 ||   +0.26   +0.10   +0.26
R6   |   23.974 |   24.020 |   24.032 |   24.019 ||   +0.19   +0.24   +0.19
### p-t4p8b-t4p8 : t4p8b t4p8 t4p8b t4p8
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
A    |   22.750 |   23.877 |   22.820 |   22.881 ||   +4.96   +0.31   +0.58
B    |   59.626 |   59.171 |   58.960 |   59.217 ||   -0.76   -1.12   -0.69
C    |   36.597 |   35.813 |   36.361 |   35.730 ||   -2.14   -0.64   -2.37
D    |   12.873 |   12.885 |   12.881 |   12.902 ||   +0.09   +0.06   +0.22
E    |   14.904 |   14.764 |   14.856 |   14.740 ||   -0.94   -0.32   -1.10
F    |   21.200 |   20.989 |   21.014 |   20.826 ||   -0.99   -0.88   -1.76
R1   |   26.345 |   26.229 |   26.427 |   26.099 ||   -0.44   +0.31   -0.93
R2   |   25.480 |   25.412 |   25.478 |   25.269 ||   -0.27   -0.01   -0.83
R3   |   24.913 |   24.868 |   24.948 |   24.808 ||   -0.18   +0.14   -0.42
R4   |   24.598 |   24.624 |   24.617 |   24.491 ||   +0.10   +0.08   -0.44
R6   |   23.995 |   24.064 |   24.020 |   23.959 ||   +0.29   +0.10   -0.15
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
A    |   22.768 |   23.986 |   22.771 |   22.935 ||   +5.35   +0.02   +0.74
B    |   59.568 |   59.117 |   59.030 |   59.194 ||   -0.76   -0.90   -0.63
C    |   36.571 |   35.840 |   36.364 |   35.708 ||   -2.00   -0.57   -2.36
D    |   12.880 |   12.883 |   12.878 |   12.901 ||   +0.03   -0.01   +0.16
E    |   14.890 |   14.759 |   14.854 |   14.766 ||   -0.88   -0.25   -0.83
F    |   21.234 |   20.974 |   21.017 |   20.793 ||   -1.23   -1.02   -2.08
R1   |   26.325 |   26.198 |   26.431 |   26.096 ||   -0.48   +0.40   -0.87
R2   |   25.478 |   25.359 |   25.491 |   25.286 ||   -0.46   +0.05   -0.75
R3   |   24.887 |   24.908 |   24.938 |   24.795 ||   +0.09   +0.20   -0.37
R4   |   24.604 |   24.642 |   24.628 |   24.496 ||   +0.15   +0.10   -0.44
R6   |   24.005 |   24.094 |   24.019 |   23.959 ||   +0.37   +0.06   -0.19
