### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R2   |   29.301 |   29.277 |   29.288 |   29.289 ||   -0.08   -0.04   -0.04
R3   |   29.467 |   29.437 |   29.441 |   29.455 ||   -0.10   -0.09   -0.04
R4   |   29.584 |   29.533 |   29.547 |   29.554 ||   -0.17   -0.13   -0.10
R6   |   30.927 |   30.824 |   30.357 |   30.947 ||   -0.34   -1.84   +0.06
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   22.984 |   24.190 |   24.258 |   23.066 ||   +5.25   +5.54   +0.36
B    |   59.158 |   59.215 |   59.187 |   59.188 ||   +0.10   +0.05   +0.05
C    |   35.753 |   35.836 |   35.810 |   35.624 ||   +0.23   +0.16   -0.36
D    |   12.904 |   12.901 |   12.901 |   12.906 ||   -0.02   -0.03   +0.01
E    |   14.733 |   14.742 |   14.738 |   14.737 ||   +0.06   +0.04   +0.02
F    |   20.853 |   21.028 |   21.030 |   20.886 ||   +0.84   +0.85   +0.16
R1   |   26.126 |   26.124 |   26.151 |   26.152 ||   -0.01   +0.09   +0.10
R2   |   25.340 |   25.279 |   25.276 |   25.343 ||   -0.24   -0.25   +0.01
R3   |   24.834 |   24.806 |   24.831 |   24.844 ||   -0.11   -0.01   +0.04
R4   |   24.535 |   24.521 |   24.526 |   24.531 ||   -0.06   -0.04   -0.01
R6   |   23.960 |   23.958 |   23.962 |   23.971 ||   -0.01   +0.01   +0.05
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   23.339 |   23.943 |   24.267 |   23.085 ||   +2.59   +3.98   -1.09
B    |   59.211 |   59.168 |   59.240 |   59.184 ||   -0.07   +0.05   -0.05
C    |   35.786 |   35.854 |   35.755 |   35.632 ||   +0.19   -0.09   -0.43
