=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R6   |   26.169 |   26.113 |   26.104 |   26.133 |   30.857 |   30.844 |   29.735 |   26.127 |   26.101 |   23.962 |   26.114 |   26.451 ||   -0.21   -0.25   -0.14  +17.91  +17.86  +13.63   -0.16   -0.26   -8.44   -0.21   +1.08
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.477 |   28.364 |   28.707 |   29.712 |   25.981 |   26.129 |   24.531 |   25.301 |   24.384 |   24.348 |   23.962 |   22.856 ||   -0.40   +0.81   +4.34   -8.77   -8.25  -13.86  -11.15  -14.37  -14.50  -15.86  -19.74
B    |   61.981 |   61.856 |   62.000 |   61.939 |   60.055 |   60.493 |   59.342 |   59.270 |   58.926 |   59.265 |   58.639 |   58.958 ||   -0.20   +0.03   -0.07   -3.11   -2.40   -4.26   -4.37   -4.93   -4.38   -5.39   -4.88
C    |   37.920 |   38.146 |   37.993 |   38.177 |   36.832 |   36.884 |   35.998 |   36.286 |   35.968 |   35.740 |   35.780 |   36.920 ||   +0.60   +0.19   +0.68   -2.87   -2.73   -5.07   -4.31   -5.15   -5.75   -5.64   -2.64
D    |   23.958 |   23.990 |   23.928 |   24.009 |   12.975 |   12.945 |   12.931 |   12.936 |   12.927 |   12.898 |   12.898 |   12.944 ||   +0.14   -0.13   +0.21  -45.84  -45.97  -46.03  -46.00  -46.04  -46.16  -46.16  -45.97
E    |   25.902 |   25.726 |   25.769 |   25.726 |   17.127 |   17.206 |   15.427 |   17.117 |   15.468 |   14.749 |   14.843 |   15.434 ||   -0.68   -0.52   -0.68  -33.88  -33.57  -40.44  -33.92  -40.28  -43.06  -42.69  -40.41
F    |   27.130 |   27.120 |   27.091 |   27.120 |   26.650 |   26.801 |   25.292 |   23.352 |   22.902 |   21.109 |   22.307 |   23.284 ||   -0.04   -0.14   -0.04   -1.77   -1.21   -6.78  -13.93  -15.58  -22.19  -17.78  -14.18
R1   |   27.414 |   27.281 |   27.172 |   27.282 |   29.861 |   29.838 |   28.836 |   27.222 |   27.177 |   26.158 |   27.240 |   24.359 ||   -0.48   -0.88   -0.48   +8.93   +8.84   +5.19   -0.70   -0.86   -4.58   -0.64  -11.14
R2   |   26.939 |   26.802 |   26.750 |   26.810 |   30.513 |   30.477 |   29.273 |   26.726 |   26.720 |   25.318 |   26.793 |   25.260 ||   -0.51   -0.70   -0.48  +13.27  +13.13   +8.66   -0.79   -0.81   -6.02   -0.54   -6.23
