=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R2   |   26.898 |   29.314 |   26.835 |   26.871 |   25.304 |   26.739 |   25.263 |   30.479 |   26.775 |   26.799 |   26.796 |   30.503 ||   +8.98   -0.23   -0.10   -5.93   -0.59   -6.08  +13.31   -0.46   -0.37   -0.38  +13.40
R3   |   26.636 |   29.481 |   26.535 |   26.567 |   24.810 |   26.490 |   25.690 |   30.684 |   26.529 |   26.532 |   26.533 |   30.705 ||  +10.68   -0.38   -0.26   -6.86   -0.55   -3.55  +15.20   -0.40   -0.39   -0.39  +15.28
R4   |   26.439 |   29.606 |   26.394 |   26.411 |   24.524 |   26.323 |   25.967 |   30.793 |   26.357 |   26.389 |   26.380 |   30.827 ||  +11.98   -0.17   -0.11   -7.24   -0.44   -1.79  +16.47   -0.31   -0.19   -0.22  +16.60
R6   |   26.112 |   30.898 |   26.166 |   26.099 |   23.975 |   26.099 |   26.451 |   30.852 |   26.133 |   26.126 |   26.125 |   30.884 ||  +18.33   +0.21   -0.05   -8.18   -0.05   +1.30  +18.15   +0.08   +0.06   +0.05  +18.27
=== process order3.3
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.466 |   24.619 |   25.208 |   29.836 |   24.241 |   29.721 |   22.827 |   26.100 |   28.715 |   24.035 |   24.372 |   26.077 ||  -13.51  -11.45   +4.81  -14.84   +4.41  -19.81   -8.31   +0.87  -15.56  -14.38   -8.39
B    |   61.948 |   59.384 |   59.318 |   61.837 |   59.112 |   62.150 |   59.011 |   60.111 |   61.855 |   58.895 |   58.839 |   60.149 ||   -4.14   -4.25   -0.18   -4.58   +0.33   -4.74   -2.97   -0.15   -4.93   -5.02   -2.91
C    |   37.952 |   36.156 |   36.319 |   38.345 |   35.840 |   38.179 |   37.048 |   36.577 |   38.020 |   35.998 |   35.938 |   36.682 ||   -4.73   -4.30   +1.04   -5.56   +0.60   -2.38   -3.62   +0.18   -5.15   -5.31   -3.35
D    |   23.950 |   12.921 |   12.951 |   23.935 |   12.891 |   23.936 |   12.954 |   12.946 |   23.938 |   12.875 |   12.932 |   12.969 ||  -46.05  -45.92   -0.06  -46.18   -0.06  -45.91  -45.95   -0.05  -46.24  -46.01  -45.85
E    |   25.832 |   15.464 |   17.114 |   25.822 |   14.771 |   25.862 |   14.651 |   17.158 |   25.912 |   14.263 |   15.478 |   17.152 ||  -40.14  -33.75   -0.04  -42.82   +0.12  -43.28  -33.58   +0.31  -44.79  -40.08  -33.60
F    |   27.107 |   25.452 |   23.260 |   27.110 |   20.817 |   27.112 |   23.272 |   26.748 |   27.095 |   22.393 |   22.879 |   26.594 ||   -6.11  -14.19   +0.01  -23.20   +0.02  -14.14   -1.32   -0.04  -17.39  -15.60   -1.89
R1   |   27.426 |   28.838 |   27.306 |   27.305 |   26.126 |   27.189 |   24.356 |   29.846 |   27.225 |   27.285 |   27.222 |   29.876 ||   +5.15   -0.44   -0.44   -4.74   -0.86  -11.19   +8.82   -0.73   -0.51   -0.74   +8.93
R2   |   26.938 |   29.311 |   26.891 |   26.822 |   25.291 |   26.774 |   25.255 |   30.479 |   26.789 |   26.814 |   26.810 |   30.526 ||   +8.81   -0.17   -0.43   -6.12   -0.61   -6.25  +13.14   -0.55   -0.46   -0.48  +13.32
R3   |   26.592 |   29.468 |   26.560 |   26.534 |   24.815 |   26.494 |   25.695 |   30.683 |   26.547 |   26.562 |   26.520 |   30.708 ||  +10.81   -0.12   -0.22   -6.68   -0.37   -3.37  +15.38   -0.17   -0.11   -0.27  +15.48
R4   |   26.468 |   29.632 |   26.386 |   26.438 |   24.527 |   26.335 |   25.952 |   30.791 |   26.383 |   26.387 |   26.370 |   30.834 ||  +11.95   -0.31   -0.11   -7.33   -0.50   -1.95  +16.33   -0.32   -0.31   -0.37  +16.49
R6   |   26.125 |   30.899 |   26.156 |   26.153 |   23.973 |   26.092 |   26.450 |   30.842 |   26.118 |   26.144 |   26.119 |   30.892 ||  +18.27   +0.12   +0.10   -8.24   -0.13   +1.24  +18.05   -0.03   +0.07   -0.03  +18.24
