### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.394 |   28.350 |   28.314 |   28.306 ||   -0.16   -0.28   -0.31
B    |   61.927 |   61.859 |   61.988 |   61.776 ||   -0.11   +0.10   -0.25
C    |   37.853 |   37.942 |   37.793 |   37.964 ||   +0.23   -0.16   +0.30
D    |   23.916 |   23.943 |   23.910 |   23.893 ||   +0.11   -0.03   -0.10
E    |   25.826 |   25.778 |   25.825 |   25.765 ||   -0.19   -0.01   -0.24
F    |   27.114 |   27.149 |   27.134 |   27.095 ||   +0.13   +0.07   -0.07
R1   |   27.192 |   27.238 |   27.201 |   27.269 ||   +0.17   +0.03   +0.28
R2   |   26.788 |   26.747 |   26.819 |   26.772 ||   -0.15   +0.12   -0.06
R3   |   26.548 |   26.499 |   26.545 |   26.530 ||   -0.19   -0.01   -0.07
R4   |   26.383 |   26.307 |   26.373 |   26.366 ||   -0.29   -0.04   -0.06
R6   |   26.122 |   26.104 |   26.122 |   26.117 ||   -0.07   +0.00   -0.02
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.421 |   28.546 |   28.429 |   28.303 ||   +0.44   +0.03   -0.41
B    |   61.888 |   61.799 |   61.979 |   61.864 ||   -0.14   +0.15   -0.04
C    |   37.903 |   38.011 |   37.792 |   38.004 ||   +0.29   -0.29   +0.27
D    |   23.923 |   23.944 |   23.893 |   23.908 ||   +0.09   -0.12   -0.06
E    |   25.838 |   25.791 |   25.839 |   25.761 ||   -0.18   +0.01   -0.30
F    |   27.142 |   27.155 |   27.127 |   27.129 ||   +0.05   -0.06   -0.05
R1   |   27.199 |   27.214 |   27.206 |   27.254 ||   +0.06   +0.03   +0.20
R2   |   26.800 |   26.822 |   26.813 |   26.777 ||   +0.08   +0.05   -0.09
R3   |   26.544 |   26.508 |   26.554 |   26.518 ||   -0.14   +0.04   -0.10
R4   |   26.396 |   26.354 |   26.373 |   26.367 ||   -0.16   -0.09   -0.11
R6   |   26.106 |   26.114 |   26.113 |   26.115 ||   +0.03   +0.03   +0.03
### AA-m4s4 : m4s4 m4s4 m4s4 m4s4
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   26.041 |   26.087 |   26.028 |   26.070 ||   +0.18   -0.05   +0.11
B    |   60.141 |   59.871 |   60.223 |   60.121 ||   -0.45   +0.14   -0.03
C    |   36.313 |   36.514 |   36.426 |   36.423 ||   +0.55   +0.31   +0.30
D    |   12.972 |   12.939 |   12.972 |   12.936 ||   -0.25   -0.01   -0.28
