### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.564 |   22.539 |   22.544 |   22.520 ||   -0.11   -0.09   -0.19
B    |   51.697 |   51.729 |   51.754 |   51.718 ||   +0.06   +0.11   +0.04
C    |   31.408 |   31.539 |   31.463 |   31.438 ||   +0.42   +0.17   +0.10
D    |   19.958 |   19.958 |   19.955 |   19.955 ||   +0.00   -0.02   -0.01
E    |   21.001 |   20.988 |   20.977 |   21.044 ||   -0.06   -0.12   +0.21
F    |   21.965 |   21.934 |   21.962 |   21.974 ||   -0.14   -0.02   +0.04
R1   |   22.025 |   22.034 |   22.037 |   22.020 ||   +0.04   +0.05   -0.02
R2   |   21.821 |   21.818 |   21.834 |   21.824 ||   -0.01   +0.06   +0.02
R3   |   21.733 |   21.722 |   21.727 |   21.732 ||   -0.05   -0.03   -0.00
R4   |   21.673 |   21.673 |   21.670 |   21.672 ||   +0.00   -0.01   -0.01
R6   |   21.604 |   21.600 |   21.598 |   21.601 ||   -0.02   -0.03   -0.01
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.564 |   22.541 |   22.510 |   22.511 ||   -0.10   -0.24   -0.23
B    |   51.682 |   51.703 |   51.748 |   51.693 ||   +0.04   +0.13   +0.02
C    |   31.474 |   31.527 |   31.441 |   31.515 ||   +0.17   -0.10   +0.13
D    |   19.958 |   19.965 |   19.964 |   19.963 ||   +0.03   +0.03   +0.03
E    |   21.005 |   21.005 |   21.000 |   21.057 ||   +0.00   -0.02   +0.25
F    |   21.967 |   21.961 |   21.977 |   21.970 ||   -0.03   +0.05   +0.01
R1   |   22.034 |   22.024 |   22.029 |   22.016 ||   -0.05   -0.02   -0.08
R2   |   21.829 |   21.819 |   21.838 |   21.825 ||   -0.05   +0.04   -0.02
R3   |   21.728 |   21.724 |   21.731 |   21.722 ||   -0.02   +0.01   -0.03
R4   |   21.678 |   21.655 |   21.675 |   21.678 ||   -0.11   -0.02   -0.00
R6   |   21.603 |   21.602 |   21.604 |   21.596 ||   -0.00   +0.01   -0.03
### AA-m4s4 : m4s4 m4s4 m4s4 m4s4
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   20.324 |   20.422 |   20.368 |   20.402 ||   +0.48   +0.22   +0.38
B    |   50.126 |   50.156 |   50.150 |   50.210 ||   +0.06   +0.05   +0.17
C    |   30.021 |   30.132 |   29.958 |   30.074 ||   +0.37   -0.21   +0.18
D    |   10.986 |   10.988 |   10.988 |   10.988 ||   +0.02   +0.02   +0.02
E    |   13.422 |   13.460 |   13.387 |   13.458 ||   +0.28   -0.26   +0.27
F    |   21.391 |   21.458 |   21.434 |   21.445 ||   +0.31   +0.20   +0.25
R1   |   24.540 |   24.551 |   24.531 |   24.566 ||   +0.05   -0.03   +0.11
R2   |   24.964 |   24.943 |   24.920 |   24.977 ||   -0.08   -0.17   +0.05
R3   |   24.993 |   24.995 |   24.975 |   24.995 ||   +0.01   -0.07   +0.01
R4   |   25.004 |   25.007 |   25.006 |   25.013 ||   +0.01   +0.01   +0.04
R6   |   24.995 |   24.979 |   24.979 |   24.994 ||   -0.07   -0.06   -0.01
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   20.352 |   20.371 |   20.299 |   20.384 ||   +0.09   -0.26   +0.16
B    |   50.125 |   50.183 |   50.156 |   50.185 ||   +0.12   +0.06   +0.12
C    |   30.048 |   30.096 |   29.867 |   30.058 ||   +0.16   -0.60   +0.03
D    |   10.987 |   10.988 |   10.988 |   10.988 ||   +0.01   +0.02   +0.01
E    |   13.413 |   13.472 |   13.387 |   13.457 ||   +0.44   -0.20   +0.33
F    |   21.383 |   21.461 |   21.423 |   21.459 ||   +0.36   +0.19   +0.35
R1   |   24.563 |   24.551 |   24.535 |   24.578 ||   -0.05   -0.11   +0.06
R2   |   24.961 |   24.948 |   24.938 |   24.970 ||   -0.05   -0.09   +0.03
R3   |   24.977 |   24.992 |   24.981 |   24.998 ||   +0.06   +0.02   +0.08
R4   |   25.010 |   25.009 |   25.009 |   25.012 ||   -0.01   -0.01   +0.01
R6   |   24.994 |   24.979 |   24.986 |   24.991 ||   -0.06   -0.03   -0.01
### AA-m4s4h : m4s4h m4s4h m4s4h m4s4h
mix  |  m4s4h_0 |  m4s4h_1 |  m4s4h_2 |  m4s4h_3 || m4s4h_1% m4s4h_2% m4s4h_3%
A    |   19.855 |   19.868 |   19.855 |   19.835 ||   +0.07   -0.00   -0.10
B    |   49.774 |   49.698 |   49.723 |   49.721 ||   -0.15   -0.10   -0.11
C    |   29.738 |   29.856 |   29.621 |   29.764 ||   +0.40   -0.39   +0.09
D    |   10.965 |   10.963 |   10.964 |   10.965 ||   -0.02   -0.01   +0.00
E    |   12.630 |   12.644 |   12.606 |   12.632 ||   +0.11   -0.19   +0.02
F    |   20.672 |   20.638 |   20.620 |   20.689 ||   -0.17   -0.25   +0.08
R1   |   23.818 |   23.796 |   23.814 |   23.830 ||   -0.09   -0.02   +0.05
R2   |   24.054 |   24.036 |   24.055 |   24.060 ||   -0.07   +0.00   +0.02
R3   |   24.105 |   24.096 |   24.115 |   24.094 ||   -0.04   +0.04   -0.05
R4   |   24.142 |   24.143 |   24.144 |   24.149 ||   +0.01   +0.01   +0.03
R6   |   24.209 |   24.196 |   24.196 |   24.212 ||   -0.05   -0.05   +0.01
mix  |  m4s4h_0 |  m4s4h_1 |  m4s4h_2 |  m4s4h_3 || m4s4h_1% m4s4h_2% m4s4h_3%
A    |   19.817 |   19.812 |   19.796 |   19.857 ||   -0.02   -0.10   +0.21
B    |   49.762 |   49.727 |   49.715 |   49.721 ||   -0.07   -0.10   -0.08
C    |   29.734 |   29.882 |   29.620 |   29.712 ||   +0.50   -0.38   -0.07
D    |   10.965 |   10.965 |   10.965 |   10.966 ||   -0.00   +0.00   +0.01
E    |   12.608 |   12.639 |   12.599 |   12.619 ||   +0.25   -0.07   +0.09
F    |   20.687 |   20.637 |   20.618 |   20.670 ||   -0.24   -0.33   -0.08
R1   |   23.821 |   23.806 |   23.803 |   23.844 ||   -0.06   -0.08   +0.10
R2   |   24.055 |   24.031 |   24.046 |   24.051 ||   -0.10   -0.04   -0.02
R3   |   24.107 |   24.101 |   24.110 |   24.103 ||   -0.03   +0.01   -0.02
R4   |   24.143 |   24.139 |   24.142 |   24.151 ||   -0.02   -0.00   +0.03
R6   |   24.196 |   24.199 |   24.198 |   24.209 ||   +0.02   +0.01   +0.05
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   19.058 |   19.164 |   19.189 |   19.051 ||   +0.56   +0.69   -0.04
B    |   49.123 |   49.217 |   49.160 |   49.080 ||   +0.19   +0.07   -0.09
C    |   29.246 |   29.473 |   29.124 |   29.276 ||   +0.78   -0.42   +0.10
D    |   10.925 |   10.921 |   10.925 |   10.923 ||   -0.03   -0.00   -0.02
E    |   11.935 |   12.076 |   12.062 |   12.061 ||   +1.18   +1.06   +1.06
F    |   17.813 |   17.976 |   17.990 |   17.871 ||   +0.91   +0.99   +0.32
R1   |   22.222 |   22.253 |   22.239 |   22.235 ||   +0.14   +0.08   +0.06
R2   |   21.643 |   21.656 |   21.651 |   21.633 ||   +0.06   +0.04   -0.05
R3   |   21.208 |   21.205 |   21.203 |   21.181 ||   -0.01   -0.02   -0.13
R4   |   20.961 |   20.956 |   20.969 |   20.962 ||   -0.02   +0.04   +0.01
R6   |   20.513 |   20.510 |   20.497 |   20.512 ||   -0.01   -0.08   -0.01
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   18.996 |   19.188 |   19.199 |   19.041 ||   +1.01   +1.07   +0.24
B    |   49.125 |   49.204 |   49.176 |   49.088 ||   +0.16   +0.10   -0.08
C    |   29.245 |   29.452 |   29.161 |   29.275 ||   +0.71   -0.29   +0.10
D    |   10.920 |   10.924 |   10.919 |   10.924 ||   +0.03   -0.01   +0.03
E    |   11.933 |   12.086 |   12.039 |   12.071 ||   +1.29   +0.89   +1.16
F    |   17.835 |   17.987 |   17.974 |   17.846 ||   +0.85   +0.78   +0.07
R1   |   22.241 |   22.240 |   22.223 |   22.245 ||   -0.00   -0.08   +0.02
R2   |   21.645 |   21.658 |   21.640 |   21.626 ||   +0.06   -0.02   -0.09
R3   |   21.202 |   21.202 |   21.204 |   21.188 ||   -0.00   +0.01   -0.06
R4   |   20.964 |   20.965 |   20.964 |   20.952 ||   +0.01   +0.00   -0.06
R6   |   20.508 |   20.508 |   20.508 |   20.512 ||   +0.00   +0.00   +0.02
### AA-s4h : s4h s4h s4h s4h
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   19.558 |   19.593 |   19.560 |   19.655 ||   +0.18   +0.01   +0.50
B    |   49.616 |   49.607 |   49.605 |   49.641 ||   -0.02   -0.02   +0.05
C    |   29.659 |   29.678 |   29.589 |   29.807 ||   +0.06   -0.24   +0.50
D    |   10.967 |   10.966 |   10.967 |   10.965 ||   -0.01   +0.00   -0.01
E    |   12.706 |   12.721 |   12.722 |   12.703 ||   +0.12   +0.12   -0.03
F    |   19.206 |   19.230 |   19.211 |   19.203 ||   +0.12   +0.03   -0.02
R1   |   22.108 |   22.123 |   22.120 |   22.114 ||   +0.07   +0.05   +0.03
R2   |   21.911 |   21.900 |   21.909 |   21.904 ||   -0.05   -0.01   -0.03
R3   |   21.782 |   21.797 |   21.787 |   21.789 ||   +0.07   +0.02   +0.03
R4   |   21.720 |   21.724 |   21.720 |   21.731 ||   +0.02   -0.00   +0.05
R6   |   21.626 |   21.622 |   21.636 |   21.629 ||   -0.02   +0.04   +0.01
mix  |    s4h_0 |    s4h_1 |    s4h_2 |    s4h_3 ||   s4h_1%   s4h_2%   s4h_3%
A    |   19.558 |   19.568 |   19.599 |   19.651 ||   +0.05   +0.21   +0.47
B    |   49.625 |   49.630 |   49.615 |   49.639 ||   +0.01   -0.02   +0.03
C    |   29.617 |   29.659 |   29.668 |   29.798 ||   +0.14   +0.17   +0.61
D    |   10.967 |   10.966 |   10.966 |   10.966 ||   -0.01   -0.01   -0.01
E    |   12.747 |   12.727 |   12.723 |   12.730 ||   -0.16   -0.19   -0.13
F    |   19.206 |   19.211 |   19.204 |   19.194 ||   +0.03   -0.01   -0.06
R1   |   22.110 |   22.124 |   22.116 |   22.104 ||   +0.06   +0.02   -0.03
R2   |   21.909 |   21.906 |   21.904 |   21.910 ||   -0.01   -0.02   +0.01
R3   |   21.788 |   21.792 |   21.777 |   21.777 ||   +0.02   -0.05   -0.05
R4   |   21.721 |   21.726 |   21.724 |   21.723 ||   +0.02   +0.01   +0.01
R6   |   21.628 |   21.621 |   21.635 |   21.631 ||   -0.03   +0.03   +0.02
### p-t4p8-m4s4h : t4p8 m4s4h t4p8 m4s4h
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   19.067 |   19.832 |   19.153 |   19.880 ||   +4.01   +0.45   +4.27
B    |   49.080 |   49.685 |   49.133 |   49.714 ||   +1.23   +0.11   +1.29
C    |   29.281 |   29.838 |   29.210 |   29.827 ||   +1.90   -0.24   +1.86
D    |   10.925 |   10.966 |   10.919 |   10.962 ||   +0.38   -0.06   +0.34
E    |   12.037 |   12.610 |   12.024 |   12.625 ||   +4.76   -0.10   +4.88
F    |   17.850 |   20.625 |   17.960 |   20.668 ||  +15.55   +0.62  +15.79
R1   |   22.228 |   23.802 |   22.221 |   23.817 ||   +7.08   -0.03   +7.15
R2   |   21.632 |   24.054 |   21.647 |   24.056 ||  +11.20   +0.07  +11.20
R3   |   21.204 |   24.104 |   21.177 |   24.112 ||  +13.68   -0.13  +13.71
R4   |   20.973 |   24.137 |   20.944 |   24.146 ||  +15.09   -0.14  +15.13
R6   |   20.504 |   24.209 |   20.510 |   24.210 ||  +18.07   +0.03  +18.07
mix  |   t4p8_0 |  m4s4h_1 |   t4p8_2 |  m4s4h_3 || m4s4h_1%  t4p8_2% m4s4h_3%
A    |   19.092 |   19.812 |   19.197 |   19.886 ||   +3.77   +0.55   +4.16
B    |   49.079 |   49.680 |   49.119 |   49.705 ||   +1.22   +0.08   +1.28
C    |   29.232 |   29.844 |   29.211 |   29.805 ||   +2.09   -0.07   +1.96
D    |   10.922 |   10.965 |   10.917 |   10.965 ||   +0.39   -0.04   +0.40
E    |   12.038 |   12.598 |   12.022 |   12.602 ||   +4.65   -0.13   +4.69
F    |   17.853 |   20.628 |   17.937 |   20.685 ||  +15.54   +0.47  +15.86
R1   |   22.236 |   23.810 |   22.206 |   23.818 ||   +7.08   -0.14   +7.12
R2   |   21.637 |   24.050 |   21.637 |   24.056 ||  +11.15   -0.00  +11.18
R3   |   21.199 |   24.098 |   21.192 |   24.109 ||  +13.68   -0.04  +13.73
R4   |   20.975 |   24.139 |   20.950 |   24.141 ||  +15.08   -0.12  +15.09
R6   |   20.513 |   24.206 |   20.506 |   24.200 ||  +18.00   -0.04  +17.97
### p-m4s4h-t4p8 : m4s4h t4p8 m4s4h t4p8
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   19.806 |   19.149 |   19.846 |   19.075 ||   -3.32   +0.20   -3.69
B    |   49.765 |   49.146 |   49.750 |   49.095 ||   -1.24   -0.03   -1.35
C    |   29.803 |   29.495 |   29.670 |   29.301 ||   -1.03   -0.45   -1.68
D    |   10.965 |   10.919 |   10.964 |   10.920 ||   -0.42   -0.01   -0.41
E    |   12.630 |   12.059 |   12.617 |   11.994 ||   -4.52   -0.11   -5.04
F    |   20.703 |   17.993 |   20.619 |   17.820 ||  -13.09   -0.41  -13.92
R1   |   23.791 |   22.250 |   23.796 |   22.233 ||   -6.48   +0.02   -6.55
R2   |   24.040 |   21.626 |   24.051 |   21.658 ||  -10.04   +0.05   -9.91
R3   |   24.103 |   21.193 |   24.086 |   21.216 ||  -12.07   -0.07  -11.98
R4   |   24.133 |   20.984 |   24.130 |   20.961 ||  -13.05   -0.01  -13.14
R6   |   24.198 |   20.522 |   24.199 |   20.507 ||  -15.19   +0.01  -15.25
mix  |  m4s4h_0 |   t4p8_1 |  m4s4h_2 |   t4p8_3 ||  t4p8_1% m4s4h_2%  t4p8_3%
A    |   19.792 |   19.177 |   19.834 |   19.059 ||   -3.11   +0.21   -3.70
B    |   49.779 |   49.171 |   49.741 |   49.080 ||   -1.22   -0.08   -1.40
C    |   29.751 |   29.503 |   29.662 |   29.321 ||   -0.83   -0.30   -1.45
D    |   10.965 |   10.917 |   10.965 |   10.917 ||   -0.44   -0.00   -0.44
E    |   12.609 |   12.046 |   12.615 |   11.993 ||   -4.47   +0.04   -4.89
F    |   20.689 |   17.975 |   20.615 |   17.821 ||  -13.12   -0.36  -13.86
R1   |   23.794 |   22.255 |   23.802 |   22.226 ||   -6.46   +0.03   -6.59
R2   |   24.039 |   21.643 |   24.057 |   21.653 ||   -9.97   +0.08   -9.93
R3   |   24.104 |   21.187 |   24.099 |   21.205 ||  -12.10   -0.02  -12.02
R4   |   24.125 |   20.977 |   24.145 |   20.956 ||  -13.05   +0.09  -13.14
R6   |   24.192 |   20.525 |   24.197 |   20.515 ||  -15.16   +0.02  -15.20
### p-t4p8-m4s4 : t4p8 m4s4 t4p8 m4s4
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   19.100 |   20.323 |   19.145 |   20.350 ||   +6.41   +0.23   +6.55
B    |   49.093 |   50.127 |   49.135 |   50.157 ||   +2.10   +0.09   +2.17
C    |   29.271 |   30.144 |   29.107 |   30.057 ||   +2.98   -0.56   +2.68
D    |   10.924 |   10.987 |   10.917 |   10.989 ||   +0.58   -0.06   +0.60
E    |   12.056 |   13.385 |   12.001 |   13.469 ||  +11.03   -0.46  +11.72
F    |   17.866 |   21.393 |   17.937 |   21.436 ||  +19.74   +0.40  +19.98
R1   |   22.245 |   24.516 |   22.232 |   24.556 ||  +10.21   -0.06  +10.39
R2   |   21.658 |   24.937 |   21.642 |   24.937 ||  +15.14   -0.07  +15.14
R3   |   21.203 |   24.984 |   21.188 |   24.995 ||  +17.84   -0.07  +17.88
R4   |   20.967 |   25.009 |   20.962 |   25.003 ||  +19.28   -0.02  +19.25
R6   |   20.509 |   24.988 |   20.523 |   24.991 ||  +21.84   +0.07  +21.85
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   19.126 |   20.393 |   19.137 |   20.368 ||   +6.62   +0.05   +6.49
B    |   49.097 |   50.141 |   49.156 |   50.192 ||   +2.13   +0.12   +2.23
C    |   29.223 |   30.096 |   29.108 |   30.046 ||   +2.98   -0.40   +2.82
D    |   10.923 |   10.987 |   10.919 |   10.990 ||   +0.58   -0.04   +0.61
E    |   12.063 |   13.400 |   11.978 |   13.454 ||  +11.09   -0.70  +11.54
F    |   17.874 |   21.397 |   17.973 |   21.444 ||  +19.71   +0.55  +19.97
R1   |   22.250 |   24.525 |   22.235 |   24.552 ||  +10.23   -0.07  +10.35
R2   |   21.662 |   24.944 |   21.639 |   24.957 ||  +15.15   -0.11  +15.21
R3   |   21.204 |   24.984 |   21.199 |   24.992 ||  +17.83   -0.02  +17.87
R4   |   20.960 |   25.004 |   20.953 |   25.004 ||  +19.30   -0.03  +19.30
R6   |   20.509 |   24.982 |   20.526 |   24.992 ||  +21.81   +0.08  +21.86
### p-m4s4-t4p8 : m4s4 t4p8 m4s4 t4p8
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   20.282 |   19.134 |   20.384 |   19.015 ||   -5.66   +0.50   -6.25
B    |   50.128 |   49.109 |   50.214 |   49.139 ||   -2.03   +0.17   -1.97
C    |   30.010 |   29.400 |   29.878 |   29.273 ||   -2.03   -0.44   -2.45
D    |   10.984 |   10.919 |   10.989 |   10.922 ||   -0.59   +0.04   -0.56
E    |   13.406 |   12.054 |   13.472 |   11.974 ||  -10.09   +0.49  -10.69
F    |   21.379 |   17.952 |   21.486 |   17.849 ||  -16.03   +0.50  -16.51
R1   |   24.546 |   22.232 |   24.566 |   22.256 ||   -9.43   +0.08   -9.33
R2   |   24.937 |   21.659 |   24.974 |   21.661 ||  -13.15   +0.15  -13.14
R3   |   24.988 |   21.211 |   24.998 |   21.235 ||  -15.12   +0.04  -15.02
R4   |   24.995 |   20.978 |   25.013 |   20.977 ||  -16.07   +0.07  -16.08
R6   |   24.974 |   20.515 |   24.990 |   20.525 ||  -17.85   +0.07  -17.81
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   20.278 |   19.113 |   20.410 |   19.072 ||   -5.74   +0.65   -5.95
B    |   50.145 |   49.105 |   50.213 |   49.128 ||   -2.07   +0.14   -2.03
C    |   29.968 |   29.412 |   29.892 |   29.301 ||   -1.86   -0.25   -2.22
D    |   10.983 |   10.921 |   10.988 |   10.920 ||   -0.56   +0.04   -0.57
E    |   13.412 |   12.045 |   13.464 |   11.961 ||  -10.19   +0.39  -10.82
F    |   21.386 |   17.964 |   21.471 |   17.851 ||  -16.00   +0.40  -16.53
R1   |   24.545 |   22.233 |   24.563 |   22.256 ||   -9.42   +0.08   -9.32
R2   |   24.942 |   21.664 |   24.966 |   21.660 ||  -13.14   +0.10  -13.16
R3   |   24.978 |   21.211 |   24.999 |   21.208 ||  -15.08   +0.09  -15.09
R4   |   24.994 |   20.970 |   25.015 |   20.990 ||  -16.10   +0.08  -16.02
R6   |   24.969 |   20.515 |   24.993 |   20.527 ||  -17.84   +0.09  -17.79
### p-m4s4-m4s4h : m4s4 m4s4h m4s4 m4s4h
mix  |   m4s4_0 |  m4s4h_1 |   m4s4_2 |  m4s4h_3 || m4s4h_1%  m4s4_2% m4s4h_3%
A    |   20.318 |   19.963 |   20.402 |   19.883 ||   -1.74   +0.42   -2.14
B    |   50.151 |   49.785 |   50.199 |   49.644 ||   -0.73   +0.10   -1.01
C    |   29.946 |   29.805 |   29.891 |   29.729 ||   -0.47   -0.18   -0.72
