=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
=== process order3.3
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   22.559 |   19.959 |   19.957 |   22.620 |   19.120 |   22.590 |   18.159 |   20.540 |   22.615 |   19.128 |   19.648 |   20.405 ||  -11.53  -11.54   +0.27  -15.25   +0.14  -19.50   -8.95   +0.25  -15.21  -12.90   -9.55
B    |   51.799 |   49.837 |   49.889 |   51.821 |   49.083 |   51.810 |   48.839 |   50.309 |   51.811 |   49.242 |   49.621 |   50.214 ||   -3.79   -3.69   +0.04   -5.24   +0.02   -5.71   -2.88   +0.02   -4.94   -4.20   -3.06
C    |   31.797 |   29.789 |   30.200 |   32.105 |   29.372 |   31.699 |   30.339 |   30.095 |   31.797 |   29.706 |   29.873 |   30.256 ||   -6.31   -5.02   +0.97   -7.63   -0.31   -4.58   -5.35   -0.00   -6.58   -6.05   -4.85
D    |   19.968 |   10.964 |   10.985 |   19.961 |   10.922 |   20.021 |   11.060 |   10.985 |   20.025 |   10.919 |   10.965 |   10.986 ||  -45.09  -44.99   -0.04  -45.30   +0.26  -44.61  -44.99   +0.29  -45.32  -45.09  -44.99
E    |   21.013 |   12.724 |   13.394 |   21.029 |   12.049 |   21.055 |   12.369 |   13.462 |   21.032 |   12.048 |   12.720 |   13.409 ||  -39.45  -36.26   +0.08  -42.66   +0.20  -41.14  -35.94   +0.09  -42.66  -39.47  -36.19
F    |   21.958 |   20.763 |   19.325 |   22.006 |   17.842 |   22.022 |   19.414 |   21.510 |   22.021 |   18.847 |   19.249 |   21.447 ||   -5.44  -11.99   +0.22  -18.75   +0.29  -11.59   -2.04   +0.28  -14.17  -12.34   -2.33
R1   |   22.062 |   23.795 |   22.083 |   22.029 |   22.254 |   22.117 |   19.956 |   24.558 |   22.116 |   22.104 |   22.136 |   24.583 ||   +7.86   +0.10   -0.15   +0.87   +0.25   -9.54  +11.32   +0.25   +0.19   +0.34  +11.43
R2   |   21.841 |   24.024 |   21.864 |   21.821 |   21.647 |   21.908 |   20.781 |   24.959 |   21.901 |   21.866 |   21.911 |   24.966 ||   +9.99   +0.10   -0.09   -0.89   +0.31   -4.86  +14.27   +0.27   +0.11   +0.32  +14.31
R3   |   21.743 |   24.077 |   21.768 |   21.731 |   21.217 |   21.781 |   21.157 |   24.990 |   21.796 |   21.764 |   21.787 |   24.994 ||  +10.73   +0.12   -0.06   -2.42   +0.17   -2.70  +14.93   +0.24   +0.10   +0.20  +14.95
R4   |   21.683 |   24.121 |   21.709 |   21.678 |   20.970 |   21.727 |   21.376 |   25.009 |   21.726 |   21.711 |   21.730 |   25.017 ||  +11.24   +0.12   -0.03   -3.29   +0.20   -1.42  +15.34   +0.20   +0.13   +0.21  +15.37
R6   |   21.612 |   24.180 |   21.625 |   21.604 |   20.514 |   21.635 |   21.759 |   24.995 |   21.634 |   21.625 |   21.630 |   24.999 ||  +11.88   +0.06   -0.04   -5.08   +0.11   +0.68  +15.65   +0.10   +0.06   +0.08  +15.67
