=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.598 |   28.617 |   29.837 |   28.508 |   26.002 |   26.147 |   24.547 |   25.296 |   24.383 |   24.325 |   23.968 |   22.882 ||   +0.07   +4.34   -0.31   -9.08   -8.57  -14.16  -11.55  -14.74  -14.94  -16.19  -19.98
B    |   61.930 |   61.909 |   61.998 |   61.871 |   60.094 |   60.524 |   59.381 |   59.294 |   58.850 |   59.293 |   58.686 |   58.935 ||   -0.03   +0.11   -0.10   -2.97   -2.27   -4.12   -4.26   -4.97   -4.26   -5.24   -4.84
C    |   37.992 |   38.139 |   37.982 |   38.190 |   36.779 |   36.823 |   35.950 |   36.165 |   35.926 |   35.728 |   35.785 |   36.862 ||   +0.39   -0.03   +0.52   -3.19   -3.08   -5.38   -4.81   -5.44   -5.96   -5.81   -2.97
D    |   23.938 |   23.986 |   23.910 |   23.998 |   12.980 |   12.943 |   12.931 |   12.944 |   12.930 |   12.904 |   12.900 |   12.957 ||   +0.20   -0.12   +0.25  -45.78  -45.93  -45.98  -45.93  -45.99  -46.09  -46.11  -45.87
E    |   25.810 |   25.724 |   25.732 |   25.750 |   17.143 |   17.210 |   15.446 |   17.134 |   15.458 |   14.746 |   14.800 |   15.432 ||   -0.34   -0.30   -0.23  -33.58  -33.32  -40.16  -33.62  -40.11  -42.87  -42.66  -40.21
F    |   27.105 |   27.101 |   27.088 |   27.102 |   26.653 |   26.845 |   25.298 |   23.333 |   22.891 |   21.020 |   22.297 |   23.285 ||   -0.02   -0.06   -0.01   -1.67   -0.96   -6.67  -13.92  -15.55  -22.45  -17.74  -14.09
R1   |   27.440 |   27.259 |   27.183 |   27.209 |   29.872 |   29.809 |   28.834 |   27.222 |   27.165 |   26.151 |   27.200 |   24.341 ||   -0.66   -0.94   -0.84   +8.86   +8.63   +5.08   -0.80   -1.00   -4.70   -0.88  -11.29
R2   |   26.954 |   26.797 |   26.753 |   26.729 |   30.486 |   30.457 |   29.280 |   26.754 |   26.718 |   25.319 |   26.712 |   25.265 ||   -0.58   -0.74   -0.83  +13.10  +13.00   +8.63   -0.74   -0.87   -6.06   -0.90   -6.26
R3   |   26.608 |   26.527 |   26.486 |   26.405 |   30.701 |   30.673 |   29.440 |   26.493 |   26.454 |   24.832 |   26.478 |   25.688 ||   -0.30   -0.46   -0.76  +15.39  +15.28  +10.64   -0.43   -0.58   -6.67   -0.49   -3.46
R4   |   26.446 |   26.344 |   26.324 |   26.289 |   30.792 |   30.787 |   29.544 |   26.372 |   26.335 |   24.546 |   26.333 |   25.971 ||   -0.39   -0.46   -0.59  +16.43  +16.41  +11.71   -0.28   -0.42   -7.18   -0.43   -1.80
