=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
C    |   47.006 |   46.775 |   46.961 |   47.041 |   45.481 |   45.717 |   45.005 |   45.315 |   45.094 |   44.469 |   44.423 |   45.160 ||   -0.49   -0.10   +0.07   -3.24   -2.74   -4.26   -3.60   -4.07   -5.40   -5.49   -3.93
D    |   28.243 |   28.279 |   28.497 |   28.415 |   15.335 |   15.220 |   15.133 |   15.310 |   15.175 |   14.581 |   14.504 |   14.736 ||   +0.12   +0.90   +0.61  -45.71  -46.11  -46.42  -45.79  -46.27  -48.37  -48.65  -47.83
E    |   30.359 |   30.421 |   30.415 |   30.255 |   21.736 |   21.798 |   20.632 |   21.768 |   20.948 |   18.572 |   18.201 |   18.609 ||   +0.21   +0.18   -0.34  -28.40  -28.20  -32.04  -28.30  -31.00  -38.83  -40.05  -38.70
F    |   32.543 |   32.449 |   32.570 |   32.808 |   34.565 |   35.019 |   32.612 |   29.227 |   28.779 |   27.559 |   27.747 |   28.541 ||   -0.29   +0.08   +0.81   +6.21   +7.61   +0.21  -10.19  -11.57  -15.32  -14.74  -12.30
R1   |   32.743 |   32.722 |   32.774 |   33.194 |   37.290 |   37.040 |   35.645 |   32.683 |   32.805 |   33.150 |   32.756 |   30.893 ||   -0.06   +0.10   +1.38  +13.89  +13.12   +8.86   -0.18   +0.19   +1.24   +0.04   -5.65
R2   |   32.799 |   32.307 |   32.937 |   33.340 |   38.198 |   38.019 |   36.248 |   32.770 |   32.697 |   31.162 |   32.835 |   31.355 ||   -1.50   +0.42   +1.65  +16.46  +15.92  +10.51   -0.09   -0.31   -4.99   +0.11   -4.40
R3   |   32.942 |   32.448 |   32.916 |   33.502 |   38.365 |   38.203 |   36.356 |   32.841 |   32.855 |   30.224 |   31.505 |   31.700 ||   -1.50   -0.08   +1.70  +16.46  +15.97  +10.36   -0.31   -0.26   -8.25   -4.36   -3.77
R4   |   33.133 |   32.284 |   31.364 |   31.048 |   38.441 |   38.298 |   36.495 |   31.767 |   31.411 |   29.768 |   31.241 |   31.963 ||   -2.56   -5.34   -6.29  +16.02  +15.59  +10.15   -4.12   -5.20  -10.15   -5.71   -3.53
R6   |   30.763 |   30.798 |   30.929 |   30.710 |   38.476 |   38.365 |   36.458 |   30.922 |   30.933 |   28.866 |   30.891 |   31.351 ||   +0.11   +0.54   -0.17  +25.07  +24.71  +18.51   +0.52   +0.55   -6.17   +0.41   +1.91
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   33.034 |   33.104 |   33.333 |   32.995 |   31.726 |   31.915 |   30.972 |   30.615 |   30.098 |   29.345 |   28.701 |   28.351 ||   +0.21   +0.90   -0.12   -3.96   -3.39   -6.24   -7.32   -8.89  -11.17  -13.12  -14.18
B    |   70.488 |   70.872 |   70.591 |   70.324 |   69.526 |   69.995 |   68.996 |   68.550 |   68.138 |   68.033 |   66.986 |   68.321 ||   +0.54   +0.15   -0.23   -1.37   -0.70   -2.12   -2.75   -3.33   -3.48   -4.97   -3.07
C    |   46.993 |   46.910 |   47.143 |   46.991 |   45.446 |   45.689 |   45.132 |   45.249 |   45.012 |   44.445 |   44.366 |   45.088 ||   -0.18   +0.32   -0.01   -3.29   -2.78   -3.96   -3.71   -4.22   -5.42   -5.59   -4.05
D    |   28.237 |   28.245 |   28.513 |   28.457 |   15.356 |   15.206 |   15.128 |   15.258 |   15.152 |   14.573 |   14.515 |   14.740 ||   +0.03   +0.98   +0.78  -45.62  -46.15  -46.42  -45.96  -46.34  -48.39  -48.60  -47.80
E    |   30.348 |   30.426 |   30.432 |   30.295 |   21.742 |   21.840 |   20.823 |   21.768 |   21.008 |   18.568 |   18.310 |   18.609 ||   +0.26   +0.28   -0.17  -28.36  -28.04  -31.39  -28.27  -30.78  -38.81  -39.67  -38.68
F    |   32.559 |   32.428 |   32.496 |   32.781 |   34.529 |   34.920 |   32.633 |   29.253 |   28.799 |   27.585 |   27.623 |   28.438 ||   -0.40   -0.20   +0.68   +6.05   +7.25   +0.23  -10.16  -11.55  -15.28  -15.16  -12.66
R1   |   32.709 |   32.718 |   32.784 |   33.177 |   37.231 |   36.993 |   35.634 |   32.783 |   32.785 |   33.169 |   32.763 |   30.914 ||   +0.03   +0.23   +1.43  +13.83  +13.10   +8.94   +0.22   +0.23   +1.41   +0.16   -5.49
R2   |   32.534 |   32.745 |   32.908 |   33.339 |   38.213 |   38.033 |   36.286 |   32.530 |   32.811 |   31.692 |   32.819 |   31.348 ||   +0.65   +1.15   +2.47  +17.46  +16.90  +11.53   -0.01   +0.85   -2.59   +0.88   -3.64
R3   |   32.912 |   32.425 |   33.018 |   33.537 |   38.352 |   38.208 |   36.441 |   32.561 |   32.757 |   30.237 |   31.520 |   31.707 ||   -1.48   +0.32   +1.90  +16.53  +16.09  +10.72   -1.07   -0.47   -8.13   -4.23   -3.66
R4   |   31.289 |   32.471 |   31.385 |   31.044 |   38.451 |   38.300 |   36.416 |   31.310 |   31.497 |   29.785 |   31.246 |   31.842 ||   +3.78   +0.31   -0.79  +22.89  +22.41  +16.38   +0.07   +0.66   -4.81   -0.14   +1.76
R6   |   30.816 |   30.811 |   30.923 |   30.714 |   38.480 |   38.351 |   36.491 |   30.890 |   30.942 |   28.937 |   30.936 |   31.355 ||   -0.02   +0.35   -0.33  +24.87  +24.45  +18.42   +0.24   +0.41   -6.10   +0.39   +1.75
=== process order2.1
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   33.133 |   28.423 |   28.810 |   29.341 |   30.113 |   30.656 |   30.836 |   31.740 |   31.861 |   33.126 |   32.995 |   33.091 ||  -14.22  -13.05  -11.44   -9.11   -7.48   -6.93   -4.20   -3.84   -0.02   -0.41   -0.13
B    |   70.519 |   68.245 |   67.184 |   67.999 |   68.221 |   68.630 |   68.848 |   69.510 |   69.543 |   70.281 |   70.260 |   70.512 ||   -3.22   -4.73   -3.57   -3.26   -2.68   -2.37   -1.43   -1.38   -0.34   -0.37   -0.01
C    |   46.871 |   45.110 |   44.221 |   44.370 |   44.910 |   45.262 |   44.958 |   45.335 |   45.423 |   46.848 |   46.866 |   46.838 ||   -3.76   -5.65   -5.34   -4.18   -3.43   -4.08   -3.28   -3.09   -0.05   -0.01   -0.07
D    |   28.153 |   14.739 |   14.555 |   14.550 |   15.138 |   15.246 |   15.133 |   15.336 |   15.261 |   28.308 |   28.316 |   28.160 ||  -47.65  -48.30  -48.32  -46.23  -45.84  -46.25  -45.52  -45.79   +0.55   +0.58   +0.02
E    |   30.311 |   18.608 |   18.165 |   18.540 |   20.904 |   21.805 |   20.613 |   21.870 |   21.754 |   30.342 |   30.208 |   30.350 ||  -38.61  -40.07  -38.83  -31.03  -28.06  -31.99  -27.85  -28.23   +0.10   -0.34   +0.13
F    |   32.421 |   28.496 |   27.798 |   27.505 |   28.782 |   29.096 |   32.530 |   34.750 |   34.958 |   32.469 |   32.649 |   32.414 ||  -12.11  -14.26  -15.16  -11.23  -10.26   +0.33   +7.18   +7.82   +0.15   +0.70   -0.02
R1   |   32.576 |   30.898 |   32.857 |   33.072 |   32.650 |   32.638 |   35.649 |   37.270 |   37.112 |   32.706 |   32.795 |   32.573 ||   -5.15   +0.86   +1.52   +0.23   +0.19   +9.43  +14.41  +13.93   +0.40   +0.67   -0.01
R2   |   32.290 |   31.340 |   32.964 |   31.543 |   32.539 |   32.485 |   36.344 |   38.319 |   38.031 |   32.554 |   32.951 |   32.464 ||   -2.94   +2.09   -2.31   +0.77   +0.60  +12.55  +18.67  +17.78   +0.82   +2.04   +0.54
R3   |   32.630 |   31.639 |   33.125 |   30.200 |   31.511 |   31.534 |   36.409 |   38.425 |   38.208 |   32.402 |   32.907 |   32.344 ||   -3.04   +1.52   -7.45   -3.43   -3.36  +11.58  +17.76  +17.10   -0.70   +0.85   -0.88
R4   |   31.328 |   31.961 |   31.065 |   29.817 |   31.281 |   31.287 |   36.451 |   38.513 |   38.308 |   32.647 |   32.992 |   31.670 ||   +2.02   -0.84   -4.82   -0.15   -0.13  +16.35  +22.94  +22.28   +4.21   +5.31   +1.09
R6   |   30.825 |   31.324 |   30.685 |   28.916 |   30.926 |   30.908 |   36.468 |   38.486 |   38.363 |   30.976 |   30.712 |   30.806 ||   +1.62   -0.45   -6.19   +0.33   +0.27  +18.30  +24.85  +24.45   +0.49   -0.37   -0.06
=== process order2.2
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   33.040 |   28.338 |   28.830 |   29.398 |   30.069 |   30.646 |   30.902 |   31.770 |   31.907 |   33.077 |   33.063 |   33.070 ||  -14.23  -12.74  -11.02   -8.99   -7.24   -6.47   -3.84   -3.43   +0.11   +0.07   +0.09
B    |   70.487 |   68.480 |   67.022 |   67.967 |   68.070 |   68.571 |   68.878 |   69.538 |   69.535 |   70.368 |   70.363 |   70.581 ||   -2.85   -4.92   -3.57   -3.43   -2.72   -2.28   -1.35   -1.35   -0.17   -0.17   +0.13
C    |   46.897 |   45.128 |   44.286 |   44.385 |   45.016 |   45.330 |   45.017 |   45.470 |   45.548 |   46.907 |   47.021 |   47.055 ||   -3.77   -5.57   -5.36   -4.01   -3.34   -4.01   -3.04   -2.88   +0.02   +0.26   +0.34
D    |   28.149 |   14.729 |   14.545 |   14.583 |   15.173 |   15.235 |   15.162 |   15.358 |   15.235 |   28.392 |   28.417 |   28.258 ||  -47.68  -48.33  -48.19  -46.10  -45.88  -46.14  -45.44  -45.88   +0.86   +0.95   +0.39
E    |   30.377 |   18.597 |   18.145 |   18.543 |   20.803 |   21.742 |   20.590 |   21.907 |   21.714 |   30.360 |   30.233 |   30.365 ||  -38.78  -40.27  -38.96  -31.52  -28.43  -32.22  -27.88  -28.52   -0.06   -0.47   -0.04
F    |   32.510 |   28.482 |   27.817 |   27.582 |   28.812 |   29.214 |   32.554 |   34.763 |   34.957 |   32.540 |   32.768 |   32.497 ||  -12.39  -14.43  -15.16  -11.38  -10.14   +0.14   +6.93   +7.53   +0.09   +0.79   -0.04
R1   |   32.687 |   30.806 |   33.123 |   33.090 |   32.780 |   32.776 |   35.697 |   37.330 |   37.146 |   32.814 |   32.884 |   32.738 ||   -5.75   +1.33   +1.23   +0.29   +0.27   +9.21  +14.20  +13.64   +0.39   +0.60   +0.16
R2   |   32.797 |   31.377 |   33.396 |   31.423 |   32.176 |   32.786 |   36.306 |   38.338 |   38.044 |   32.895 |   32.893 |   32.731 ||   -4.33   +1.83   -4.19   -1.90   -0.03  +10.70  +16.90  +16.00   +0.30   +0.29   -0.20
R3   |   31.507 |   31.730 |   33.530 |   30.183 |   31.450 |   31.537 |   36.423 |   38.434 |   38.218 |   32.973 |   31.775 |   31.365 ||   +0.71   +6.42   -4.20   -0.18   +0.10  +15.60  +21.99  +21.30   +4.65   +0.85   -0.45
R4   |   31.132 |   31.985 |   31.047 |   29.769 |   31.241 |   31.234 |   36.452 |   38.499 |   38.318 |   31.339 |   31.112 |   31.132 ||   +2.74   -0.27   -4.38   +0.35   +0.33  +17.09  +23.66  +23.08   +0.67   -0.07   +0.00
R6   |   30.762 |   31.354 |   30.677 |   28.914 |   30.931 |   30.820 |   36.432 |   38.482 |   38.354 |   30.953 |   30.717 |   30.760 ||   +1.93   -0.28   -6.01   +0.55   +0.19  +18.43  +25.10  +24.68   +0.62   -0.15   -0.01
=== process order2.3
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   33.073 |   28.367 |   28.745 |   29.453 |   30.056 |   30.669 |   30.830 |   31.728 |   31.943 |   33.092 |   32.995 |   33.069 ||  -14.23  -13.09  -10.95   -9.12   -7.27   -6.78   -4.07   -3.42   +0.06   -0.24   -0.01
B    |   70.534 |   68.506 |   67.235 |   67.919 |   68.031 |   68.643 |   68.852 |   69.656 |   69.463 |   70.333 |   70.315 |   70.564 ||   -2.88   -4.68   -3.71   -3.55   -2.68   -2.38   -1.24   -1.52   -0.28   -0.31   +0.04
C    |   46.654 |   45.161 |   44.276 |   44.403 |   45.024 |   45.356 |   45.064 |   45.515 |   45.524 |   46.844 |   47.152 |   46.968 ||   -3.20   -5.10   -4.82   -3.49   -2.78   -3.41   -2.44   -2.42   +0.41   +1.07   +0.67
D    |   28.238 |   14.739 |   14.551 |   14.575 |   15.133 |   15.263 |   15.100 |   15.384 |   15.267 |   28.405 |   28.425 |   28.275 ||  -47.81  -48.47  -48.38  -46.41  -45.95  -46.53  -45.52  -45.93   +0.59   +0.66   +0.13
E    |   30.380 |   18.643 |   18.138 |   18.492 |   20.901 |   21.778 |   20.624 |   21.891 |   21.768 |   30.364 |   30.252 |   30.370 ||  -38.63  -40.30  -39.13  -31.20  -28.31  -32.11  -27.94  -28.35   -0.05   -0.42   -0.03
F    |   32.543 |   28.507 |   27.848 |   27.571 |   28.824 |   29.247 |   32.552 |   34.705 |   34.984 |   32.587 |   32.767 |   32.454 ||  -12.40  -14.43  -15.28  -11.43  -10.13   +0.03   +6.64   +7.50   +0.14   +0.69   -0.27
R1   |   32.695 |   30.806 |   33.078 |   33.122 |   32.780 |   32.755 |   35.575 |   37.380 |   37.180 |   32.847 |   32.931 |   32.751 ||   -5.78   +1.17   +1.31   +0.26   +0.18   +8.81  +14.33  +13.72   +0.47   +0.72   +0.17
R2   |   32.814 |   31.368 |   33.283 |   31.687 |   32.754 |   32.760 |   36.257 |   38.263 |   38.034 |   32.814 |   33.365 |   32.601 ||   -4.41   +1.43   -3.44   -0.18   -0.17  +10.49  +16.60  +15.91   +0.00   +1.68   -0.65
R3   |   32.880 |   31.797 |   33.497 |   30.086 |   31.524 |   31.539 |   36.347 |   38.453 |   38.203 |   32.938 |   31.798 |   32.715 ||   -3.29   +1.88   -8.50   -4.12   -4.08  +10.54  +16.95  +16.19   +0.18   -3.29   -0.50
R4   |   31.102 |   31.958 |   31.044 |   29.549 |   31.252 |   31.218 |   36.407 |   38.497 |   38.319 |   31.281 |   31.064 |   31.140 ||   +2.75   -0.19   -4.99   +0.48   +0.37  +17.06  +23.78  +23.20   +0.57   -0.12   +0.12
R6   |   30.809 |   31.245 |   30.690 |   28.909 |   30.922 |   30.779 |   36.460 |   38.488 |   38.347 |   30.936 |   30.711 |   30.753 ||   +1.42   -0.38   -6.17   +0.37   -0.10  +18.34  +24.93  +24.47   +0.41   -0.32   -0.18
=== process order3.1
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   32.960 |   31.060 |   30.513 |   33.068 |   29.334 |   33.142 |   28.344 |   31.965 |   33.099 |   28.782 |   30.161 |   31.994 ||   -5.76   -7.42   +0.33  -11.00   +0.55  -14.00   -3.02   +0.42  -12.68   -8.49   -2.93
B    |   70.687 |   69.093 |   68.346 |   70.746 |   67.961 |   70.578 |   68.049 |   69.769 |   70.394 |   67.078 |   68.110 |   69.894 ||   -2.26   -3.31   +0.08   -3.86   -0.15   -3.73   -1.30   -0.41   -5.11   -3.65   -1.12
C    |   46.861 |   45.135 |   45.067 |   46.803 |   44.323 |   46.934 |   45.277 |   45.493 |   46.818 |   44.317 |   44.961 |   45.346 ||   -3.68   -3.83   -0.13   -5.42   +0.16   -3.38   -2.92   -0.09   -5.43   -4.06   -3.23
D    |   28.163 |   15.148 |   15.256 |   28.116 |   14.544 |   28.419 |   14.728 |   15.194 |   28.394 |   14.549 |   15.128 |   15.392 ||  -46.21  -45.83   -0.17  -48.36   +0.91  -47.70  -46.05   +0.82  -48.34  -46.28  -45.35
E    |   30.382 |   20.919 |   21.482 |   30.460 |   18.727 |   30.465 |   18.586 |   21.794 |   30.401 |   18.186 |   20.836 |   21.892 ||  -31.14  -29.29   +0.26  -38.36   +0.27  -38.82  -28.27   +0.06  -40.14  -31.42  -27.94
F    |   32.471 |   32.942 |   29.033 |   32.406 |   27.506 |   32.456 |   28.562 |   34.964 |   32.500 |   27.726 |   28.778 |   34.742 ||   +1.45  -10.59   -0.20  -15.29   -0.05  -12.04   +7.68   +0.09  -14.61  -11.37   +6.99
R1   |   32.605 |   35.408 |   33.017 |   32.668 |   32.921 |   32.662 |   30.840 |   37.081 |   32.696 |   32.953 |   32.617 |   37.360 ||   +8.60   +1.26   +0.19   +0.97   +0.18   -5.41  +13.73   +0.28   +1.07   +0.04  +14.59
R2   |   32.578 |   36.164 |   33.157 |   32.535 |   30.877 |   32.698 |   31.344 |   38.007 |   32.652 |   33.061 |   32.537 |   38.269 ||  +11.01   +1.78   -0.13   -5.22   +0.37   -3.79  +16.67   +0.23   +1.48   -0.12  +17.47
R3   |   32.644 |   36.294 |   33.200 |   31.997 |   30.153 |   31.412 |   31.686 |   38.197 |   32.760 |   33.217 |   32.130 |   38.454 ||  +11.18   +1.70   -1.98   -7.63   -3.77   -2.94  +17.01   +0.36   +1.76   -1.58  +17.80
R4   |   32.662 |   36.353 |   31.570 |   31.335 |   29.780 |   31.168 |   31.906 |   38.312 |   31.952 |   31.402 |   31.317 |   38.507 ||  +11.30   -3.34   -4.06   -8.82   -4.57   -2.31  +17.30   -2.17   -3.86   -4.12  +17.90
R6   |   30.928 |   36.432 |   30.689 |   30.810 |   28.636 |   30.893 |   31.349 |   38.342 |   30.921 |   30.697 |   30.917 |   38.505 ||  +17.80   -0.77   -0.38   -7.41   -0.11   +1.36  +23.97   -0.02   -0.75   -0.04  +24.50
=== process order3.2
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   33.008 |   31.152 |   30.523 |   33.089 |   29.125 |   33.289 |   28.371 |   31.923 |   33.169 |   28.837 |   30.083 |   31.966 ||   -5.62   -7.53   +0.25  -11.76   +0.85  -14.05   -3.29   +0.49  -12.64   -8.86   -3.16
B    |   70.659 |   69.105 |   68.359 |   70.611 |   67.855 |   70.600 |   68.010 |   69.726 |   70.296 |   67.091 |   68.040 |   69.732 ||   -2.20   -3.26   -0.07   -3.97   -0.08   -3.75   -1.32   -0.51   -5.05   -3.71   -1.31
C    |   46.977 |   45.227 |   45.151 |   46.931 |   44.348 |   47.063 |   45.307 |   45.469 |   46.921 |   44.134 |   44.980 |   45.412 ||   -3.73   -3.89   -0.10   -5.60   +0.18   -3.55   -3.21   -0.12   -6.05   -4.25   -3.33
D    |   28.230 |   15.170 |   15.256 |   28.259 |   14.544 |   28.435 |   14.736 |   15.221 |   28.480 |   14.560 |   15.141 |   15.380 ||  -46.26  -45.96   +0.10  -48.48   +0.73  -47.80  -46.08   +0.89  -48.42  -46.36  -45.52
E    |   30.347 |   20.832 |   21.489 |   30.476 |   18.723 |   30.438 |   18.601 |   21.757 |   30.338 |   18.188 |   20.863 |   21.897 ||  -31.35  -29.19   +0.43  -38.30   +0.30  -38.71  -28.31   -0.03  -40.06  -31.25  -27.84
F    |   32.535 |   32.978 |   29.104 |   32.439 |   27.592 |   32.566 |   28.585 |   34.957 |   32.492 |   27.774 |   28.824 |   34.715 ||   +1.36  -10.55   -0.29  -15.19   +0.09  -12.14   +7.44   -0.13  -14.63  -11.41   +6.70
R1   |   32.759 |   35.451 |   33.134 |   32.793 |   32.957 |   32.812 |   30.839 |   37.031 |   32.751 |   33.137 |   32.801 |   37.353 ||   +8.22   +1.15   +0.10   +0.60   +0.16   -5.86  +13.04   -0.02   +1.15   +0.13  +14.03
R2   |   32.851 |   36.154 |   33.312 |   32.636 |   30.577 |   32.849 |   31.390 |   38.001 |   32.881 |   33.270 |   32.772 |   38.296 ||  +10.05   +1.40   -0.66   -6.92   -0.01   -4.45  +15.68   +0.09   +1.28   -0.24  +16.57
R3   |   32.953 |   36.280 |   33.490 |   32.491 |   29.912 |   31.364 |   31.710 |   38.198 |   33.036 |   31.302 |   32.801 |   38.415 ||  +10.09   +1.63   -1.40   -9.23   -4.82   -3.77  +15.92   +0.25   -5.01   -0.46  +16.57
R4   |   32.990 |   36.351 |   31.037 |   31.150 |   29.391 |   31.193 |   31.895 |   38.314 |   32.112 |   31.125 |   31.254 |   38.502 ||  +10.19   -5.92   -5.58  -10.91   -5.45   -3.32  +16.14   -2.66   -5.65   -5.26  +16.71
R6   |   30.907 |   36.417 |   30.682 |   30.812 |   28.704 |   30.877 |   31.347 |   38.338 |   30.931 |   30.687 |   30.885 |   38.494 ||  +17.83   -0.73   -0.31   -7.13   -0.10   +1.42  +24.04   +0.08   -0.71   -0.07  +24.55
=== process order3.3
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   32.943 |   31.069 |   30.543 |   33.031 |   29.291 |   33.404 |   28.231 |   31.948 |   33.153 |   28.832 |   30.109 |   31.918 ||   -5.69   -7.28   +0.27  -11.08   +1.40  -14.30   -3.02   +0.64  -12.48   -8.60   -3.11
B    |   70.586 |   69.276 |   68.315 |   70.636 |   67.761 |   70.524 |   68.012 |   69.677 |   70.419 |   67.170 |   68.024 |   69.964 ||   -1.85   -3.22   +0.07   -4.00   -0.09   -3.65   -1.29   -0.24   -4.84   -3.63   -0.88
C    |   46.958 |   45.223 |   45.181 |   46.906 |   44.261 |   47.061 |   45.235 |   45.497 |   46.912 |   44.257 |   45.042 |   45.428 ||   -3.70   -3.78   -0.11   -5.74   +0.22   -3.67   -3.11   -0.10   -5.75   -4.08   -3.26
D    |   28.203 |   15.175 |   15.260 |   28.246 |   14.540 |   28.393 |   14.746 |   15.215 |   28.496 |   14.554 |   15.114 |   15.410 ||  -46.19  -45.89   +0.15  -48.44   +0.68  -47.71  -46.05   +1.04  -48.39  -46.41  -45.36
E    |   30.336 |   20.812 |   21.510 |   30.419 |   18.698 |   30.443 |   18.603 |   21.712 |   30.356 |   18.165 |   20.926 |   21.856 ||  -31.39  -29.10   +0.27  -38.37   +0.35  -38.68  -28.43   +0.06  -40.12  -31.02  -27.95
F    |   32.501 |   33.050 |   29.129 |   32.426 |   27.493 |   32.432 |   28.525 |   34.918 |   32.522 |   27.770 |   28.790 |   34.694 ||   +1.69  -10.37   -0.23  -15.41   -0.21  -12.23   +7.44   +0.06  -14.56  -11.42   +6.75
