=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   33.102 |   33.168 |   33.320 |   33.058 |   31.787 |   31.917 |   30.943 |   30.543 |   30.032 |   29.415 |   28.704 |   28.299 ||   +0.20   +0.66   -0.13   -3.97   -3.58   -6.52   -7.73   -9.27  -11.14  -13.28  -14.51
B    |   70.374 |   70.695 |   70.492 |   70.264 |   69.593 |   69.654 |   69.034 |   68.552 |   68.161 |   67.983 |   66.993 |   68.342 ||   +0.46   +0.17   -0.16   -1.11   -1.02   -1.90   -2.59   -3.15   -3.40   -4.80   -2.89
C    |   46.997 |   46.912 |   47.141 |   46.979 |   45.399 |   45.673 |   45.078 |   45.353 |   45.004 |   44.373 |   44.414 |   45.140 ||   -0.18   +0.31   -0.04   -3.40   -2.82   -4.08   -3.50   -4.24   -5.58   -5.50   -3.95
D    |   28.198 |   28.231 |   28.458 |   28.374 |   15.334 |   15.231 |   15.144 |   15.256 |   15.118 |   14.583 |   14.525 |   14.738 ||   +0.12   +0.92   +0.62  -45.62  -45.98  -46.29  -45.90  -46.38  -48.28  -48.49  -47.73
E    |   30.325 |   30.462 |   30.378 |   30.253 |   21.735 |   21.823 |   20.579 |   21.779 |   21.030 |   18.507 |   18.288 |   18.554 ||   +0.45   +0.18   -0.24  -28.33  -28.03  -32.14  -28.18  -30.65  -38.97  -39.69  -38.82
F    |   32.507 |   32.405 |   32.495 |   32.705 |   34.584 |   34.965 |   32.581 |   29.218 |   28.715 |   27.571 |   27.713 |   28.516 ||   -0.31   -0.04   +0.61   +6.39   +7.56   +0.23  -10.12  -11.67  -15.19  -14.75  -12.28
R1   |   32.690 |   32.740 |   32.770 |   33.153 |   37.243 |   37.040 |   35.657 |   32.769 |   32.759 |   33.035 |   32.767 |   30.897 ||   +0.15   +0.25   +1.42  +13.93  +13.31   +9.08   +0.24   +0.21   +1.06   +0.24   -5.48
R2   |   32.749 |   32.390 |   32.871 |   33.336 |   38.200 |   38.032 |   36.261 |   32.755 |   32.696 |   31.153 |   32.694 |   31.294 ||   -1.10   +0.37   +1.79  +16.64  +16.13  +10.72   +0.02   -0.16   -4.88   -0.17   -4.44
R3   |   32.852 |   32.293 |   32.947 |   33.441 |   38.365 |   38.214 |   36.361 |   32.786 |   32.793 |   30.244 |   31.530 |   31.626 ||   -1.70   +0.29   +1.79  +16.78  +16.32  +10.68   -0.20   -0.18   -7.94   -4.02   -3.73
R4   |   32.125 |   32.122 |   32.882 |   31.050 |   38.458 |   38.323 |   36.413 |   32.033 |   31.260 |   29.839 |   31.279 |   31.784 ||   -0.01   +2.36   -3.35  +19.72  +19.30  +13.35   -0.29   -2.69   -7.12   -2.63   -1.06
R6   |   30.767 |   30.804 |   30.937 |   30.707 |   38.456 |   38.362 |   36.426 |   30.940 |   30.849 |   28.852 |   30.901 |   31.355 ||   +0.12   +0.55   -0.20  +24.99  +24.68  +18.39   +0.56   +0.26   -6.22   +0.44   +1.91
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   33.007 |   33.081 |   33.317 |   33.056 |   31.876 |   31.836 |   30.840 |   30.578 |   30.056 |   29.330 |   28.705 |   28.343 ||   +0.22   +0.94   +0.15   -3.43   -3.55   -6.57   -7.36   -8.94  -11.14  -13.03  -14.13
B    |   70.581 |   70.729 |   70.662 |   70.256 |   69.557 |   69.937 |   68.911 |   68.673 |   68.043 |   68.076 |   67.002 |   68.305 ||   +0.21   +0.11   -0.46   -1.45   -0.91   -2.37   -2.70   -3.60   -3.55   -5.07   -3.22
