### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R2   |   36.381 |   36.253 |   36.276 |   36.430 ||   -0.35   -0.29   +0.13
R3   |   36.367 |   36.443 |   36.366 |   36.439 ||   +0.21   -0.00   +0.20
R4   |   36.474 |   36.393 |   36.418 |   36.481 ||   -0.22   -0.15   +0.02
R6   |   36.464 |   36.460 |   36.443 |   36.477 ||   -0.01   -0.06   +0.03
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   28.983 |   28.811 |   29.204 |   29.433 ||   -0.60   +0.76   +1.55
B    |   67.646 |   67.549 |   67.839 |   67.773 ||   -0.14   +0.29   +0.19
C    |   44.289 |   44.256 |   44.326 |   44.353 ||   -0.07   +0.08   +0.14
D    |   14.574 |   14.535 |   14.533 |   14.550 ||   -0.27   -0.29   -0.16
E    |   18.490 |   18.523 |   18.500 |   18.493 ||   +0.18   +0.05   +0.02
F    |   27.554 |   27.206 |   27.588 |   27.593 ||   -1.27   +0.12   +0.14
R1   |   33.091 |   33.186 |   33.126 |   33.062 ||   +0.29   +0.11   -0.09
R2   |   30.543 |   30.604 |   31.130 |   31.066 ||   +0.20   +1.92   +1.71
R3   |   29.806 |   29.797 |   30.158 |   29.995 ||   -0.03   +1.18   +0.63
R4   |   29.376 |   29.397 |   29.806 |   29.632 ||   +0.07   +1.46   +0.87
R6   |   28.571 |   28.586 |   28.870 |   28.835 ||   +0.05   +1.05   +0.93
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   28.966 |   28.748 |   29.230 |   29.395 ||   -0.75   +0.91   +1.48
B    |   67.597 |   67.588 |   68.006 |   67.662 ||   -0.01   +0.60   +0.10
C    |   44.294 |   44.208 |   44.235 |   44.204 ||   -0.19   -0.13   -0.20
D    |   14.557 |   14.532 |   14.516 |   14.539 ||   -0.17   -0.28   -0.12
E    |   18.483 |   18.508 |   18.502 |   18.458 ||   +0.14   +0.11   -0.13
F    |   27.505 |   27.490 |   27.541 |   27.570 ||   -0.05   +0.13   +0.24
R1   |   33.046 |   33.034 |   33.146 |   32.958 ||   -0.04   +0.31   -0.27
R2   |   30.557 |   30.541 |   31.171 |   30.912 ||   -0.05   +2.01   +1.16
R3   |   29.827 |   29.813 |   30.161 |   29.953 ||   -0.05   +1.12   +0.42
R4   |   29.368 |   29.389 |   29.618 |   29.526 ||   +0.07   +0.85   +0.54
R6   |   28.584 |   28.624 |   28.881 |   28.799 ||   +0.14   +1.04   +0.75
