GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 1 2.5918 2.5919
RES 1 64 ca0.s0 28.9115
RES 1 64 ca8.s1 28.9229
RES 1 64 ca16.s2 28.8753
RES 1 64 ca24.s3 28.9131
RES 1 64 ca32.s4 28.9435
RES 1 64 ca40.s5 28.8789
RES 1 64 ca48.s6 28.9014
RES 1 64 ca56.s7 28.9261
RES 1 256 ca0.s0 52.7013
RES 1 256 ca8.s1 52.5028
RES 1 256 ca16.s2 52.5413
RES 1 256 ca24.s3 52.3550
RES 1 256 ca32.s4 52.7006
RES 1 256 ca40.s5 52.3955
RES 1 256 ca48.s6 52.5804
RES 1 256 ca56.s7 52.4642
RES 1 512 ca0.s0 95.7251
RES 1 512 ca8.s1 95.0918
RES 1 512 ca16.s2 95.7446
RES 1 512 ca24.s3 95.2708
RES 1 512 ca32.s4 95.9416
RES 1 512 ca40.s5 95.2399
RES 1 512 ca48.s6 95.5658
RES 1 512 ca56.s7 95.3041
RES 1 1024 ca0.s0 181.3024
RES 1 1024 ca8.s1 180.6152
RES 1 1024 ca16.s2 181.0010
RES 1 1024 ca24.s3 180.6088
RES 1 1024 ca32.s4 181.6224
RES 1 1024 ca40.s5 180.1530
RES 1 1024 ca48.s6 181.5705
RES 1 1024 ca56.s7 180.1097
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 2 2.5918 2.5920
RES 2 64 ca0.s0 28.9133
RES 2 64 ca8.s1 28.8917
RES 2 64 ca16.s2 28.9520
RES 2 64 ca24.s3 28.9152
RES 2 64 ca32.s4 28.9265
RES 2 64 ca40.s5 28.8737
RES 2 64 ca48.s6 28.8999
RES 2 64 ca56.s7 28.9376
RES 2 256 ca0.s0 52.6280
RES 2 256 ca8.s1 52.4101
RES 2 256 ca16.s2 52.6432
RES 2 256 ca24.s3 52.4501
RES 2 256 ca32.s4 52.6512
RES 2 256 ca40.s5 52.4051
RES 2 256 ca48.s6 52.1453
RES 2 256 ca56.s7 52.4375
RES 2 512 ca0.s0 95.7023
RES 2 512 ca8.s1 94.5428
RES 2 512 ca16.s2 95.7536
RES 2 512 ca24.s3 95.1422
RES 2 512 ca32.s4 95.7866
RES 2 512 ca40.s5 95.1122
RES 2 512 ca48.s6 95.7547
RES 2 512 ca56.s7 95.1950
RES 2 1024 ca0.s0 181.4558
RES 2 1024 ca8.s1 180.8864
RES 2 1024 ca16.s2 181.6687
RES 2 1024 ca24.s3 180.5511
RES 2 1024 ca32.s4 181.7232
RES 2 1024 ca40.s5 180.0040
RES 2 1024 ca48.s6 181.1176
RES 2 1024 ca56.s7 180.3743
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 3 2.5917 2.5918
RES 3 64 ca0.s0 28.9270
RES 3 64 ca8.s1 28.9305
RES 3 64 ca16.s2 28.9182
RES 3 64 ca24.s3 28.9326
RES 3 64 ca32.s4 28.9417
RES 3 64 ca40.s5 28.8900
RES 3 64 ca48.s6 28.8977
RES 3 64 ca56.s7 28.8971
RES 3 256 ca0.s0 52.6188
RES 3 256 ca8.s1 52.3877
RES 3 256 ca16.s2 52.5387
RES 3 256 ca24.s3 52.3469
RES 3 256 ca32.s4 52.6582
RES 3 256 ca40.s5 52.3247
RES 3 256 ca48.s6 52.5777
RES 3 256 ca56.s7 52.3897
RES 3 512 ca0.s0 95.6172
RES 3 512 ca8.s1 95.2022
RES 3 512 ca16.s2 95.7516
RES 3 512 ca24.s3 95.2904
RES 3 512 ca32.s4 95.8950
RES 3 512 ca40.s5 95.2322
RES 3 512 ca48.s6 95.6581
RES 3 512 ca56.s7 95.2989
RES 3 1024 ca0.s0 181.2772
RES 3 1024 ca8.s1 180.6945
RES 3 1024 ca16.s2 181.7555
RES 3 1024 ca24.s3 180.3581
RES 3 1024 ca32.s4 181.5893
RES 3 1024 ca40.s5 179.8369
RES 3 1024 ca48.s6 180.9991
RES 3 1024 ca56.s7 180.0560
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 4 2.5918 2.5919
RES 4 64 ca0.s0 28.9240
RES 4 64 ca8.s1 28.9218
RES 4 64 ca16.s2 28.9490
RES 4 64 ca24.s3 28.9119
RES 4 64 ca32.s4 28.9170
RES 4 64 ca40.s5 28.8959
RES 4 64 ca48.s6 28.8970
RES 4 64 ca56.s7 28.9221
RES 4 256 ca0.s0 52.6485
RES 4 256 ca8.s1 52.4175
RES 4 256 ca16.s2 52.7033
RES 4 256 ca24.s3 52.4538
RES 4 256 ca32.s4 52.7243
RES 4 256 ca40.s5 52.3370
RES 4 256 ca48.s6 52.5498
RES 4 256 ca56.s7 52.4451
RES 4 512 ca0.s0 95.6548
RES 4 512 ca8.s1 94.6011
RES 4 512 ca16.s2 95.7090
RES 4 512 ca24.s3 95.2868
RES 4 512 ca32.s4 95.6697
RES 4 512 ca40.s5 95.2831
RES 4 512 ca48.s6 95.4959
RES 4 512 ca56.s7 95.2648
RES 4 1024 ca0.s0 181.4549
RES 4 1024 ca8.s1 180.6300
RES 4 1024 ca16.s2 181.4402
RES 4 1024 ca24.s3 180.4386
RES 4 1024 ca32.s4 181.7323
RES 4 1024 ca40.s5 180.5592
RES 4 1024 ca48.s6 181.5075
RES 4 1024 ca56.s7 180.5104
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 5 2.5919 2.5918
RES 5 64 ca0.s0 28.9520
RES 5 64 ca8.s1 28.9301
RES 5 64 ca16.s2 28.9259
RES 5 64 ca24.s3 28.9133
RES 5 64 ca32.s4 28.9237
RES 5 64 ca40.s5 28.8950
RES 5 64 ca48.s6 28.8875
RES 5 64 ca56.s7 28.9208
RES 5 256 ca0.s0 52.5916
RES 5 256 ca8.s1 52.4078
RES 5 256 ca16.s2 52.7935
RES 5 256 ca24.s3 52.3280
RES 5 256 ca32.s4 52.5848
RES 5 256 ca40.s5 52.3604
RES 5 256 ca48.s6 52.5973
RES 5 256 ca56.s7 52.4336
RES 5 512 ca0.s0 95.6749
RES 5 512 ca8.s1 94.3576
RES 5 512 ca16.s2 95.8208
RES 5 512 ca24.s3 95.2065
RES 5 512 ca32.s4 95.7891
RES 5 512 ca40.s5 95.2555
RES 5 512 ca48.s6 95.6760
RES 5 512 ca56.s7 95.2792
RES 5 1024 ca0.s0 181.4072
RES 5 1024 ca8.s1 180.6881
RES 5 1024 ca16.s2 181.4595
RES 5 1024 ca24.s3 180.2290
RES 5 1024 ca32.s4 181.6156
RES 5 1024 ca40.s5 180.2128
RES 5 1024 ca48.s6 181.1645
RES 5 1024 ca56.s7 180.5817
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 6 2.5919 2.5920
RES 6 64 ca0.s0 28.9087
RES 6 64 ca8.s1 28.9103
RES 6 64 ca16.s2 28.9520
RES 6 64 ca24.s3 28.8901
RES 6 64 ca32.s4 28.9207
RES 6 64 ca40.s5 28.8907
RES 6 64 ca48.s6 28.7992
RES 6 64 ca56.s7 28.9248
RES 6 256 ca0.s0 52.6777
RES 6 256 ca8.s1 52.4012
RES 6 256 ca16.s2 52.5819
RES 6 256 ca24.s3 52.3907
RES 6 256 ca32.s4 52.6533
RES 6 256 ca40.s5 52.4380
RES 6 256 ca48.s6 52.5582
RES 6 256 ca56.s7 52.3246
RES 6 512 ca0.s0 95.5174
RES 6 512 ca8.s1 95.2719
RES 6 512 ca16.s2 95.8570
RES 6 512 ca24.s3 95.1987
RES 6 512 ca32.s4 95.9142
RES 6 512 ca40.s5 95.1967
RES 6 512 ca48.s6 95.6065
RES 6 512 ca56.s7 95.2488
RES 6 1024 ca0.s0 180.9219
RES 6 1024 ca8.s1 180.7331
RES 6 1024 ca16.s2 181.6595
RES 6 1024 ca24.s3 180.4762
RES 6 1024 ca32.s4 181.8204
RES 6 1024 ca40.s5 180.0649
RES 6 1024 ca48.s6 181.4800
RES 6 1024 ca56.s7 180.4327
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 7 2.5919 2.5920
RES 7 64 ca0.s0 28.9092
RES 7 64 ca8.s1 28.9070
RES 7 64 ca16.s2 28.9610
RES 7 64 ca24.s3 28.9267
RES 7 64 ca32.s4 28.9155
RES 7 64 ca40.s5 28.8982
RES 7 64 ca48.s6 28.9062
RES 7 64 ca56.s7 28.9133
RES 7 256 ca0.s0 52.6504
RES 7 256 ca8.s1 52.4488
RES 7 256 ca16.s2 52.7631
RES 7 256 ca24.s3 52.3177
RES 7 256 ca32.s4 52.6863
RES 7 256 ca40.s5 52.3695
RES 7 256 ca48.s6 51.9522
RES 7 256 ca56.s7 52.4483
RES 7 512 ca0.s0 95.4668
RES 7 512 ca8.s1 95.2048
RES 7 512 ca16.s2 95.7700
RES 7 512 ca24.s3 95.1978
RES 7 512 ca32.s4 95.8016
RES 7 512 ca40.s5 95.2105
RES 7 512 ca48.s6 95.7438
RES 7 512 ca56.s7 95.4245
RES 7 1024 ca0.s0 181.6376
RES 7 1024 ca8.s1 180.5394
RES 7 1024 ca16.s2 181.6368
RES 7 1024 ca24.s3 180.5249
RES 7 1024 ca32.s4 181.6923
RES 7 1024 ca40.s5 180.0169
RES 7 1024 ca48.s6 181.3560
RES 7 1024 ca56.s7 180.4982
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 8 2.5917 2.5920
RES 8 64 ca0.s0 28.9114
RES 8 64 ca8.s1 28.9175
RES 8 64 ca16.s2 28.9683
RES 8 64 ca24.s3 28.9160
RES 8 64 ca32.s4 28.9177
RES 8 64 ca40.s5 28.9030
RES 8 64 ca48.s6 28.9015
RES 8 64 ca56.s7 28.9065
RES 8 256 ca0.s0 52.6662
RES 8 256 ca8.s1 52.4632
RES 8 256 ca16.s2 52.6723
RES 8 256 ca24.s3 52.3776
RES 8 256 ca32.s4 52.6557
RES 8 256 ca40.s5 52.3918
RES 8 256 ca48.s6 51.9396
RES 8 256 ca56.s7 52.4097
RES 8 512 ca0.s0 95.7221
RES 8 512 ca8.s1 95.2057
RES 8 512 ca16.s2 95.7593
RES 8 512 ca24.s3 95.2884
RES 8 512 ca32.s4 95.9216
RES 8 512 ca40.s5 95.2857
RES 8 512 ca48.s6 95.6235
RES 8 512 ca56.s7 95.2618
RES 8 1024 ca0.s0 181.3965
RES 8 1024 ca8.s1 180.6423
RES 8 1024 ca16.s2 181.7230
RES 8 1024 ca24.s3 180.4447
RES 8 1024 ca32.s4 181.6736
RES 8 1024 ca40.s5 180.3233
RES 8 1024 ca48.s6 181.6115
RES 8 1024 ca56.s7 180.3076
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 9 2.5917 2.5917
RES 9 64 ca0.s0 28.9332
RES 9 64 ca8.s1 28.9242
RES 9 64 ca16.s2 28.9466
RES 9 64 ca24.s3 28.9121
RES 9 64 ca32.s4 28.9403
RES 9 64 ca40.s5 28.8921
RES 9 64 ca48.s6 28.8946
RES 9 64 ca56.s7 28.9084
RES 9 256 ca0.s0 52.6645
RES 9 256 ca8.s1 52.5357
RES 9 256 ca16.s2 52.6359
RES 9 256 ca24.s3 52.4405
RES 9 256 ca32.s4 52.6560
RES 9 256 ca40.s5 52.4139
RES 9 256 ca48.s6 51.8613
RES 9 256 ca56.s7 52.4317
RES 9 512 ca0.s0 95.5242
RES 9 512 ca8.s1 94.6839
RES 9 512 ca16.s2 95.8328
RES 9 512 ca24.s3 95.2594
RES 9 512 ca32.s4 95.8797
RES 9 512 ca40.s5 95.2994
RES 9 512 ca48.s6 95.6679
RES 9 512 ca56.s7 95.2861
RES 9 1024 ca0.s0 180.6984
RES 9 1024 ca8.s1 180.5642
RES 9 1024 ca16.s2 181.3458
RES 9 1024 ca24.s3 180.5033
RES 9 1024 ca32.s4 181.8129
RES 9 1024 ca40.s5 180.0389
RES 9 1024 ca48.s6 181.0403
RES 9 1024 ca56.s7 180.4927
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 10 2.5917 2.5921
RES 10 64 ca0.s0 28.9476
RES 10 64 ca8.s1 28.9346
RES 10 64 ca16.s2 28.9813
RES 10 64 ca24.s3 28.9029
RES 10 64 ca32.s4 28.9316
RES 10 64 ca40.s5 28.8833
RES 10 64 ca48.s6 28.8933
RES 10 64 ca56.s7 28.9043
RES 10 256 ca0.s0 52.5941
RES 10 256 ca8.s1 52.4317
RES 10 256 ca16.s2 52.6243
RES 10 256 ca24.s3 52.3149
RES 10 256 ca32.s4 52.5884
RES 10 256 ca40.s5 52.4524
RES 10 256 ca48.s6 52.5725
RES 10 256 ca56.s7 52.4242
RES 10 512 ca0.s0 95.3528
RES 10 512 ca8.s1 95.2758
RES 10 512 ca16.s2 95.7735
RES 10 512 ca24.s3 95.2756
RES 10 512 ca32.s4 95.7113
RES 10 512 ca40.s5 95.0684
RES 10 512 ca48.s6 95.6946
RES 10 512 ca56.s7 95.1429
RES 10 1024 ca0.s0 181.5062
RES 10 1024 ca8.s1 180.8079
RES 10 1024 ca16.s2 181.9327
RES 10 1024 ca24.s3 180.2806
RES 10 1024 ca32.s4 181.7130
RES 10 1024 ca40.s5 180.6455
RES 10 1024 ca48.s6 181.6253
RES 10 1024 ca56.s7 180.3931
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 11 2.5919 2.5919
RES 11 64 ca0.s0 28.8942
RES 11 64 ca8.s1 28.8804
RES 11 64 ca16.s2 28.9561
RES 11 64 ca24.s3 28.8998
RES 11 64 ca32.s4 28.9028
RES 11 64 ca40.s5 28.8909
RES 11 64 ca48.s6 28.8892
RES 11 64 ca56.s7 28.9163
RES 11 256 ca0.s0 52.6593
RES 11 256 ca8.s1 52.5079
RES 11 256 ca16.s2 52.2011
RES 11 256 ca24.s3 52.3079
RES 11 256 ca32.s4 52.6460
RES 11 256 ca40.s5 52.3823
RES 11 256 ca48.s6 52.5290
RES 11 256 ca56.s7 52.4100
RES 11 512 ca0.s0 95.5059
RES 11 512 ca8.s1 95.3068
RES 11 512 ca16.s2 95.8314
RES 11 512 ca24.s3 95.2691
RES 11 512 ca32.s4 95.8306
RES 11 512 ca40.s5 95.2313
RES 11 512 ca48.s6 95.6064
RES 11 512 ca56.s7 95.1324
RES 11 1024 ca0.s0 181.5219
RES 11 1024 ca8.s1 180.8017
RES 11 1024 ca16.s2 181.7219
RES 11 1024 ca24.s3 180.4592
RES 11 1024 ca32.s4 181.5871
RES 11 1024 ca40.s5 180.0735
RES 11 1024 ca48.s6 181.2351
RES 11 1024 ca56.s7 180.5225
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 12 2.5918 2.5919
RES 12 64 ca0.s0 28.9277
RES 12 64 ca8.s1 28.8833
RES 12 64 ca16.s2 28.9338
RES 12 64 ca24.s3 28.9251
RES 12 64 ca32.s4 28.9039
RES 12 64 ca40.s5 28.8821
RES 12 64 ca48.s6 28.8979
RES 12 64 ca56.s7 28.9095
RES 12 256 ca0.s0 52.6252
RES 12 256 ca8.s1 52.4697
RES 12 256 ca16.s2 52.6812
RES 12 256 ca24.s3 52.4223
RES 12 256 ca32.s4 52.6606
RES 12 256 ca40.s5 52.4534
RES 12 256 ca48.s6 52.5692
RES 12 256 ca56.s7 52.4007
RES 12 512 ca0.s0 95.5085
RES 12 512 ca8.s1 95.2718
RES 12 512 ca16.s2 95.8660
RES 12 512 ca24.s3 95.3202
RES 12 512 ca32.s4 95.7840
RES 12 512 ca40.s5 95.2373
RES 12 512 ca48.s6 95.6260
RES 12 512 ca56.s7 95.3183
RES 12 1024 ca0.s0 181.4351
RES 12 1024 ca8.s1 180.7667
RES 12 1024 ca16.s2 181.4263
RES 12 1024 ca24.s3 180.4354
