# host=ip-172-31-4-159
# model=
# rounds=160 processes=5 pinned_cpu=3
# date=2026-08-26T15:24:57Z
variant,text_bytes
baseline,5008
compact-fast1-4,8624
full-fast1-7,11848
awslc-8x,4672
awslc-4x,2872
# process=1
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,26.316,26.486,26.308,26.512,15.144,15.159,15.234,15.247,15.217,15.293,28.735,28.981,19.342,19.558
32,27.576,28.074,27.337,27.631,16.659,16.675,16.603,17.005,16.590,16.823,29.381,29.614,21.844,21.966
48,28.704,28.854,28.667,28.969,20.992,21.011,21.018,21.037,21.002,21.222,30.344,30.695,23.707,23.922
64,30.521,30.803,30.226,30.612,21.718,21.739,21.700,21.946,21.727,21.983,32.570,32.655,24.721,25.628
80,31.377,31.548,31.403,31.553,31.309,32.202,31.446,31.776,25.306,25.496,34.152,34.396,35.687,35.928
96,32.434,33.068,32.634,32.915,32.066,33.120,32.360,32.803,27.190,27.419,37.129,38.203,37.765,38.116
112,33.704,33.827,33.772,33.942,32.962,34.046,34.128,34.544,29.295,29.624,39.282,40.596,40.124,40.355
128,31.678,31.821,31.589,31.779,31.238,31.818,31.624,31.958,31.467,31.874,48.467,49.788,41.284,41.696
192,52.033,52.528,51.854,52.709,50.590,51.637,50.878,52.007,50.976,51.535,54.413,54.640,56.750,57.191
256,53.383,53.885,53.641,54.047,53.096,53.840,53.341,54.131,53.396,53.887,69.628,71.289,72.374,72.844
512,96.514,97.344,97.021,97.688,96.690,97.427,96.311,97.525,96.459,97.295,113.840,115.083,135.283,136.559
1024,184.273,185.407,184.141,185.666,184.378,185.711,184.029,185.539,183.017,184.924,200.628,203.538,260.906,263.311
4096,708.801,710.798,708.202,711.212,709.031,711.141,708.273,712.037,704.995,709.026,724.824,731.330,1022.674,1031.062
# process=2
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,26.197,26.496,26.309,26.503,15.148,15.158,15.231,15.244,15.218,15.230,28.716,28.972,19.346,19.577
32,27.463,28.039,27.356,27.625,16.655,16.676,16.607,17.007,16.597,16.650,29.371,29.607,21.846,21.946
48,28.699,28.901,28.744,29.018,20.994,21.011,21.014,21.035,21.000,21.019,30.208,30.670,23.685,23.896
64,30.398,30.729,30.246,30.597,21.723,21.741,21.703,21.955,21.729,21.979,32.537,32.647,24.651,25.707
80,31.411,31.564,31.371,31.609,31.633,32.207,31.389,31.783,25.297,25.472,34.150,34.368,35.685,35.908
96,32.537,33.073,32.527,33.016,32.319,33.209,32.160,32.805,27.207,27.420,37.154,38.178,37.763,38.182
112,33.695,33.844,33.670,33.942,32.959,34.009,33.684,34.535,29.278,29.607,39.322,40.657,40.241,40.435
128,31.687,31.788,31.639,31.812,31.209,31.755,31.617,31.958,31.456,31.857,48.083,49.775,41.282,41.640
192,52.241,52.517,52.141,52.667,50.613,51.633,51.159,51.912,50.779,51.551,54.414,54.647,56.787,57.232
256,53.543,53.922,53.637,54.095,53.094,53.788,53.527,54.094,53.422,53.988,69.449,71.306,72.363,73.017
512,96.538,97.340,96.831,97.573,96.644,97.388,95.989,97.585,96.437,97.228,113.929,115.364,135.250,136.573
1024,184.129,185.312,184.066,185.619,183.501,185.745,183.700,185.531,183.094,185.012,201.142,203.381,260.560,263.132
4096,708.875,710.909,708.376,711.446,708.802,711.332,708.100,711.615,704.800,708.841,724.626,731.120,1018.971,1027.818
# process=3
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
