# host=ip-172-31-44-56
# model=
# rounds=160 processes=5 pinned_cpu=3
# date=2026-08-26T15:24:57Z
variant,text_bytes
baseline,5008
compact-fast1-4,8624
full-fast1-7,11848
awslc-8x,4672
awslc-4x,2872
# process=1
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,23.637,23.813,23.659,23.808,12.855,12.873,12.937,12.950,12.891,12.910,25.611,25.815,17.619,17.736
32,23.956,24.160,23.938,24.022,13.956,13.970,13.906,14.103,13.881,14.003,25.788,26.014,19.530,19.666
48,25.026,25.143,24.924,24.986,17.564,17.586,17.570,17.588,17.570,17.750,27.070,28.034,20.589,21.000
64,26.168,26.480,26.136,26.274,18.704,18.725,18.709,18.808,18.703,18.794,28.115,28.197,20.926,21.161
80,27.122,30.274,26.999,29.493,26.631,27.292,26.645,26.815,21.618,21.889,29.477,29.953,31.336,31.869
96,27.929,28.105,27.902,27.948,27.585,28.171,27.603,28.046,23.010,23.248,31.497,31.760,32.792,33.272
112,29.736,31.905,28.901,31.932,28.367,29.076,28.577,28.711,25.352,25.394,33.599,34.199,34.444,34.786
128,27.144,27.178,27.006,27.031,26.864,27.189,26.633,26.852,26.706,27.146,44.029,44.706,34.231,37.095
192,45.827,45.909,45.814,46.504,44.572,45.294,44.595,45.131,44.478,45.175,47.414,48.231,48.300,49.995
256,46.998,47.068,47.050,47.718,46.206,47.082,46.523,47.115,45.818,47.078,63.944,64.674,62.295,62.933
512,86.349,86.396,86.317,86.783,85.982,86.941,85.978,86.561,86.023,87.659,103.765,104.361,117.909,118.100
1024,165.952,166.048,165.890,167.077,165.587,166.788,165.690,166.327,165.621,168.446,183.533,185.025,229.263,230.538
4096,644.777,646.048,644.611,646.546,643.845,646.230,644.433,645.764,644.489,646.835,662.058,664.734,898.400,901.531
# process=2
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,23.643,23.807,23.665,23.840,12.860,12.873,12.934,12.947,12.894,12.914,25.603,25.809,17.621,17.800
32,24.022,24.181,23.944,24.002,13.957,13.970,13.907,14.020,13.883,14.009,25.817,26.011,19.534,19.660
48,25.013,25.165,24.928,24.947,17.566,17.585,17.572,17.587,17.569,17.759,27.062,28.036,20.581,20.927
64,26.144,26.427,26.139,26.173,18.702,18.731,18.702,18.875,18.712,18.810,28.096,28.189,20.924,21.205
80,27.111,30.266,27.021,30.284,26.632,27.274,26.630,27.178,21.602,21.850,29.489,29.974,31.320,31.897
96,27.943,28.125,27.913,27.950,27.617,28.146,27.602,28.169,23.006,23.338,31.446,31.764,32.841,33.218
112,30.313,31.906,28.832,31.920,28.392,28.954,28.583,29.155,25.343,25.376,33.806,34.367,34.438,34.809
128,27.148,27.175,27.003,27.040,26.864,27.395,26.630,27.164,26.676,27.051,44.214,44.794,34.246,37.102
192,45.831,45.906,45.873,46.344,44.554,45.116,44.598,45.318,44.595,44.989,47.564,48.266,48.304,50.507
256,47.001,47.068,47.048,48.088,46.256,47.099,46.654,47.267,45.883,47.055,63.824,64.399,62.329,62.526
512,86.338,86.383,86.318,86.822,85.989,86.929,86.085,86.522,86.035,87.156,103.685,104.441,117.918,119.038
1024,165.956,166.077,165.941,167.194,165.585,166.911,165.486,166.361,165.605,168.407,183.055,184.976,229.263,230.512
4096,644.794,646.039,644.655,646.542,644.301,646.696,644.116,645.686,644.433,649.410,661.804,664.144,898.438,902.847
# process=3
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,23.653,23.747,23.672,23.794,12.858,12.875,12.932,12.949,12.888,12.913,25.614,25.798,17.637,17.811
32,23.956,24.157,23.935,24.007,13.959,13.972,13.905,14.011,13.884,14.007,25.808,25.955,19.539,19.668
48,25.015,25.134,24.927,24.947,17.562,17.586,17.570,17.587,17.570,17.754,27.061,28.046,20.581,21.000
64,26.242,26.494,26.142,26.276,18.706,18.726,18.709,18.732,18.702,18.825,28.103,28.184,20.925,21.079
80,27.095,30.266,27.138,29.021,26.569,27.185,26.632,27.118,21.617,21.862,29.357,29.961,31.388,31.856
96,27.934,28.208,27.909,27.951,27.627,28.078,27.517,28.052,23.006,23.190,31.323,31.756,32.820,33.370
112,31.785,31.905,31.244,31.924,28.367,29.009,28.592,29.149,25.357,25.633,33.688,34.166,34.475,34.815
128,27.144,27.181,27.007,27.034,26.858,27.200,26.632,26.852,26.694,27.149,43.976,44.577,34.226,37.032
192,45.823,45.901,45.806,46.280,44.205,45.135,44.595,45.115,44.638,45.143,47.408,48.255,48.307,50.470
256,46.978,47.065,47.001,48.034,46.499,46.824,46.548,47.272,46.469,47.145,63.233,64.754,62.265,62.861
512,86.327,86.403,86.286,86.860,85.963,86.931,86.058,86.457,86.065,87.294,104.179,105.108,117.898,118.599
1024,165.946,166.121,165.938,167.438,165.510,166.753,165.673,166.369,165.647,168.483,183.237,185.131,229.296,230.740
4096,644.572,645.907,644.730,648.270,644.270,646.091,644.437,645.826,644.489,647.322,661.293,664.015,898.451,901.864
# process=4
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,23.648,23.760,23.675,23.857,12.857,12.872,12.935,12.948,12.892,12.909,25.615,25.791,17.628,17.786
32,23.983,24.183,23.944,24.005,13.958,13.971,13.905,14.009,13.882,14.009,25.797,26.037,19.524,19.684
48,25.027,25.131,24.928,24.972,17.570,17.586,17.573,17.586,17.569,17.746,27.068,28.008,20.588,20.912
64,26.238,26.506,26.130,26.376,18.705,18.722,18.706,18.727,18.709,18.819,28.100,28.172,20.929,21.169
80,27.111,30.272,27.016,29.861,26.599,27.233,26.631,27.278,21.613,21.855,29.485,29.959,31.385,31.863
96,27.938,28.111,27.918,28.062,27.585,27.892,27.609,28.173,23.009,23.340,31.491,31.759,32.821,33.332
112,30.879,31.907,28.903,31.918,28.385,28.720,28.590,29.101,25.345,25.377,33.434,34.237,34.455,34.814
128,27.154,27.179,27.003,27.038,26.865,27.246,26.629,26.909,26.677,27.206,44.069,44.781,34.234,36.694
192,45.849,45.910,45.872,46.539,44.182,45.101,44.609,45.252,44.567,45.128,47.683,48.276,48.449,50.677
256,47.005,47.069,47.042,47.885,46.360,46.933,46.559,47.160,46.529,47.158,63.872,64.772,62.257,62.927
512,86.323,86.412,86.288,86.832,85.983,86.933,86.019,86.372,86.102,87.302,103.838,104.476,117.989,119.232
1024,165.962,166.351,165.860,168.113,165.564,166.988,165.571,166.256,165.616,168.020,183.168,184.888,229.319,231.105
4096,644.697,645.977,644.665,646.984,644.306,646.087,644.459,645.661,644.441,647.520,661.372,664.198,898.532,901.601
# process=5
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,23.645,23.754,23.654,23.849,12.859,12.873,12.934,12.949,12.889,12.915,25.613,25.789,17.622,17.822
32,23.957,24.175,23.942,24.044,13.960,13.972,13.900,14.029,13.883,14.010,25.806,26.003,19.542,19.784
48,25.015,25.151,24.929,25.021,17.563,17.585,17.568,17.587,17.567,17.753,27.034,28.037,20.575,21.075
64,26.156,26.529,26.141,26.273,18.709,18.724,18.708,18.724,18.710,18.833,28.078,28.164,20.927,21.126
80,27.115,30.272,27.074,29.799,26.571,27.149,26.636,27.447,21.616,21.859,29.461,29.970,31.381,31.842
96,27.938,28.164,27.911,27.955,27.559,27.923,27.599,28.292,23.012,23.336,31.394,31.747,32.830,33.426
112,29.717,31.910,28.897,31.937,28.361,28.735,28.585,29.146,25.349,25.375,33.808,34.214,34.459,34.833
